Time,hobby lobby
2023-04-26,25
2023-04-27,23
2023-04-28,26
2023-04-29,38
2023-04-30,22
2023-05-01,27
2023-05-02,24
2023-05-03,25
2023-05-04,25
2023-05-05,27
2023-05-06,37
2023-05-07,25
2023-05-08,28
2023-05-09,27
2023-05-10,27
2023-05-11,28
2023-05-12,31
2023-05-13,42
2023-05-14,23
2023-05-15,27
2023-05-16,25
2023-05-17,23
2023-05-18,27
2023-05-19,27
2023-05-20,39
2023-05-21,23
2023-05-22,26
2023-05-23,26
2023-05-24,25
2023-05-25,25
2023-05-26,27
2023-05-27,36
2023-05-28,23
2023-05-29,44
2023-05-30,24
2023-05-31,24
2023-06-01,25
2023-06-02,27
2023-06-03,34
2023-06-04,22
2023-06-05,25
2023-06-06,25
2023-06-07,25
2023-06-08,27
2023-06-09,29
2023-06-10,35
2023-06-11,23
2023-06-12,29
2023-06-13,27
2023-06-14,24
2023-06-15,28
2023-06-16,28
2023-06-17,35
2023-06-18,22
2023-06-19,31
2023-06-20,24
2023-06-21,26
2023-06-22,24
2023-06-23,27
2023-06-24,33
2023-06-25,23
2023-06-26,27
2023-06-27,29
2023-06-28,26
2023-06-29,26
2023-06-30,28
2023-07-01,34
2023-07-02,24
2023-07-03,37
2023-07-04,42
2023-07-05,25
2023-07-06,27
2023-07-07,31
2023-07-08,39
2023-07-09,26
2023-07-10,28
2023-07-11,26
2023-07-12,25
2023-07-13,28
2023-07-14,29
2023-07-15,35
2023-07-16,26
2023-07-17,29
2023-07-18,28
2023-07-19,28
2023-07-20,26
2023-07-21,27
2023-07-22,35
2023-07-23,25
2023-07-24,28
2023-07-25,25
2023-07-26,26
2023-07-27,25
2023-07-28,27
2023-07-29,35
2023-07-30,24
2023-07-31,27
2023-08-01,28
2023-08-02,26
2023-08-03,26
2023-08-04,29
2023-08-05,38
2023-08-06,26
2023-08-07,31
2023-08-08,28
2023-08-09,27
2023-08-10,27
2023-08-11,30
2023-08-12,41
2023-08-13,25
2023-08-14,31
2023-08-15,28
2023-08-16,27
2023-08-17,26
2023-08-18,31
2023-08-19,45
2023-08-20,26
2023-08-21,41
2023-08-22,37
2023-08-23,33
2023-08-24,31
2023-08-25,32
2023-08-26,46
2023-08-27,29
2023-08-28,29
2023-08-29,25
2023-08-30,29
2023-08-31,27
2023-09-01,32
2023-09-02,46
2023-09-03,32
2023-09-04,65
2023-09-05,29
2023-09-06,28
2023-09-07,27
2023-09-08,31
2023-09-09,46
2023-09-10,28
2023-09-11,30
2023-09-12,31
2023-09-13,27
2023-09-14,28
2023-09-15,33
2023-09-16,45
2023-09-17,30
2023-09-18,31
2023-09-19,31
2023-09-20,28
2023-09-21,29
2023-09-22,32
2023-09-23,48
2023-09-24,32
2023-09-25,30
2023-09-26,28
2023-09-27,29
2023-09-28,30
2023-09-29,33
2023-09-30,46
2023-10-01,29
2023-10-02,31
2023-10-03,30
2023-10-04,29
2023-10-05,32
2023-10-06,35
2023-10-07,46
2023-10-08,30
2023-10-09,38
2023-10-10,29
2023-10-11,28
2023-10-12,31
2023-10-13,36
2023-10-14,48
2023-10-15,30
2023-10-16,35
2023-10-17,32
2023-10-18,31
2023-10-19,34
2023-10-20,37
2023-10-21,47
2023-10-22,32
2023-10-23,36
2023-10-24,34
2023-10-25,35
2023-10-26,36
2023-10-27,40
2023-10-28,52
2023-10-29,32
2023-10-30,39
2023-10-31,37
2023-11-01,39
2023-11-02,43
2023-11-03,48
2023-11-04,70
2023-11-05,51
2023-11-06,49
2023-11-07,48
2023-11-08,49
2023-11-09,46
2023-11-10,59
2023-11-11,79
2023-11-12,56
2023-11-13,55
2023-11-14,50
2023-11-15,51
2023-11-16,48
2023-11-17,50
2023-11-18,78
2023-11-19,54
2023-11-20,58
2023-11-21,55
2023-11-22,56
2023-11-23,42
2023-11-24,98
2023-11-25,100
2023-11-26,67
2023-11-27,59
2023-11-28,52
2023-11-29,52
2023-11-30,50
2023-12-01,58
2023-12-02,81
2023-12-03,55
2023-12-04,51
2023-12-05,51
2023-12-06,45
2023-12-07,44
2023-12-08,47
2023-12-09,67
2023-12-10,46
2023-12-11,42
2023-12-12,43
2023-12-13,42
2023-12-14,40
2023-12-15,42
2023-12-16,57
2023-12-17,42
2023-12-18,44
2023-12-19,47
2023-12-20,45
2023-12-21,44
2023-12-22,51
2023-12-23,63
2023-12-24,36
2023-12-25,23
2023-12-26,66
2023-12-27,41
2023-12-28,40
2023-12-29,41
2023-12-30,48
2023-12-31,33
2024-01-01,63
2024-01-02,40
2024-01-03,34
2024-01-04,28
2024-01-05,31
2024-01-06,42
2024-01-07,27
2024-01-08,24
2024-01-09,23
2024-01-10,24
2024-01-11,22
2024-01-12,25
2024-01-13,37
2024-01-14,25
2024-01-15,30
2024-01-16,22
2024-01-17,21
2024-01-18,22
2024-01-19,23
2024-01-20,37
