Time,hobby lobby
2023-12-22,77
2023-12-23,95
2023-12-24,55
2023-12-25,35
2023-12-26,100
2023-12-27,62
2023-12-28,60
2023-12-29,61
2023-12-30,73
2023-12-31,50
2024-01-01,96
2024-01-02,60
2024-01-03,52
2024-01-04,43
2024-01-05,47
2024-01-06,64
2024-01-07,41
2024-01-08,36
2024-01-09,34
2024-01-10,36
2024-01-11,34
2024-01-12,37
2024-01-13,56
2024-01-14,38
2024-01-15,45
2024-01-16,33
2024-01-17,32
2024-01-18,33
2024-01-19,35
2024-01-20,56
2024-01-21,36
2024-01-22,34
2024-01-23,33
2024-01-24,34
2024-01-25,32
2024-01-26,36
2024-01-27,58
2024-01-28,37
2024-01-29,36
2024-01-30,34
2024-01-31,34
2024-02-01,32
2024-02-02,38
2024-02-03,60
2024-02-04,40
2024-02-05,36
2024-02-06,32
2024-02-07,35
2024-02-08,34
2024-02-09,38
2024-02-10,60
2024-02-11,38
2024-02-12,35
2024-02-13,42
2024-02-14,36
2024-02-15,32
2024-02-16,39
2024-02-17,54
2024-02-18,39
2024-02-19,48
2024-02-20,34
2024-02-21,34
2024-02-22,33
2024-02-23,39
2024-02-24,57
2024-02-25,38
2024-02-26,35
2024-02-27,33
2024-02-28,32
2024-02-29,33
2024-03-01,38
2024-03-02,56
2024-03-03,41
2024-03-04,37
2024-03-05,39
2024-03-06,34
2024-03-07,34
2024-03-08,35
2024-03-09,55
2024-03-10,38
2024-03-11,36
2024-03-12,34
2024-03-13,33
2024-03-14,33
2024-03-15,37
2024-03-16,55
2024-03-17,37
2024-03-18,35
2024-03-19,31
2024-03-20,32
2024-03-21,34
2024-03-22,37
2024-03-23,51
2024-03-24,38
2024-03-25,34
2024-03-26,32
2024-03-27,35
2024-03-28,40
2024-03-29,42
2024-03-30,46
2024-03-31,27
2024-04-01,35
2024-04-02,33
2024-04-03,32
2024-04-04,33
2024-04-05,41
2024-04-06,53
2024-04-07,33
2024-04-08,30
2024-04-09,33
2024-04-10,33
2024-04-11,32
2024-04-12,36
2024-04-13,47
2024-04-14,34
2024-04-15,36
2024-04-16,32
2024-04-17,35
2024-04-18,35
2024-04-19,33
2024-04-20,49
2024-04-21,34
2024-04-22,36
2024-04-23,33
2024-04-24,35
2024-04-25,36
2024-04-26,38
2024-04-27,50
2024-04-28,36
2024-04-29,36
2024-04-30,34
2024-05-01,33
2024-05-02,35
2024-05-03,39
2024-05-04,52
2024-05-05,34
2024-05-06,36
2024-05-07,37
2024-05-08,37
2024-05-09,39
2024-05-10,40
2024-05-11,59
2024-05-12,33
2024-05-13,35
2024-05-14,35
2024-05-15,36
2024-05-16,34
2024-05-17,42
2024-05-18,58
2024-05-19,36
2024-05-20,36
2024-05-21,37
2024-05-22,34
2024-05-23,35
2024-05-24,41
2024-05-25,48
2024-05-26,37
2024-05-27,67
2024-05-28,33
2024-05-29,37
2024-05-30,36
2024-05-31,37
2024-06-01,48
2024-06-02,35
2024-06-03,36
2024-06-04,36
2024-06-05,36
2024-06-06,36
2024-06-07,36
2024-06-08,48
2024-06-09,34
2024-06-10,39
2024-06-11,35
2024-06-12,33
2024-06-13,35
2024-06-14,38
2024-06-15,45
2024-06-16,32
2024-06-17,34
2024-06-18,34
2024-06-19,36
2024-06-20,37
2024-06-21,37
2024-06-22,47
2024-06-23,34
2024-06-24,35
2024-06-25,34
2024-06-26,34
2024-06-27,35
2024-06-28,38
2024-06-29,46
2024-06-30,34
2024-07-01,41
2024-07-02,36
2024-07-03,39
2024-07-04,53
2024-07-05,41
2024-07-06,46
2024-07-07,36
2024-07-08,34
2024-07-09,37
2024-07-10,36
2024-07-11,37
2024-07-12,37
2024-07-13,51
2024-07-14,32
2024-07-15,37
2024-07-16,36
2024-07-17,34
2024-07-18,38
2024-07-19,39
2024-07-20,53
2024-07-21,35
2024-07-22,38
2024-07-23,38
2024-07-24,38
2024-07-25,40
2024-07-26,42
2024-07-27,53
2024-07-28,35
2024-07-29,38
2024-07-30,39
2024-07-31,37
2024-08-01,37
2024-08-02,43
2024-08-03,57
2024-08-04,38
2024-08-05,39
2024-08-06,37
2024-08-07,41
2024-08-08,37
2024-08-09,41
2024-08-10,58
2024-08-11,40
2024-08-12,45
2024-08-13,43
2024-08-14,43
2024-08-15,41
2024-08-16,44
2024-08-17,70
2024-08-18,41
2024-08-19,48
2024-08-20,47
2024-08-21,42
2024-08-22,39
2024-08-23,44
2024-08-24,66
2024-08-25,40
2024-08-26,42
2024-08-27,39
2024-08-28,38
2024-08-29,38
2024-08-30,44
2024-08-31,67
2024-09-01,47
2024-09-02,96
2024-09-03,42
2024-09-04,39
2024-09-05,39
2024-09-06,43
2024-09-07,69
2024-09-08,41
2024-09-09,39
2024-09-10,38
2024-09-11,38
2024-09-12,41
2024-09-13,45
2024-09-14,71
2024-09-15,37
2024-09-16,41
