Time,buffalo wild wings
2024-08-18,48
2024-08-19,31
2024-08-20,35
2024-08-21,34
2024-08-22,39
2024-08-23,38
2024-08-24,51
2024-08-25,47
2024-08-26,28
2024-08-27,32
2024-08-28,32
2024-08-29,41
2024-08-30,40
2024-08-31,50
2024-09-01,49
2024-09-02,47
2024-09-03,31
2024-09-04,27
2024-09-05,41
2024-09-06,40
2024-09-07,52
2024-09-08,56
2024-09-09,29
2024-09-10,29
2024-09-11,28
2024-09-12,40
2024-09-13,37
2024-09-14,55
2024-09-15,62
2024-09-16,29
2024-09-17,30
2024-09-18,34
2024-09-19,38
2024-09-20,36
2024-09-21,48
2024-09-22,52
2024-09-23,29
2024-09-24,29
2024-09-25,28
2024-09-26,37
2024-09-27,37
2024-09-28,50
2024-09-29,54
2024-09-30,26
2024-10-01,29
2024-10-02,27
2024-10-03,35
2024-10-04,36
2024-10-05,48
2024-10-06,54
2024-10-07,27
2024-10-08,29
2024-10-09,29
2024-10-10,43
2024-10-11,44
2024-10-12,64
2024-10-13,61
2024-10-14,39
2024-10-15,39
2024-10-16,37
2024-10-17,43
2024-10-18,44
2024-10-19,56
2024-10-20,56
2024-10-21,29
2024-10-22,33
2024-10-23,31
2024-10-24,42
2024-10-25,44
2024-10-26,60
2024-10-27,59
2024-10-28,32
2024-10-29,42
2024-10-30,40
2024-10-31,42
2024-11-01,46
2024-11-02,57
2024-11-03,59
2024-11-04,36
2024-11-05,33
2024-11-06,25
2024-11-07,37
2024-11-08,44
2024-11-09,55
2024-11-10,64
2024-11-11,70
2024-11-12,39
2024-11-13,31
2024-11-14,38
2024-11-15,50
2024-11-16,62
2024-11-17,58
2024-11-18,28
2024-11-19,29
2024-11-20,28
2024-11-21,33
2024-11-22,37
2024-11-23,45
2024-11-24,48
2024-11-25,29
2024-11-26,31
2024-11-27,37
2024-11-28,31
2024-11-29,29
2024-11-30,43
2024-12-01,42
2024-12-02,25
2024-12-03,25
2024-12-04,28
2024-12-05,33
2024-12-06,35
2024-12-07,50
2024-12-08,52
2024-12-09,27
2024-12-10,31
2024-12-11,29
2024-12-12,35
2024-12-13,37
2024-12-14,46
2024-12-15,56
2024-12-16,31
2024-12-17,33
2024-12-18,33
2024-12-19,38
2024-12-20,43
2024-12-21,52
2024-12-22,49
2024-12-23,38
2024-12-24,46
2024-12-25,41
2024-12-26,47
2024-12-27,48
2024-12-28,49
2024-12-29,53
2024-12-30,42
2024-12-31,56
2025-01-01,59
2025-01-02,42
2025-01-03,43
2025-01-04,50
2025-01-05,49
2025-01-06,27
2025-01-07,28
2025-01-08,30
2025-01-09,38
2025-01-10,39
2025-01-11,50
2025-01-12,51
2025-01-13,29
2025-01-14,29
2025-01-15,30
2025-01-16,33
2025-01-17,38
2025-01-18,56
2025-01-19,55
2025-01-20,41
2025-01-21,32
2025-01-22,31
2025-01-23,33
2025-01-24,34
2025-01-25,42
2025-01-26,60
2025-01-27,36
2025-01-28,32
2025-01-29,30
2025-01-30,38
2025-01-31,38
2025-02-01,46
2025-02-02,44
2025-02-03,25
2025-02-04,28
2025-02-05,31
2025-02-06,36
2025-02-07,41
2025-02-08,52
2025-02-09,100
2025-02-10,30
2025-02-11,26
2025-02-12,25
2025-02-13,32
2025-02-14,35
2025-02-15,47
2025-02-16,41
2025-02-17,31
2025-02-18,27
2025-02-19,30
2025-02-20,35
2025-02-21,34
2025-02-22,43
2025-02-23,40
2025-02-24,26
2025-02-25,28
2025-02-26,31
2025-02-27,32
2025-02-28,35
2025-03-01,45
2025-03-02,46
2025-03-03,25
2025-03-04,26
2025-03-05,26
2025-03-06,32
2025-03-07,33
2025-03-08,48
2025-03-09,48
2025-03-10,26
2025-03-11,28
2025-03-12,27
2025-03-13,34
2025-03-14,35
2025-03-15,42
2025-03-16,44
2025-03-17,26
2025-03-18,29
2025-03-19,29
2025-03-20,40
2025-03-21,40
2025-03-22,50
2025-03-23,47
2025-03-24,25
2025-03-25,28
2025-03-26,28
2025-03-27,37
2025-03-28,36
2025-03-29,46
2025-03-30,43
2025-03-31,25
2025-04-01,28
2025-04-02,27
2025-04-03,32
2025-04-04,33
2025-04-05,43
2025-04-06,47
2025-04-07,26
2025-04-08,28
2025-04-09,27
2025-04-10,33
2025-04-11,34
2025-04-12,45
2025-04-13,45
2025-04-14,24
2025-04-15,28
2025-04-16,28
2025-04-17,34
2025-04-18,37
2025-04-19,43
2025-04-20,48
2025-04-21,37
2025-04-22,43
2025-04-23,44
2025-04-24,51
2025-04-25,44
2025-04-26,49
2025-04-27,46
2025-04-28,30
2025-04-29,35
2025-04-30,34
2025-05-01,43
2025-05-02,42
2025-05-03,45
2025-05-04,45
2025-05-05,27
2025-05-06,33
2025-05-07,33
2025-05-08,41
2025-05-09,40
2025-05-10,45
2025-05-11,43
2025-05-12,29
2025-05-13,32
2025-05-14,32
