Time,buffalo wild wings
2023-04-26,44
2023-04-27,61
2023-04-28,62
2023-04-29,64
2023-04-30,62
2023-05-01,36
2023-05-02,44
2023-05-03,41
2023-05-04,48
2023-05-05,48
2023-05-06,68
2023-05-07,63
2023-05-08,36
2023-05-09,44
2023-05-10,43
2023-05-11,53
2023-05-12,52
2023-05-13,68
2023-05-14,62
2023-05-15,38
2023-05-16,45
2023-05-17,42
2023-05-18,55
2023-05-19,57
2023-05-20,66
2023-05-21,62
2023-05-22,38
2023-05-23,44
2023-05-24,40
2023-05-25,53
2023-05-26,54
2023-05-27,60
2023-05-28,56
2023-05-29,60
2023-05-30,42
2023-05-31,41
2023-06-01,52
2023-06-02,54
2023-06-03,56
2023-06-04,61
2023-06-05,40
2023-06-06,42
2023-06-07,41
2023-06-08,56
2023-06-09,56
2023-06-10,66
2023-06-11,66
2023-06-12,42
2023-06-13,47
2023-06-14,45
2023-06-15,56
2023-06-16,54
2023-06-17,61
2023-06-18,65
2023-06-19,44
2023-06-20,48
2023-06-21,43
2023-06-22,54
2023-06-23,58
2023-06-24,58
2023-06-25,60
2023-06-26,42
2023-06-27,49
2023-06-28,46
2023-06-29,59
2023-06-30,54
2023-07-01,56
2023-07-02,58
2023-07-03,49
2023-07-04,67
2023-07-05,44
2023-07-06,56
2023-07-07,54
2023-07-08,62
2023-07-09,73
2023-07-10,42
2023-07-11,45
2023-07-12,44
2023-07-13,60
2023-07-14,58
2023-07-15,67
2023-07-16,68
2023-07-17,44
2023-07-18,50
2023-07-19,50
2023-07-20,62
2023-07-21,58
2023-07-22,61
2023-07-23,63
2023-07-24,47
2023-07-25,58
2023-07-26,51
2023-07-27,63
2023-07-28,62
2023-07-29,100
2023-07-30,81
2023-07-31,44
2023-08-01,52
2023-08-02,48
2023-08-03,54
2023-08-04,55
2023-08-05,68
2023-08-06,70
2023-08-07,43
2023-08-08,52
2023-08-09,45
2023-08-10,54
2023-08-11,57
2023-08-12,58
2023-08-13,61
2023-08-14,41
2023-08-15,49
2023-08-16,47
2023-08-17,60
2023-08-18,62
2023-08-19,72
2023-08-20,65
2023-08-21,39
2023-08-22,52
2023-08-23,45
2023-08-24,58
2023-08-25,53
2023-08-26,69
2023-08-27,61
2023-08-28,40
2023-08-29,45
2023-08-30,43
2023-08-31,57
2023-09-01,55
2023-09-02,68
2023-09-03,62
2023-09-04,61
2023-09-05,43
2023-09-06,37
2023-09-07,59
2023-09-08,51
2023-09-09,84
2023-09-10,83
2023-09-11,39
2023-09-12,44
2023-09-13,40
2023-09-14,53
2023-09-15,50
2023-09-16,66
2023-09-17,76
2023-09-18,38
2023-09-19,43
2023-09-20,39
2023-09-21,53
2023-09-22,53
2023-09-23,71
2023-09-24,78
2023-09-25,39
2023-09-26,42
2023-09-27,38
2023-09-28,53
2023-09-29,51
2023-09-30,73
2023-10-01,76
2023-10-02,35
2023-10-03,42
2023-10-04,38
2023-10-05,49
2023-10-06,48
2023-10-07,71
2023-10-08,71
2023-10-09,41
2023-10-10,42
2023-10-11,39
2023-10-12,53
2023-10-13,50
2023-10-14,66
2023-10-15,71
2023-10-16,37
2023-10-17,40
2023-10-18,39
2023-10-19,49
2023-10-20,52
2023-10-21,71
2023-10-22,78
2023-10-23,35
2023-10-24,42
2023-10-25,39
2023-10-26,56
2023-10-27,50
2023-10-28,62
2023-10-29,61
2023-10-30,35
2023-10-31,47
2023-11-01,44
2023-11-02,48
2023-11-03,47
2023-11-04,65
2023-11-05,66
2023-11-06,33
2023-11-07,42
2023-11-08,39
2023-11-09,46
2023-11-10,55
2023-11-11,91
2023-11-12,73
2023-11-13,32
2023-11-14,38
2023-11-15,36
2023-11-16,44
2023-11-17,49
2023-11-18,61
2023-11-19,61
2023-11-20,38
2023-11-21,41
2023-11-22,45
2023-11-23,40
2023-11-24,39
2023-11-25,56
2023-11-26,55
2023-11-27,30
2023-11-28,36
2023-11-29,38
2023-11-30,45
2023-12-01,47
2023-12-02,64
2023-12-03,61
2023-12-04,34
2023-12-05,39
2023-12-06,36
2023-12-07,43
2023-12-08,45
2023-12-09,56
2023-12-10,65
2023-12-11,34
2023-12-12,40
2023-12-13,37
2023-12-14,45
2023-12-15,51
2023-12-16,65
2023-12-17,78
2023-12-18,37
2023-12-19,43
2023-12-20,46
2023-12-21,56
2023-12-22,59
2023-12-23,62
2023-12-24,66
2023-12-25,66
2023-12-26,69
2023-12-27,59
2023-12-28,61
2023-12-29,67
2023-12-30,67
2023-12-31,77
2024-01-01,81
2024-01-02,51
2024-01-03,43
2024-01-04,50
2024-01-05,50
2024-01-06,63
2024-01-07,65
2024-01-08,41
2024-01-09,44
2024-01-10,38
2024-01-11,49
2024-01-12,51
2024-01-13,70
2024-01-14,70
2024-01-15,49
2024-01-16,40
2024-01-17,39
2024-01-18,48
2024-01-19,50
2024-01-20,76
