Time,zoom
2025-12-11,67
2025-12-12,60
2025-12-13,39
2025-12-14,36
2025-12-15,59
2025-12-16,66
2025-12-17,65
2025-12-18,65
2025-12-19,54
2025-12-20,36
2025-12-21,31
2025-12-22,47
2025-12-23,41
2025-12-24,35
2025-12-25,33
2025-12-26,33
2025-12-27,32
2025-12-28,32
2025-12-29,40
2025-12-30,38
2025-12-31,37
2026-01-01,29
2026-01-02,39
2026-01-03,38
2026-01-04,36
2026-01-05,59
2026-01-06,68
2026-01-07,69
2026-01-08,71
2026-01-09,61
2026-01-10,43
2026-01-11,39
2026-01-12,67
2026-01-13,74
2026-01-14,74
2026-01-15,75
2026-01-16,63
2026-01-17,39
2026-01-18,40
2026-01-19,48
2026-01-20,72
2026-01-21,80
2026-01-22,78
2026-01-23,69
2026-01-24,49
2026-01-25,60
2026-01-26,94
2026-01-27,88
2026-01-28,81
2026-01-29,82
2026-01-30,73
2026-01-31,47
2026-02-01,53
2026-02-02,71
2026-02-03,73
2026-02-04,76
2026-02-05,77
2026-02-06,67
2026-02-07,47
2026-02-08,46
2026-02-09,66
2026-02-10,80
2026-02-11,77
2026-02-12,70
2026-02-13,69
2026-02-14,44
2026-02-15,46
2026-02-16,70
2026-02-17,80
2026-02-18,76
2026-02-19,74
2026-02-20,67
2026-02-21,46
2026-02-22,48
2026-02-23,79
2026-02-24,80
2026-02-25,78
2026-02-26,83
2026-02-27,77
2026-02-28,42
2026-03-01,38
2026-03-02,68
2026-03-03,77
2026-03-04,76
2026-03-05,80
2026-03-06,70
2026-03-07,43
2026-03-08,42
2026-03-09,67
2026-03-10,72
2026-03-11,72
2026-03-12,71
2026-03-13,61
2026-03-14,41
2026-03-15,40
2026-03-16,68
2026-03-17,71
2026-03-18,71
2026-03-19,71
2026-03-20,64
2026-03-21,46
2026-03-22,44
2026-03-23,72
2026-03-24,76
2026-03-25,84
2026-03-26,73
2026-03-27,66
2026-03-28,47
2026-03-29,56
2026-03-30,73
2026-03-31,85
2026-04-01,86
2026-04-02,87
2026-04-03,73
2026-04-04,55
2026-04-05,51
2026-04-06,85
2026-04-07,90
2026-04-08,96
2026-04-09,92
2026-04-10,84
2026-04-11,70
2026-04-12,70
2026-04-13,88
2026-04-14,94
2026-04-15,96
2026-04-16,100
2026-04-17,91
2026-04-18,73
2026-04-19,65
2026-04-20,82
2026-04-21,84
2026-04-22,90
2026-04-23,86
2026-04-24,71
2026-04-25,51
2026-04-26,61
2026-04-27,81
2026-04-28,80
2026-04-29,74
2026-04-30,77
2026-05-01,68
2026-05-02,54
2026-05-03,56
2026-05-04,75
2026-05-05,78
2026-05-06,81
2026-05-07,81
2026-05-08,72
2026-05-09,54
2026-05-10,45
2026-05-11,71
2026-05-12,79
2026-05-13,86
2026-05-14,89
2026-05-15,75
2026-05-16,63
2026-05-17,59
2026-05-18,76
2026-05-19,86
2026-05-20,82
2026-05-21,79
2026-05-22,72
2026-05-23,50
2026-05-24,45
2026-05-25,50
2026-05-26,74
2026-05-27,72
2026-05-28,80
2026-05-29,67
2026-05-30,47
2026-05-31,53
