Time,zoom
2024-08-18,20
2024-08-19,38
2024-08-20,41
2024-08-21,40
2024-08-22,40
2024-08-23,33
2024-08-24,19
2024-08-25,21
2024-08-26,41
2024-08-27,42
2024-08-28,42
2024-08-29,41
2024-08-30,32
2024-08-31,18
2024-09-01,18
2024-09-02,18
2024-09-03,41
2024-09-04,43
2024-09-05,42
2024-09-06,34
2024-09-07,20
2024-09-08,20
2024-09-09,41
2024-09-10,41
2024-09-11,42
2024-09-12,43
2024-09-13,36
2024-09-14,19
2024-09-15,19
2024-09-16,37
2024-09-17,43
2024-09-18,44
2024-09-19,40
2024-09-20,35
2024-09-21,18
2024-09-22,20
2024-09-23,41
2024-09-24,42
2024-09-25,43
2024-09-26,43
2024-09-27,36
2024-09-28,18
2024-09-29,18
2024-09-30,36
2024-10-01,41
2024-10-02,39
2024-10-03,39
2024-10-04,35
2024-10-05,19
2024-10-06,18
2024-10-07,38
2024-10-08,41
2024-10-09,45
2024-10-10,41
2024-10-11,32
2024-10-12,17
2024-10-13,19
2024-10-14,32
2024-10-15,40
2024-10-16,39
2024-10-17,39
2024-10-18,33
2024-10-19,18
2024-10-20,18
2024-10-21,37
2024-10-22,40
2024-10-23,41
2024-10-24,39
2024-10-25,34
2024-10-26,18
2024-10-27,20
2024-10-28,37
2024-10-29,39
2024-10-30,39
2024-10-31,36
2024-11-01,33
2024-11-02,17
2024-11-03,19
2024-11-04,39
2024-11-05,37
2024-11-06,29
2024-11-07,38
2024-11-08,36
2024-11-09,20
2024-11-10,18
2024-11-11,30
2024-11-12,41
2024-11-13,42
2024-11-14,41
2024-11-15,36
2024-11-16,18
2024-11-17,19
2024-11-18,38
2024-11-19,41
2024-11-20,40
2024-11-21,43
2024-11-22,42
2024-11-23,20
2024-11-24,21
2024-11-25,37
2024-11-26,38
2024-11-27,27
2024-11-28,16
2024-11-29,17
2024-11-30,19
2024-12-01,20
2024-12-02,38
2024-12-03,40
2024-12-04,41
2024-12-05,41
2024-12-06,34
2024-12-07,20
2024-12-08,20
2024-12-09,36
2024-12-10,40
2024-12-11,39
2024-12-12,40
2024-12-13,32
2024-12-14,21
2024-12-15,19
2024-12-16,36
2024-12-17,38
2024-12-18,34
2024-12-19,35
2024-12-20,31
2024-12-21,17
2024-12-22,17
2024-12-23,20
2024-12-24,17
2024-12-25,16
2024-12-26,18
2024-12-27,20
2024-12-28,17
2024-12-29,16
2024-12-30,21
2024-12-31,19
2025-01-01,15
2025-01-02,25
2025-01-03,28
2025-01-04,19
2025-01-05,19
2025-01-06,39
2025-01-07,43
2025-01-08,41
2025-01-09,42
2025-01-10,38
2025-01-11,22
2025-01-12,20
2025-01-13,39
2025-01-14,42
2025-01-15,42
2025-01-16,40
2025-01-17,37
2025-01-18,20
2025-01-19,19
2025-01-20,27
2025-01-21,45
2025-01-22,47
2025-01-23,45
2025-01-24,40
2025-01-25,21
2025-01-26,20
2025-01-27,38
2025-01-28,44
2025-01-29,43
2025-01-30,41
2025-01-31,36
2025-02-01,20
2025-02-02,21
2025-02-03,38
2025-02-04,42
2025-02-05,42
2025-02-06,46
2025-02-07,37
2025-02-08,21
2025-02-09,20
2025-02-10,36
2025-02-11,46
2025-02-12,47
2025-02-13,44
2025-02-14,36
2025-02-15,20
2025-02-16,20
2025-02-17,32
2025-02-18,43
2025-02-19,46
2025-02-20,44
2025-02-21,37
2025-02-22,22
2025-02-23,21
2025-02-24,36
2025-02-25,42
2025-02-26,42
2025-02-27,42
2025-02-28,38
2025-03-01,19
2025-03-02,18
2025-03-03,36
2025-03-04,42
2025-03-05,40
2025-03-06,41
2025-03-07,36
2025-03-08,20
2025-03-09,20
2025-03-10,36
2025-03-11,40
2025-03-12,41
2025-03-13,38
2025-03-14,33
2025-03-15,20
2025-03-16,19
2025-03-17,36
2025-03-18,40
2025-03-19,42
2025-03-20,40
2025-03-21,33
2025-03-22,20
2025-03-23,19
2025-03-24,34
2025-03-25,38
2025-03-26,38
2025-03-27,37
2025-03-28,33
2025-03-29,18
2025-03-30,20
2025-03-31,34
2025-04-01,36
2025-04-02,36
2025-04-03,36
2025-04-04,32
2025-04-05,18
2025-04-06,20
2025-04-07,35
2025-04-08,38
2025-04-09,38
2025-04-10,37
2025-04-11,33
2025-04-12,21
2025-04-13,19
2025-04-14,36
2025-04-15,39
2025-04-16,100
2025-04-17,44
2025-04-18,28
2025-04-19,19
2025-04-20,16
2025-04-21,36
2025-04-22,39
2025-04-23,38
2025-04-24,38
2025-04-25,31
2025-04-26,19
2025-04-27,19
2025-04-28,37
2025-04-29,39
2025-04-30,36
2025-05-01,40
2025-05-02,32
2025-05-03,19
2025-05-04,20
2025-05-05,36
2025-05-06,39
2025-05-07,37
2025-05-08,36
2025-05-09,31
2025-05-10,18
2025-05-11,19
2025-05-12,36
2025-05-13,38
2025-05-14,37
