Time,zoom
2023-04-26,90
2023-04-27,83
2023-04-28,75
2023-04-29,41
2023-04-30,45
2023-05-01,80
2023-05-02,86
2023-05-03,86
2023-05-04,85
2023-05-05,69
2023-05-06,39
2023-05-07,39
2023-05-08,85
2023-05-09,87
2023-05-10,86
2023-05-11,85
2023-05-12,71
2023-05-13,38
2023-05-14,37
2023-05-15,81
2023-05-16,83
2023-05-17,82
2023-05-18,83
2023-05-19,69
2023-05-20,36
2023-05-21,36
2023-05-22,77
2023-05-23,84
2023-05-24,80
2023-05-25,84
2023-05-26,61
2023-05-27,33
2023-05-28,35
2023-05-29,39
2023-05-30,82
2023-05-31,92
2023-06-01,83
2023-06-02,72
2023-06-03,39
2023-06-04,40
2023-06-05,78
2023-06-06,87
2023-06-07,80
2023-06-08,86
2023-06-09,70
2023-06-10,38
2023-06-11,40
2023-06-12,79
2023-06-13,82
2023-06-14,83
2023-06-15,80
2023-06-16,59
2023-06-17,35
2023-06-18,34
2023-06-19,58
2023-06-20,82
2023-06-21,79
2023-06-22,78
2023-06-23,67
2023-06-24,35
2023-06-25,38
2023-06-26,76
2023-06-27,84
2023-06-28,79
2023-06-29,78
2023-06-30,65
2023-07-01,32
2023-07-02,34
2023-07-03,53
2023-07-04,34
2023-07-05,71
2023-07-06,75
2023-07-07,64
2023-07-08,36
2023-07-09,37
2023-07-10,82
2023-07-11,89
2023-07-12,83
2023-07-13,83
2023-07-14,63
2023-07-15,35
2023-07-16,37
2023-07-17,83
2023-07-18,79
2023-07-19,83
2023-07-20,78
2023-07-21,62
2023-07-22,35
2023-07-23,35
2023-07-24,72
2023-07-25,76
2023-07-26,76
2023-07-27,75
2023-07-28,61
2023-07-29,36
2023-07-30,39
2023-07-31,68
2023-08-01,75
2023-08-02,75
2023-08-03,76
2023-08-04,63
2023-08-05,32
2023-08-06,39
2023-08-07,86
2023-08-08,87
2023-08-09,83
2023-08-10,82
2023-08-11,68
2023-08-12,39
2023-08-13,38
2023-08-14,75
2023-08-15,80
2023-08-16,84
2023-08-17,78
2023-08-18,70
2023-08-19,43
2023-08-20,55
2023-08-21,86
2023-08-22,85
2023-08-23,87
2023-08-24,82
2023-08-25,67
2023-08-26,40
2023-08-27,43
2023-08-28,78
2023-08-29,88
2023-08-30,87
2023-08-31,82
2023-09-01,66
2023-09-02,36
2023-09-03,36
2023-09-04,40
2023-09-05,85
2023-09-06,86
2023-09-07,87
2023-09-08,74
2023-09-09,40
2023-09-10,37
2023-09-11,85
2023-09-12,89
2023-09-13,88
2023-09-14,88
2023-09-15,71
2023-09-16,37
2023-09-17,41
2023-09-18,82
2023-09-19,89
2023-09-20,95
2023-09-21,88
2023-09-22,70
2023-09-23,42
2023-09-24,39
2023-09-25,81
2023-09-26,86
2023-09-27,84
2023-09-28,87
2023-09-29,71
2023-09-30,41
2023-10-01,35
2023-10-02,76
2023-10-03,84
2023-10-04,87
2023-10-05,83
2023-10-06,71
2023-10-07,38
2023-10-08,36
2023-10-09,74
2023-10-10,83
2023-10-11,88
2023-10-12,81
2023-10-13,66
2023-10-14,35
2023-10-15,39
2023-10-16,76
2023-10-17,85
2023-10-18,86
2023-10-19,86
2023-10-20,71
2023-10-21,35
2023-10-22,37
2023-10-23,77
2023-10-24,84
2023-10-25,85
2023-10-26,86
2023-10-27,72
2023-10-28,36
2023-10-29,36
2023-10-30,78
2023-10-31,81
2023-11-01,79
2023-11-02,84
2023-11-03,69
2023-11-04,37
2023-11-05,38
2023-11-06,83
2023-11-07,90
2023-11-08,85
2023-11-09,89
2023-11-10,70
2023-11-11,40
2023-11-12,41
2023-11-13,79
2023-11-14,87
2023-11-15,91
2023-11-16,91
2023-11-17,72
2023-11-18,39
2023-11-19,38
2023-11-20,74
2023-11-21,74
2023-11-22,56
2023-11-23,32
2023-11-24,37
2023-11-25,32
2023-11-26,39
2023-11-27,71
2023-11-28,85
2023-11-29,83
2023-11-30,78
2023-12-01,70
2023-12-02,37
2023-12-03,39
2023-12-04,78
2023-12-05,83
2023-12-06,88
2023-12-07,81
2023-12-08,70
2023-12-09,38
2023-12-10,38
2023-12-11,74
2023-12-12,76
2023-12-13,79
2023-12-14,73
2023-12-15,67
2023-12-16,40
2023-12-17,34
2023-12-18,63
2023-12-19,71
2023-12-20,70
2023-12-21,61
2023-12-22,42
2023-12-23,35
2023-12-24,30
2023-12-25,35
2023-12-26,37
2023-12-27,43
2023-12-28,43
2023-12-29,40
2023-12-30,35
2023-12-31,31
2024-01-01,30
2024-01-02,59
2024-01-03,72
2024-01-04,78
2024-01-05,68
2024-01-06,40
2024-01-07,38
2024-01-08,79
2024-01-09,93
2024-01-10,87
2024-01-11,86
2024-01-12,79
2024-01-13,42
2024-01-14,39
2024-01-15,57
2024-01-16,100
2024-01-17,96
2024-01-18,93
2024-01-19,86
2024-01-20,44
