Time,alabama basketball
2023-04-26,7
2023-04-27,5
2023-04-28,6
2023-04-29,6
2023-04-30,5
2023-05-01,5
2023-05-02,5
2023-05-03,4
2023-05-04,7
2023-05-05,6
2023-05-06,5
2023-05-07,5
2023-05-08,5
2023-05-09,5
2023-05-10,4
2023-05-11,5
2023-05-12,4
2023-05-13,5
2023-05-14,4
2023-05-15,4
2023-05-16,5
2023-05-17,7
2023-05-18,6
2023-05-19,3
2023-05-20,5
2023-05-21,6
2023-05-22,4
2023-05-23,6
2023-05-24,7
2023-05-25,5
2023-05-26,3
2023-05-27,7
2023-05-28,5
2023-05-29,3
2023-05-30,4
2023-05-31,5
2023-06-01,6
2023-06-02,5
2023-06-03,7
2023-06-04,6
2023-06-05,5
2023-06-06,4
2023-06-07,5
2023-06-08,6
2023-06-09,7
2023-06-10,7
2023-06-11,6
2023-06-12,9
2023-06-13,9
2023-06-14,6
2023-06-15,6
2023-06-16,4
2023-06-17,5
2023-06-18,5
2023-06-19,6
2023-06-20,6
2023-06-21,7
2023-06-22,11
2023-06-23,15
2023-06-24,22
2023-06-25,7
2023-06-26,8
2023-06-27,6
2023-06-28,6
2023-06-29,6
2023-06-30,4
2023-07-01,5
2023-07-02,5
2023-07-03,4
2023-07-04,4
2023-07-05,4
2023-07-06,5
2023-07-07,5
2023-07-08,4
2023-07-09,5
2023-07-10,3
2023-07-11,4
2023-07-12,4
2023-07-13,3
2023-07-14,4
2023-07-15,5
2023-07-16,4
2023-07-17,4
2023-07-18,3
2023-07-19,3
2023-07-20,3
2023-07-21,4
2023-07-22,4
2023-07-23,4
2023-07-24,3
2023-07-25,2
2023-07-26,3
2023-07-27,3
2023-07-28,3
2023-07-29,3
2023-07-30,3
2023-07-31,4
2023-08-01,3
2023-08-02,3
2023-08-03,2
2023-08-04,3
2023-08-05,3
2023-08-06,3
2023-08-07,4
2023-08-08,4
2023-08-09,3
2023-08-10,4
2023-08-11,5
2023-08-12,6
2023-08-13,4
2023-08-14,3
2023-08-15,4
2023-08-16,2
2023-08-17,4
2023-08-18,3
2023-08-19,4
2023-08-20,3
2023-08-21,3
2023-08-22,3
2023-08-23,3
2023-08-24,2
2023-08-25,3
2023-08-26,4
2023-08-27,3
2023-08-28,3
2023-08-29,3
2023-08-30,2
2023-08-31,3
2023-09-01,4
2023-09-02,6
2023-09-03,8
2023-09-04,3
2023-09-05,4
2023-09-06,3
2023-09-07,4
2023-09-08,3
2023-09-09,8
2023-09-10,13
2023-09-11,3
2023-09-12,3
2023-09-13,4
2023-09-14,3
2023-09-15,3
2023-09-16,9
2023-09-17,7
2023-09-18,3
2023-09-19,4
2023-09-20,3
2023-09-21,3
2023-09-22,3
2023-09-23,6
2023-09-24,4
2023-09-25,3
2023-09-26,4
2023-09-27,5
2023-09-28,3
2023-09-29,3
2023-09-30,5
2023-10-01,6
2023-10-02,4
2023-10-03,3
2023-10-04,3
2023-10-05,3
2023-10-06,3
2023-10-07,7
2023-10-08,4
2023-10-09,3
2023-10-10,3
2023-10-11,3
2023-10-12,5
2023-10-13,4
2023-10-14,8
2023-10-15,5
2023-10-16,4
2023-10-17,4
2023-10-18,5
2023-10-19,5
2023-10-20,4
2023-10-21,8
2023-10-22,6
2023-10-23,4
2023-10-24,7
2023-10-25,5
2023-10-26,4
2023-10-27,6
2023-10-28,8
2023-10-29,10
2023-10-30,8
2023-10-31,6
2023-11-01,6
2023-11-02,8
2023-11-03,7
2023-11-04,9
2023-11-05,15
2023-11-06,18
2023-11-07,48
2023-11-08,18
2023-11-09,15
2023-11-10,25
2023-11-11,64
2023-11-12,18
2023-11-13,13
2023-11-14,18
2023-11-15,36
2023-11-16,16
2023-11-17,25
2023-11-18,51
2023-11-19,21
2023-11-20,13
2023-11-21,16
2023-11-22,21
2023-11-23,20
2023-11-24,33
2023-11-25,100
2023-11-26,38
2023-11-27,15
2023-11-28,18
2023-11-29,62
2023-11-30,25
2023-12-01,17
2023-12-02,63
2023-12-03,41
2023-12-04,20
2023-12-05,32
2023-12-06,22
2023-12-07,12
2023-12-08,13
2023-12-09,80
2023-12-10,26
2023-12-11,12
2023-12-12,11
2023-12-13,14
2023-12-14,18
2023-12-15,13
2023-12-16,28
2023-12-17,54
2023-12-18,13
2023-12-19,17
2023-12-20,24
2023-12-21,65
2023-12-22,21
2023-12-23,32
2023-12-24,17
2023-12-25,9
2023-12-26,8
2023-12-27,8
2023-12-28,9
2023-12-29,13
2023-12-30,35
2023-12-31,19
2024-01-01,27
2024-01-02,27
2024-01-03,18
2024-01-04,12
2024-01-05,15
2024-01-06,43
2024-01-07,25
2024-01-08,15
2024-01-09,25
2024-01-10,39
2024-01-11,28
2024-01-12,27
2024-01-13,39
2024-01-14,59
2024-01-15,16
2024-01-16,24
2024-01-17,50
2024-01-18,23
2024-01-19,34
2024-01-20,83
