Time,2020 election map
2022-01-01,38
2022-01-02,45
2022-01-03,40
2022-01-04,66
2022-01-05,62
2022-01-06,50
2022-01-07,49
2022-01-08,72
2022-01-09,57
2022-01-10,55
2022-01-11,63
2022-01-12,51
2022-01-13,53
2022-01-14,49
2022-01-15,0
2022-01-16,48
2022-01-17,0
2022-01-18,0
2022-01-19,40
2022-01-20,47
2022-01-21,69
2022-01-22,47
2022-01-23,67
2022-01-24,64
2022-01-25,39
2022-01-26,70
2022-01-27,0
2022-01-28,50
2022-01-29,68
2022-01-30,63
2022-01-31,41
2022-02-01,42
2022-02-02,40
2022-02-03,0
2022-02-04,0
2022-02-05,49
2022-02-06,37
2022-02-07,42
2022-02-08,41
2022-02-09,63
2022-02-10,41
2022-02-11,32
2022-02-12,54
2022-02-13,44
2022-02-14,25
2022-02-15,45
2022-02-16,26
2022-02-17,36
2022-02-18,42
2022-02-19,57
2022-02-20,32
2022-02-21,47
2022-02-22,37
2022-02-23,45
2022-02-24,53
2022-02-25,46
2022-02-26,52
2022-02-27,32
2022-02-28,25
2022-03-01,48
2022-03-02,25
2022-03-03,35
2022-03-04,57
2022-03-05,0
2022-03-06,42
2022-03-07,41
2022-03-08,50
2022-03-09,41
2022-03-10,43
2022-03-11,42
2022-03-12,43
2022-03-13,30
2022-03-14,30
2022-03-15,44
2022-03-16,47
2022-03-17,41
2022-03-18,34
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,30
2022-03-23,39
2022-03-24,53
2022-03-25,53
2022-03-26,44
2022-03-27,40
2022-03-28,48
2022-03-29,23
2022-03-30,31
2022-03-31,41
2022-04-01,48
2022-04-02,40
2022-04-03,51
2022-04-04,50
2022-04-05,43
2022-04-06,44
2022-04-07,38
2022-04-08,24
2022-04-09,52
2022-04-10,27
2022-04-11,41
2022-04-12,47
2022-04-13,43
2022-04-14,36
2022-04-15,33
2022-04-16,51
2022-04-17,47
2022-04-18,36
2022-04-19,25
2022-04-20,30
2022-04-21,34
2022-04-22,63
2022-04-23,43
2022-04-24,69
2022-04-25,49
2022-04-26,60
2022-04-27,39
2022-04-28,39
2022-04-29,38
2022-04-30,51
2022-05-01,34
2022-05-02,28
2022-05-03,85
2022-05-04,61
2022-05-05,43
2022-05-06,39
2022-05-07,49
2022-05-08,55
2022-05-09,51
2022-05-10,47
2022-05-11,41
2022-05-12,45
2022-05-13,43
2022-05-14,43
2022-05-15,39
2022-05-16,50
2022-05-17,27
2022-05-18,59
2022-05-19,28
2022-05-20,45
2022-05-21,47
2022-05-22,48
2022-05-23,43
2022-05-24,53
2022-05-25,73
2022-05-26,44
2022-05-27,44
2022-05-28,34
2022-05-29,0
2022-05-30,40
2022-05-31,0
2022-06-01,35
2022-06-02,30
2022-06-03,49
2022-06-04,50
2022-06-05,52
2022-06-06,38
2022-06-07,32
2022-06-08,50
2022-06-09,38
2022-06-10,48
2022-06-11,66
2022-06-12,79
2022-06-13,46
2022-06-14,42
2022-06-15,52
2022-06-16,41
2022-06-17,0
2022-06-18,43
2022-06-19,44
2022-06-20,63
2022-06-21,79
2022-06-22,33
2022-06-23,45
2022-06-24,100
2022-06-25,86
2022-06-26,86
2022-06-27,75
2022-06-28,67
2022-06-29,57
2022-06-30,64
2022-07-01,49
2022-07-02,60
2022-07-03,50
2022-07-04,83
2022-07-05,67
2022-07-06,64
2022-07-07,55
2022-07-08,45
2022-07-09,68
2022-07-10,63
2022-07-11,57
2022-07-12,43
2022-07-13,44
2022-07-14,52
2022-07-15,35
2022-07-16,75
2022-07-17,53
2022-07-18,38
2022-07-19,39
2022-07-20,39
2022-07-21,64
2022-07-22,54
2022-07-23,57
2022-07-24,43
2022-07-25,60
2022-07-26,55
2022-07-27,42
2022-07-28,45
2022-07-29,43
2022-07-30,31
2022-07-31,0
2022-08-01,44
2022-08-02,39
2022-08-03,62
2022-08-04,29
2022-08-05,29
2022-08-06,42
2022-08-07,49
2022-08-08,61
2022-08-09,48
2022-08-10,46
2022-08-11,40
2022-08-12,34
2022-08-13,48
2022-08-14,69
2022-08-15,42
2022-08-16,44
2022-08-17,53
2022-08-18,52
2022-08-19,46
2022-08-20,48
2022-08-21,41
2022-08-22,38
2022-08-23,46
2022-08-24,43
2022-08-25,59
2022-08-26,40
2022-08-27,32
2022-08-28,39
2022-08-29,36
2022-08-30,38
2022-08-31,51
2022-09-01,39
2022-09-02,32
2022-09-03,0
2022-09-04,53
2022-09-05,45
2022-09-06,49
2022-09-07,51
2022-09-08,24
2022-09-09,0
2022-09-10,53
2022-09-11,53
2022-09-12,45
2022-09-13,48
2022-09-14,47
2022-09-15,41
2022-09-16,42
2022-09-17,48
2022-09-18,35
2022-09-19,31
2022-09-20,43
2022-09-21,54
2022-09-22,45
2022-09-23,33
2022-09-24,42
2022-09-25,37
2022-09-26,51
2022-09-27,45
