Time,obi wan kenobi
2023-04-26,23
2023-04-27,21
2023-04-28,27
2023-04-29,31
2023-04-30,35
2023-05-01,29
2023-05-02,32
2023-05-03,33
2023-05-04,86
2023-05-05,61
2023-05-06,48
2023-05-07,48
2023-05-08,38
2023-05-09,35
2023-05-10,31
2023-05-11,31
2023-05-12,30
2023-05-13,38
2023-05-14,41
2023-05-15,32
2023-05-16,32
2023-05-17,25
2023-05-18,29
2023-05-19,30
2023-05-20,32
2023-05-21,28
2023-05-22,26
2023-05-23,24
2023-05-24,25
2023-05-25,30
2023-05-26,28
2023-05-27,29
2023-05-28,32
2023-05-29,33
2023-05-30,30
2023-05-31,26
2023-06-01,28
2023-06-02,21
2023-06-03,20
2023-06-04,27
2023-06-05,18
2023-06-06,22
2023-06-07,22
2023-06-08,20
2023-06-09,25
2023-06-10,27
2023-06-11,22
2023-06-12,20
2023-06-13,17
2023-06-14,16
2023-06-15,20
2023-06-16,17
2023-06-17,21
2023-06-18,24
2023-06-19,15
2023-06-20,16
2023-06-21,14
2023-06-22,16
2023-06-23,18
2023-06-24,20
2023-06-25,22
2023-06-26,16
2023-06-27,16
2023-06-28,18
2023-06-29,17
2023-06-30,15
2023-07-01,20
2023-07-02,24
2023-07-03,20
2023-07-04,21
2023-07-05,17
2023-07-06,18
2023-07-07,16
2023-07-08,20
2023-07-09,23
2023-07-10,18
2023-07-11,17
2023-07-12,23
2023-07-13,22
2023-07-14,20
2023-07-15,20
2023-07-16,21
2023-07-17,18
2023-07-18,20
2023-07-19,18
2023-07-20,12
2023-07-21,16
2023-07-22,20
2023-07-23,21
2023-07-24,12
2023-07-25,17
2023-07-26,13
2023-07-27,17
2023-07-28,16
2023-07-29,20
2023-07-30,20
2023-07-31,17
2023-08-01,20
2023-08-02,19
2023-08-03,16
2023-08-04,17
2023-08-05,22
2023-08-06,22
2023-08-07,18
2023-08-08,17
2023-08-09,18
2023-08-10,17
2023-08-11,16
2023-08-12,15
2023-08-13,20
2023-08-14,15
2023-08-15,16
2023-08-16,13
2023-08-17,15
2023-08-18,20
2023-08-19,22
2023-08-20,23
2023-08-21,20
2023-08-22,23
2023-08-23,24
2023-08-24,23
2023-08-25,24
2023-08-26,25
2023-08-27,26
2023-08-28,20
2023-08-29,19
2023-08-30,31
2023-08-31,25
2023-09-01,15
2023-09-02,25
2023-09-03,25
2023-09-04,31
2023-09-05,21
2023-09-06,25
2023-09-07,19
2023-09-08,21
2023-09-09,28
2023-09-10,26
2023-09-11,19
2023-09-12,18
2023-09-13,24
2023-09-14,26
2023-09-15,25
2023-09-16,25
2023-09-17,22
2023-09-18,24
2023-09-19,22
2023-09-20,23
2023-09-21,22
2023-09-22,20
2023-09-23,27
2023-09-24,31
2023-09-25,26
2023-09-26,21
2023-09-27,25
2023-09-28,21
2023-09-29,21
2023-09-30,22
2023-10-01,26
2023-10-02,21
2023-10-03,22
2023-10-04,19
2023-10-05,21
2023-10-06,18
2023-10-07,22
2023-10-08,25
2023-10-09,20
2023-10-10,20
2023-10-11,20
2023-10-12,21
2023-10-13,22
2023-10-14,25
2023-10-15,25
2023-10-16,21
2023-10-17,19
2023-10-18,21
2023-10-19,21
2023-10-20,18
2023-10-21,100
2023-10-22,40
2023-10-23,30
2023-10-24,21
2023-10-25,22
2023-10-26,23
2023-10-27,21
2023-10-28,29
2023-10-29,21
2023-10-30,23
2023-10-31,35
2023-11-01,23
2023-11-02,17
2023-11-03,18
2023-11-04,19
2023-11-05,17
2023-11-06,14
2023-11-07,16
2023-11-08,14
2023-11-09,13
2023-11-10,15
2023-11-11,12
2023-11-12,33
2023-11-13,27
2023-11-14,20
2023-11-15,18
2023-11-16,15
2023-11-17,15
2023-11-18,14
2023-11-19,15
2023-11-20,14
2023-11-21,17
2023-11-22,13
2023-11-23,19
2023-11-24,16
2023-11-25,17
2023-11-26,22
2023-11-27,18
2023-11-28,14
2023-11-29,15
2023-11-30,18
2023-12-01,19
2023-12-02,13
2023-12-03,14
2023-12-04,15
2023-12-05,15
2023-12-06,13
2023-12-07,18
2023-12-08,13
2023-12-09,15
2023-12-10,19
2023-12-11,13
2023-12-12,14
2023-12-13,16
2023-12-14,16
2023-12-15,14
2023-12-16,19
2023-12-17,21
2023-12-18,16
2023-12-19,19
2023-12-20,21
2023-12-21,19
2023-12-22,15
2023-12-23,17
2023-12-24,25
2023-12-25,53
2023-12-26,24
2023-12-27,16
2023-12-28,20
2023-12-29,18
2023-12-30,20
2023-12-31,18
2024-01-01,24
2024-01-02,20
2024-01-03,25
2024-01-04,18
2024-01-05,19
2024-01-06,18
2024-01-07,21
2024-01-08,15
2024-01-09,18
2024-01-10,17
2024-01-11,19
2024-01-12,14
2024-01-13,22
2024-01-14,19
2024-01-15,16
2024-01-16,16
2024-01-17,11
2024-01-18,20
2024-01-19,18
2024-01-20,19
