Time,obi wan kenobi
2023-12-22,25
2023-12-23,29
2023-12-24,42
2023-12-25,88
2023-12-26,40
2023-12-27,27
2023-12-28,33
2023-12-29,31
2023-12-30,33
2023-12-31,29
2024-01-01,39
2024-01-02,34
2024-01-03,41
2024-01-04,29
2024-01-05,31
2024-01-06,30
2024-01-07,35
2024-01-08,24
2024-01-09,30
2024-01-10,28
2024-01-11,31
2024-01-12,24
2024-01-13,36
2024-01-14,32
2024-01-15,27
2024-01-16,26
2024-01-17,17
2024-01-18,33
2024-01-19,30
2024-01-20,31
2024-01-21,34
2024-01-22,25
2024-01-23,24
2024-01-24,32
2024-01-25,26
2024-01-26,25
2024-01-27,32
2024-01-28,32
2024-01-29,24
2024-01-30,23
2024-01-31,20
2024-02-01,23
2024-02-02,28
2024-02-03,33
2024-02-04,32
2024-02-05,23
2024-02-06,25
2024-02-07,27
2024-02-08,31
2024-02-09,41
2024-02-10,44
2024-02-11,42
2024-02-12,21
2024-02-13,29
2024-02-14,25
2024-02-15,24
2024-02-16,31
2024-02-17,33
2024-02-18,36
2024-02-19,30
2024-02-20,18
2024-02-21,31
2024-02-22,32
2024-02-23,28
2024-02-24,36
2024-02-25,31
2024-02-26,30
2024-02-27,21
2024-02-28,30
2024-02-29,30
2024-03-01,25
2024-03-02,37
2024-03-03,32
2024-03-04,26
2024-03-05,29
2024-03-06,34
2024-03-07,28
2024-03-08,27
2024-03-09,31
2024-03-10,29
2024-03-11,23
2024-03-12,26
2024-03-13,31
2024-03-14,25
2024-03-15,31
2024-03-16,29
2024-03-17,25
2024-03-18,23
2024-03-19,27
2024-03-20,29
2024-03-21,29
2024-03-22,31
2024-03-23,27
2024-03-24,30
2024-03-25,31
2024-03-26,28
2024-03-27,21
2024-03-28,21
2024-03-29,30
2024-03-30,27
2024-03-31,42
2024-04-01,25
2024-04-02,24
2024-04-03,29
2024-04-04,18
2024-04-05,27
2024-04-06,31
2024-04-07,23
2024-04-08,27
2024-04-09,30
2024-04-10,22
2024-04-11,19
2024-04-12,26
2024-04-13,27
2024-04-14,24
2024-04-15,20
2024-04-16,24
2024-04-17,19
2024-04-18,18
2024-04-19,23
2024-04-20,29
2024-04-21,31
2024-04-22,29
2024-04-23,20
2024-04-24,22
2024-04-25,22
2024-04-26,24
2024-04-27,30
2024-04-28,36
2024-04-29,19
2024-04-30,28
2024-05-01,28
2024-05-02,33
2024-05-03,45
2024-05-04,83
2024-05-05,100
2024-05-06,53
2024-05-07,42
2024-05-08,37
2024-05-09,36
2024-05-10,30
2024-05-11,30
2024-05-12,40
2024-05-13,28
2024-05-14,32
2024-05-15,32
2024-05-16,29
2024-05-17,35
2024-05-18,28
2024-05-19,34
2024-05-20,33
2024-05-21,28
2024-05-22,30
2024-05-23,28
2024-05-24,29
2024-05-25,32
2024-05-26,38
2024-05-27,35
2024-05-28,32
2024-05-29,27
2024-05-30,26
2024-05-31,28
2024-06-01,36
2024-06-02,29
2024-06-03,31
2024-06-04,34
2024-06-05,36
2024-06-06,30
2024-06-07,27
2024-06-08,42
2024-06-09,26
2024-06-10,33
2024-06-11,32
2024-06-12,34
2024-06-13,37
2024-06-14,31
2024-06-15,28
2024-06-16,35
2024-06-17,23
2024-06-18,27
2024-06-19,26
2024-06-20,29
2024-06-21,34
2024-06-22,27
2024-06-23,26
2024-06-24,25
2024-06-25,25
2024-06-26,27
2024-06-27,21
2024-06-28,28
2024-06-29,28
2024-06-30,32
2024-07-01,24
2024-07-02,21
2024-07-03,27
2024-07-04,25
2024-07-05,26
2024-07-06,22
2024-07-07,30
2024-07-08,27
2024-07-09,29
2024-07-10,25
2024-07-11,26
2024-07-12,18
2024-07-13,26
2024-07-14,19
2024-07-15,20
2024-07-16,24
2024-07-17,18
2024-07-18,21
2024-07-19,22
2024-07-20,25
2024-07-21,18
2024-07-22,25
2024-07-23,18
2024-07-24,26
2024-07-25,21
2024-07-26,23
2024-07-27,27
2024-07-28,20
2024-07-29,17
2024-07-30,20
2024-07-31,25
2024-08-01,23
2024-08-02,26
2024-08-03,24
2024-08-04,24
2024-08-05,23
2024-08-06,15
2024-08-07,20
2024-08-08,24
2024-08-09,23
2024-08-10,28
2024-08-11,25
2024-08-12,22
2024-08-13,26
2024-08-14,18
2024-08-15,20
2024-08-16,16
2024-08-17,22
2024-08-18,20
2024-08-19,23
2024-08-20,28
2024-08-21,24
2024-08-22,20
2024-08-23,18
2024-08-24,17
2024-08-25,29
2024-08-26,15
2024-08-27,19
2024-08-28,16
2024-08-29,25
2024-08-30,19
2024-08-31,16
2024-09-01,35
2024-09-02,31
2024-09-03,19
2024-09-04,19
2024-09-05,18
2024-09-06,22
2024-09-07,22
2024-09-08,34
2024-09-09,21
2024-09-10,26
2024-09-11,21
2024-09-12,27
2024-09-13,27
2024-09-14,25
2024-09-15,28
2024-09-16,27
