Time,h&r block
2023-12-22,6
2023-12-23,4
2023-12-24,2
2023-12-25,2
2023-12-26,6
2023-12-27,8
2023-12-28,8
2023-12-29,8
2023-12-30,5
2023-12-31,4
2024-01-01,5
2024-01-02,12
2024-01-03,14
2024-01-04,13
2024-01-05,11
2024-01-06,10
2024-01-07,8
2024-01-08,12
2024-01-09,14
2024-01-10,14
2024-01-11,15
2024-01-12,16
2024-01-13,12
2024-01-14,12
2024-01-15,18
2024-01-16,20
2024-01-17,23
2024-01-18,25
2024-01-19,26
2024-01-20,29
2024-01-21,22
2024-01-22,34
2024-01-23,36
2024-01-24,39
2024-01-25,42
2024-01-26,39
2024-01-27,40
2024-01-28,35
2024-01-29,56
2024-01-30,57
2024-01-31,53
2024-02-01,54
2024-02-02,50
2024-02-03,53
2024-02-04,46
2024-02-05,51
2024-02-06,53
2024-02-07,49
2024-02-08,44
2024-02-09,42
2024-02-10,43
2024-02-11,32
2024-02-12,40
2024-02-13,45
2024-02-14,37
2024-02-15,41
2024-02-16,42
2024-02-17,42
2024-02-18,34
2024-02-19,45
2024-02-20,44
2024-02-21,39
2024-02-22,40
2024-02-23,35
2024-02-24,33
2024-02-25,27
2024-02-26,38
2024-02-27,35
2024-02-28,32
2024-02-29,31
2024-03-01,32
2024-03-02,32
2024-03-03,28
2024-03-04,35
2024-03-05,32
2024-03-06,32
2024-03-07,28
2024-03-08,27
2024-03-09,29
2024-03-10,23
2024-03-11,33
2024-03-12,29
2024-03-13,27
2024-03-14,27
2024-03-15,27
2024-03-16,25
2024-03-17,22
2024-03-18,32
2024-03-19,28
2024-03-20,27
2024-03-21,26
2024-03-22,24
2024-03-23,26
2024-03-24,22
2024-03-25,29
2024-03-26,27
2024-03-27,26
2024-03-28,26
2024-03-29,26
2024-03-30,24
2024-03-31,17
2024-04-01,36
2024-04-02,33
2024-04-03,33
2024-04-04,31
2024-04-05,30
2024-04-06,32
2024-04-07,31
2024-04-08,37
2024-04-09,40
2024-04-10,42
2024-04-11,42
2024-04-12,50
2024-04-13,54
2024-04-14,61
2024-04-15,100
2024-04-16,49
2024-04-17,15
2024-04-18,11
2024-04-19,10
2024-04-20,6
2024-04-21,5
2024-04-22,10
2024-04-23,9
2024-04-24,9
2024-04-25,8
2024-04-26,7
2024-04-27,5
2024-04-28,3
2024-04-29,9
2024-04-30,8
2024-05-01,7
2024-05-02,6
2024-05-03,6
2024-05-04,4
2024-05-05,3
2024-05-06,7
2024-05-07,6
2024-05-08,6
2024-05-09,6
2024-05-10,5
2024-05-11,3
2024-05-12,2
2024-05-13,6
2024-05-14,6
2024-05-15,5
2024-05-16,5
2024-05-17,4
2024-05-18,3
2024-05-19,2
2024-05-20,5
2024-05-21,4
2024-05-22,5
2024-05-23,5
2024-05-24,4
2024-05-25,2
2024-05-26,2
2024-05-27,2
2024-05-28,5
2024-05-29,5
2024-05-30,5
2024-05-31,4
2024-06-01,3
2024-06-02,2
2024-06-03,5
2024-06-04,5
2024-06-05,4
2024-06-06,4
2024-06-07,4
2024-06-08,2
2024-06-09,2
2024-06-10,4
2024-06-11,4
2024-06-12,4
2024-06-13,4
2024-06-14,4
2024-06-15,3
2024-06-16,2
2024-06-17,5
2024-06-18,4
2024-06-19,4
2024-06-20,4
2024-06-21,4
2024-06-22,3
2024-06-23,2
2024-06-24,4
2024-06-25,4
2024-06-26,4
2024-06-27,4
2024-06-28,4
2024-06-29,2
2024-06-30,2
2024-07-01,4
2024-07-02,4
2024-07-03,3
2024-07-04,1
2024-07-05,2
2024-07-06,2
2024-07-07,2
2024-07-08,4
2024-07-09,4
2024-07-10,4
2024-07-11,4
2024-07-12,3
2024-07-13,2
2024-07-14,2
2024-07-15,5
2024-07-16,4
2024-07-17,4
2024-07-18,3
2024-07-19,3
2024-07-20,2
2024-07-21,1
2024-07-22,4
2024-07-23,4
2024-07-24,3
2024-07-25,4
2024-07-26,3
2024-07-27,2
2024-07-28,1
2024-07-29,4
2024-07-30,4
2024-07-31,4
2024-08-01,3
2024-08-02,3
2024-08-03,2
2024-08-04,1
2024-08-05,4
2024-08-06,3
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,2
2024-08-11,2
2024-08-12,4
2024-08-13,4
2024-08-14,4
2024-08-15,4
2024-08-16,4
2024-08-17,2
2024-08-18,2
2024-08-19,4
2024-08-20,4
2024-08-21,4
2024-08-22,4
2024-08-23,3
2024-08-24,2
2024-08-25,2
2024-08-26,4
2024-08-27,4
2024-08-28,4
2024-08-29,4
2024-08-30,3
2024-08-31,2
2024-09-01,2
2024-09-02,2
2024-09-03,4
2024-09-04,4
2024-09-05,3
2024-09-06,3
2024-09-07,2
2024-09-08,2
2024-09-09,4
2024-09-10,4
2024-09-11,3
2024-09-12,4
2024-09-13,3
2024-09-14,2
2024-09-15,2
2024-09-16,4
