Time,google sheets
2023-12-22,48
2023-12-23,29
2023-12-24,23
2023-12-25,21
2023-12-26,42
2023-12-27,51
2023-12-28,51
2023-12-29,52
2023-12-30,38
2023-12-31,33
2024-01-01,45
2024-01-02,81
2024-01-03,82
2024-01-04,88
2024-01-05,76
2024-01-06,44
2024-01-07,47
2024-01-08,84
2024-01-09,84
2024-01-10,85
2024-01-11,83
2024-01-12,81
2024-01-13,44
2024-01-14,41
2024-01-15,60
2024-01-16,79
2024-01-17,84
2024-01-18,83
2024-01-19,83
2024-01-20,46
2024-01-21,46
2024-01-22,84
2024-01-23,84
2024-01-24,87
2024-01-25,85
2024-01-26,79
2024-01-27,48
2024-01-28,47
2024-01-29,90
2024-01-30,96
2024-01-31,97
2024-02-01,91
2024-02-02,92
2024-02-03,52
2024-02-04,53
2024-02-05,90
2024-02-06,94
2024-02-07,100
2024-02-08,95
2024-02-09,84
2024-02-10,52
2024-02-11,50
2024-02-12,76
2024-02-13,92
2024-02-14,83
2024-02-15,85
2024-02-16,80
2024-02-17,47
2024-02-18,47
2024-02-19,74
2024-02-20,90
2024-02-21,93
2024-02-22,89
2024-02-23,79
2024-02-24,48
2024-02-25,48
2024-02-26,87
2024-02-27,88
2024-02-28,81
2024-02-29,83
2024-03-01,81
2024-03-02,50
2024-03-03,46
2024-03-04,87
2024-03-05,85
2024-03-06,86
2024-03-07,82
2024-03-08,80
2024-03-09,45
2024-03-10,43
2024-03-11,80
2024-03-12,77
2024-03-13,91
2024-03-14,82
2024-03-15,78
2024-03-16,44
2024-03-17,43
2024-03-18,84
2024-03-19,84
2024-03-20,95
2024-03-21,79
2024-03-22,72
2024-03-23,43
2024-03-24,43
2024-03-25,78
2024-03-26,82
2024-03-27,81
2024-03-28,75
2024-03-29,66
2024-03-30,38
2024-03-31,39
2024-04-01,77
2024-04-02,88
2024-04-03,79
2024-04-04,83
2024-04-05,74
2024-04-06,42
2024-04-07,44
2024-04-08,70
2024-04-09,84
2024-04-10,84
2024-04-11,78
2024-04-12,82
2024-04-13,40
2024-04-14,45
2024-04-15,89
2024-04-16,84
2024-04-17,83
2024-04-18,80
2024-04-19,77
2024-04-20,40
2024-04-21,43
2024-04-22,79
2024-04-23,84
2024-04-24,82
2024-04-25,81
2024-04-26,72
2024-04-27,39
2024-04-28,41
2024-04-29,78
2024-04-30,84
2024-05-01,82
2024-05-02,77
2024-05-03,73
2024-05-04,37
2024-05-05,42
2024-05-06,79
2024-05-07,77
2024-05-08,77
2024-05-09,74
2024-05-10,72
2024-05-11,36
2024-05-12,33
2024-05-13,79
2024-05-14,82
2024-05-15,78
2024-05-16,77
2024-05-17,69
2024-05-18,35
2024-05-19,37
2024-05-20,82
2024-05-21,81
2024-05-22,76
2024-05-23,73
2024-05-24,66
2024-05-25,34
2024-05-26,32
2024-05-27,41
2024-05-28,72
2024-05-29,79
2024-05-30,77
2024-05-31,71
2024-06-01,39
2024-06-02,41
2024-06-03,80
2024-06-04,90
2024-06-05,83
2024-06-06,76
2024-06-07,63
2024-06-08,35
2024-06-09,40
2024-06-10,78
2024-06-11,78
2024-06-12,77
2024-06-13,77
2024-06-14,64
2024-06-15,35
2024-06-16,34
2024-06-17,77
2024-06-18,73
2024-06-19,64
2024-06-20,69
2024-06-21,64
2024-06-22,36
2024-06-23,37
2024-06-24,73
2024-06-25,74
2024-06-26,76
2024-06-27,69
2024-06-28,63
2024-06-29,35
2024-06-30,38
2024-07-01,78
2024-07-02,79
2024-07-03,71
2024-07-04,35
2024-07-05,49
2024-07-06,35
2024-07-07,39
2024-07-08,75
2024-07-09,75
2024-07-10,78
2024-07-11,75
2024-07-12,65
2024-07-13,35
2024-07-14,33
2024-07-15,74
2024-07-16,75
2024-07-17,74
2024-07-18,74
2024-07-19,64
2024-07-20,33
2024-07-21,36
2024-07-22,74
2024-07-23,78
2024-07-24,72
2024-07-25,76
2024-07-26,66
2024-07-27,34
2024-07-28,37
2024-07-29,77
2024-07-30,75
2024-07-31,70
2024-08-01,82
2024-08-02,69
2024-08-03,41
2024-08-04,41
2024-08-05,80
2024-08-06,74
2024-08-07,86
2024-08-08,78
2024-08-09,73
2024-08-10,40
2024-08-11,40
2024-08-12,81
2024-08-13,81
2024-08-14,86
2024-08-15,98
2024-08-16,80
2024-08-17,43
2024-08-18,45
2024-08-19,84
2024-08-20,90
2024-08-21,86
2024-08-22,83
2024-08-23,85
2024-08-24,48
2024-08-25,49
2024-08-26,96
2024-08-27,93
2024-08-28,91
2024-08-29,92
2024-08-30,84
2024-08-31,44
2024-09-01,47
2024-09-02,61
2024-09-03,93
2024-09-04,97
2024-09-05,88
2024-09-06,85
2024-09-07,44
2024-09-08,47
2024-09-09,93
2024-09-10,91
2024-09-11,91
2024-09-12,89
2024-09-13,80
2024-09-14,43
2024-09-15,44
2024-09-16,88
