Time,google sheets
2023-04-26,95
2023-04-27,90
2023-04-28,89
2023-04-29,46
2023-04-30,53
2023-05-01,99
2023-05-02,100
2023-05-03,92
2023-05-04,86
2023-05-05,82
2023-05-06,41
2023-05-07,44
2023-05-08,96
2023-05-09,87
2023-05-10,93
2023-05-11,84
2023-05-12,80
2023-05-13,39
2023-05-14,39
2023-05-15,92
2023-05-16,97
2023-05-17,92
2023-05-18,91
2023-05-19,80
2023-05-20,39
2023-05-21,41
2023-05-22,90
2023-05-23,96
2023-05-24,87
2023-05-25,85
2023-05-26,71
2023-05-27,38
2023-05-28,38
2023-05-29,46
2023-05-30,81
2023-05-31,85
2023-06-01,86
2023-06-02,76
2023-06-03,40
2023-06-04,43
2023-06-05,83
2023-06-06,87
2023-06-07,79
2023-06-08,83
2023-06-09,71
2023-06-10,38
2023-06-11,41
2023-06-12,82
2023-06-13,83
2023-06-14,85
2023-06-15,87
2023-06-16,68
2023-06-17,38
2023-06-18,35
2023-06-19,67
2023-06-20,82
2023-06-21,81
2023-06-22,78
2023-06-23,69
2023-06-24,38
2023-06-25,38
2023-06-26,80
2023-06-27,77
2023-06-28,76
2023-06-29,78
2023-06-30,66
2023-07-01,42
2023-07-02,39
2023-07-03,64
2023-07-04,41
2023-07-05,81
2023-07-06,80
2023-07-07,72
2023-07-08,42
2023-07-09,42
2023-07-10,80
2023-07-11,82
2023-07-12,84
2023-07-13,79
2023-07-14,77
2023-07-15,41
2023-07-16,43
2023-07-17,81
2023-07-18,75
2023-07-19,76
2023-07-20,75
2023-07-21,60
2023-07-22,36
2023-07-23,39
2023-07-24,71
2023-07-25,75
2023-07-26,78
2023-07-27,76
2023-07-28,63
2023-07-29,38
2023-07-30,40
2023-07-31,73
2023-08-01,84
2023-08-02,79
2023-08-03,80
2023-08-04,73
2023-08-05,37
2023-08-06,39
2023-08-07,75
2023-08-08,71
2023-08-09,75
2023-08-10,76
2023-08-11,69
2023-08-12,39
2023-08-13,41
2023-08-14,76
2023-08-15,83
2023-08-16,81
2023-08-17,83
2023-08-18,76
2023-08-19,40
2023-08-20,46
2023-08-21,87
2023-08-22,87
2023-08-23,94
2023-08-24,89
2023-08-25,77
2023-08-26,42
2023-08-27,50
2023-08-28,90
2023-08-29,92
2023-08-30,91
2023-08-31,89
2023-09-01,77
2023-09-02,40
2023-09-03,40
2023-09-04,53
2023-09-05,90
2023-09-06,87
2023-09-07,88
2023-09-08,83
2023-09-09,42
2023-09-10,46
2023-09-11,91
2023-09-12,95
2023-09-13,91
2023-09-14,93
2023-09-15,85
2023-09-16,39
2023-09-17,45
2023-09-18,91
2023-09-19,92
2023-09-20,89
2023-09-21,91
2023-09-22,79
2023-09-23,40
2023-09-24,45
2023-09-25,86
2023-09-26,88
2023-09-27,89
2023-09-28,88
2023-09-29,77
2023-09-30,42
2023-10-01,43
2023-10-02,100
2023-10-03,100
2023-10-04,95
2023-10-05,93
2023-10-06,77
2023-10-07,39
2023-10-08,43
2023-10-09,79
2023-10-10,91
2023-10-11,87
2023-10-12,82
2023-10-13,78
2023-10-14,39
2023-10-15,43
2023-10-16,84
2023-10-17,86
2023-10-18,84
2023-10-19,84
2023-10-20,73
2023-10-21,37
2023-10-22,42
2023-10-23,83
2023-10-24,84
2023-10-25,85
2023-10-26,83
2023-10-27,74
2023-10-28,34
2023-10-29,38
2023-10-30,89
2023-10-31,78
2023-11-01,90
2023-11-02,84
2023-11-03,75
2023-11-04,39
2023-11-05,40
2023-11-06,86
2023-11-07,84
2023-11-08,79
2023-11-09,79
2023-11-10,64
2023-11-11,38
2023-11-12,41
2023-11-13,80
2023-11-14,86
2023-11-15,78
2023-11-16,82
2023-11-17,68
2023-11-18,36
2023-11-19,37
2023-11-20,75
2023-11-21,67
2023-11-22,56
2023-11-23,29
2023-11-24,31
2023-11-25,31
2023-11-26,38
2023-11-27,78
2023-11-28,85
2023-11-29,82
2023-11-30,82
2023-12-01,75
2023-12-02,42
2023-12-03,41
2023-12-04,78
2023-12-05,88
2023-12-06,78
2023-12-07,82
2023-12-08,81
2023-12-09,48
2023-12-10,47
2023-12-11,92
2023-12-12,87
2023-12-13,88
2023-12-14,73
2023-12-15,68
2023-12-16,37
2023-12-17,38
2023-12-18,70
2023-12-19,73
2023-12-20,70
2023-12-21,64
2023-12-22,48
2023-12-23,29
2023-12-24,23
2023-12-25,21
2023-12-26,42
2023-12-27,51
2023-12-28,51
2023-12-29,52
2023-12-30,38
2023-12-31,33
2024-01-01,45
2024-01-02,81
2024-01-03,82
2024-01-04,88
2024-01-05,76
2024-01-06,44
2024-01-07,47
2024-01-08,84
2024-01-09,84
2024-01-10,85
2024-01-11,83
2024-01-12,81
2024-01-13,44
2024-01-14,41
2024-01-15,60
2024-01-16,80
2024-01-17,84
2024-01-18,84
2024-01-19,83
2024-01-20,46
