Time,goog stock
2023-12-22,21
2023-12-23,5
2023-12-24,4
2023-12-25,3
2023-12-26,17
2023-12-27,17
2023-12-28,18
2023-12-29,17
2023-12-30,5
2023-12-31,3
2024-01-01,4
2024-01-02,17
2024-01-03,17
2024-01-04,16
2024-01-05,14
2024-01-06,5
2024-01-07,3
2024-01-08,17
2024-01-09,17
2024-01-10,20
2024-01-11,28
2024-01-12,20
2024-01-13,7
2024-01-14,3
2024-01-15,5
2024-01-16,16
2024-01-17,16
2024-01-18,20
2024-01-19,23
2024-01-20,8
2024-01-21,4
2024-01-22,19
2024-01-23,19
2024-01-24,25
2024-01-25,29
2024-01-26,22
2024-01-27,6
2024-01-28,4
2024-01-29,24
2024-01-30,76
2024-01-31,71
2024-02-01,41
2024-02-02,40
2024-02-03,9
2024-02-04,6
2024-02-05,26
2024-02-06,26
2024-02-07,22
2024-02-08,26
2024-02-09,27
2024-02-10,9
2024-02-11,4
2024-02-12,20
2024-02-13,24
2024-02-14,21
2024-02-15,27
2024-02-16,22
2024-02-17,6
2024-02-18,3
2024-02-19,6
2024-02-20,18
2024-02-21,22
2024-02-22,26
2024-02-23,23
2024-02-24,6
2024-02-25,4
2024-02-26,30
2024-02-27,32
2024-02-28,30
2024-02-29,29
2024-03-01,25
2024-03-02,9
2024-03-03,7
2024-03-04,32
2024-03-05,27
2024-03-06,27
2024-03-07,28
2024-03-08,30
2024-03-09,7
2024-03-10,4
2024-03-11,24
2024-03-12,21
2024-03-13,24
2024-03-14,25
2024-03-15,21
2024-03-16,5
2024-03-17,3
2024-03-18,51
2024-03-19,32
2024-03-20,30
2024-03-21,25
2024-03-22,28
2024-03-23,8
2024-03-24,5
2024-03-25,25
2024-03-26,25
2024-03-27,22
2024-03-28,22
2024-03-29,12
2024-03-30,4
2024-03-31,3
2024-04-01,29
2024-04-02,23
2024-04-03,21
2024-04-04,24
2024-04-05,22
2024-04-06,7
2024-04-07,3
2024-04-08,18
2024-04-09,26
2024-04-10,26
2024-04-11,24
2024-04-12,22
2024-04-13,6
2024-04-14,5
2024-04-15,22
2024-04-16,20
2024-04-17,17
2024-04-18,20
2024-04-19,19
2024-04-20,6
2024-04-21,4
2024-04-22,20
2024-04-23,23
2024-04-24,27
2024-04-25,100
2024-04-26,89
2024-04-27,14
2024-04-28,7
2024-04-29,37
2024-04-30,31
2024-05-01,29
2024-05-02,30
2024-05-03,27
2024-05-04,7
2024-05-05,3
2024-05-06,26
2024-05-07,25
2024-05-08,22
2024-05-09,21
2024-05-10,23
2024-05-11,7
2024-05-12,5
2024-05-13,26
2024-05-14,42
2024-05-15,31
2024-05-16,30
2024-05-17,25
2024-05-18,6
2024-05-19,5
2024-05-20,25
2024-05-21,25
2024-05-22,25
2024-05-23,25
2024-05-24,24
2024-05-25,4
2024-05-26,2
2024-05-27,5
2024-05-28,22
2024-05-29,22
2024-05-30,21
2024-05-31,21
2024-06-01,7
2024-06-02,5
2024-06-03,22
2024-06-04,18
2024-06-05,24
2024-06-06,23
2024-06-07,18
2024-06-08,5
2024-06-09,4
2024-06-10,25
2024-06-11,22
2024-06-12,23
2024-06-13,23
2024-06-14,19
2024-06-15,5
2024-06-16,3
2024-06-17,21
2024-06-18,19
2024-06-19,7
2024-06-20,19
2024-06-21,22
2024-06-22,5
2024-06-23,4
2024-06-24,24
2024-06-25,27
2024-06-26,27
2024-06-27,26
2024-06-28,24
2024-06-29,5
2024-06-30,2
2024-07-01,22
2024-07-02,19
2024-07-03,17
2024-07-04,5
2024-07-05,19
2024-07-06,7
2024-07-07,5
2024-07-08,20
2024-07-09,21
2024-07-10,22
2024-07-11,22
2024-07-12,20
2024-07-13,5
2024-07-14,3
2024-07-15,21
2024-07-16,21
2024-07-17,17
2024-07-18,23
2024-07-19,20
2024-07-20,6
2024-07-21,4
2024-07-22,26
2024-07-23,83
2024-07-24,67
2024-07-25,42
2024-07-26,35
2024-07-27,7
2024-07-28,5
2024-07-29,26
2024-07-30,26
2024-07-31,27
2024-08-01,27
2024-08-02,27
2024-08-03,6
2024-08-04,4
2024-08-05,59
2024-08-06,41
2024-08-07,29
2024-08-08,23
2024-08-09,23
2024-08-10,5
2024-08-11,5
2024-08-12,21
2024-08-13,28
2024-08-14,35
2024-08-15,27
2024-08-16,25
2024-08-17,6
2024-08-18,3
2024-08-19,24
2024-08-20,22
2024-08-21,21
2024-08-22,18
2024-08-23,19
2024-08-24,5
2024-08-25,3
2024-08-26,19
2024-08-27,16
2024-08-28,20
2024-08-29,19
2024-08-30,16
2024-08-31,5
2024-09-01,2
2024-09-02,5
2024-09-03,19
2024-09-04,17
2024-09-05,17
2024-09-06,23
2024-09-07,3
2024-09-08,4
2024-09-09,25
2024-09-10,22
2024-09-11,21
2024-09-12,20
2024-09-13,23
2024-09-14,7
2024-09-15,4
2024-09-16,17
