Time,don't worry darling
2023-12-22,20
2023-12-23,24
2023-12-24,22
2023-12-25,21
2023-12-26,25
2023-12-27,32
2023-12-28,29
2023-12-29,29
2023-12-30,35
2023-12-31,32
2024-01-01,33
2024-01-02,28
2024-01-03,24
2024-01-04,16
2024-01-05,21
2024-01-06,36
2024-01-07,43
2024-01-08,29
2024-01-09,26
2024-01-10,20
2024-01-11,21
2024-01-12,21
2024-01-13,31
2024-01-14,28
2024-01-15,29
2024-01-16,16
2024-01-17,16
2024-01-18,12
2024-01-19,16
2024-01-20,26
2024-01-21,21
2024-01-22,18
2024-01-23,12
2024-01-24,12
2024-01-25,12
2024-01-26,14
2024-01-27,23
2024-01-28,25
2024-01-29,14
2024-01-30,15
2024-01-31,19
2024-02-01,16
2024-02-02,16
2024-02-03,27
2024-02-04,28
2024-02-05,19
2024-02-06,17
2024-02-07,16
2024-02-08,19
2024-02-09,20
2024-02-10,43
2024-02-11,100
2024-02-12,44
2024-02-13,43
2024-02-14,34
2024-02-15,29
2024-02-16,37
2024-02-17,65
2024-02-18,71
2024-02-19,44
2024-02-20,27
2024-02-21,31
2024-02-22,24
2024-02-23,19
2024-02-24,41
2024-02-25,47
2024-02-26,31
2024-02-27,29
2024-02-28,34
2024-02-29,30
2024-03-01,26
2024-03-02,32
2024-03-03,37
2024-03-04,26
2024-03-05,19
2024-03-06,26
2024-03-07,20
2024-03-08,21
2024-03-09,23
2024-03-10,31
2024-03-11,22
2024-03-12,13
2024-03-13,20
2024-03-14,21
2024-03-15,22
2024-03-16,24
2024-03-17,22
2024-03-18,15
2024-03-19,10
2024-03-20,11
2024-03-21,11
2024-03-22,12
2024-03-23,19
2024-03-24,20
2024-03-25,12
2024-03-26,13
2024-03-27,12
2024-03-28,10
2024-03-29,15
2024-03-30,16
2024-03-31,16
2024-04-01,14
2024-04-02,16
2024-04-03,12
2024-04-04,9
2024-04-05,15
2024-04-06,14
2024-04-07,14
2024-04-08,12
2024-04-09,8
2024-04-10,10
2024-04-11,9
2024-04-12,10
2024-04-13,11
2024-04-14,10
2024-04-15,10
2024-04-16,6
2024-04-17,10
2024-04-18,11
2024-04-19,8
2024-04-20,12
2024-04-21,15
2024-04-22,13
2024-04-23,10
2024-04-24,8
2024-04-25,10
2024-04-26,8
2024-04-27,13
2024-04-28,19
2024-04-29,10
2024-04-30,16
2024-05-01,10
2024-05-02,11
2024-05-03,14
2024-05-04,18
2024-05-05,20
2024-05-06,10
2024-05-07,10
2024-05-08,8
2024-05-09,9
2024-05-10,8
2024-05-11,12
2024-05-12,13
2024-05-13,9
2024-05-14,8
2024-05-15,9
2024-05-16,7
2024-05-17,7
2024-05-18,9
2024-05-19,12
2024-05-20,11
2024-05-21,13
2024-05-22,11
2024-05-23,15
2024-05-24,15
2024-05-25,15
2024-05-26,27
2024-05-27,21
2024-05-28,16
2024-05-29,18
2024-05-30,14
2024-05-31,13
2024-06-01,21
2024-06-02,41
2024-06-03,44
2024-06-04,48
2024-06-05,29
2024-06-06,18
2024-06-07,17
2024-06-08,27
2024-06-09,26
2024-06-10,20
2024-06-11,19
2024-06-12,17
2024-06-13,10
2024-06-14,11
2024-06-15,15
2024-06-16,14
2024-06-17,11
2024-06-18,9
2024-06-19,11
2024-06-20,11
2024-06-21,10
2024-06-22,16
2024-06-23,15
2024-06-24,11
2024-06-25,12
2024-06-26,11
2024-06-27,9
2024-06-28,13
2024-06-29,13
2024-06-30,15
2024-07-01,10
2024-07-02,9
2024-07-03,10
2024-07-04,16
2024-07-05,9
2024-07-06,9
2024-07-07,10
2024-07-08,10
2024-07-09,8
2024-07-10,8
2024-07-11,8
2024-07-12,4
2024-07-13,10
2024-07-14,8
2024-07-15,10
2024-07-16,9
2024-07-17,12
2024-07-18,14
2024-07-19,10
2024-07-20,13
2024-07-21,13
2024-07-22,11
2024-07-23,8
2024-07-24,9
2024-07-25,12
2024-07-26,11
2024-07-27,11
2024-07-28,14
2024-07-29,11
2024-07-30,9
2024-07-31,7
2024-08-01,8
2024-08-02,6
2024-08-03,10
2024-08-04,13
2024-08-05,8
2024-08-06,7
2024-08-07,12
2024-08-08,8
2024-08-09,14
2024-08-10,12
2024-08-11,14
2024-08-12,10
2024-08-13,10
2024-08-14,12
2024-08-15,10
2024-08-16,10
2024-08-17,11
2024-08-18,11
2024-08-19,8
2024-08-20,7
2024-08-21,7
2024-08-22,8
2024-08-23,8
2024-08-24,4
2024-08-25,10
2024-08-26,8
2024-08-27,6
2024-08-28,8
2024-08-29,6
2024-08-30,8
2024-08-31,12
2024-09-01,20
2024-09-02,31
2024-09-03,10
2024-09-04,11
2024-09-05,7
2024-09-06,10
2024-09-07,11
2024-09-08,19
2024-09-09,9
2024-09-10,9
2024-09-11,9
2024-09-12,6
2024-09-13,7
2024-09-14,15
2024-09-15,16
2024-09-16,16
