Time,dj moore
2023-12-22,5
2023-12-23,6
2023-12-24,100
2023-12-25,21
2023-12-26,8
2023-12-27,9
2023-12-28,9
2023-12-29,10
2023-12-30,9
2023-12-31,45
2024-01-01,28
2024-01-02,17
2024-01-03,13
2024-01-04,20
2024-01-05,14
2024-01-06,8
2024-01-07,41
2024-01-08,16
2024-01-09,8
2024-01-10,7
2024-01-11,6
2024-01-12,7
2024-01-13,6
2024-01-14,8
2024-01-15,5
2024-01-16,7
2024-01-17,6
2024-01-18,4
2024-01-19,3
2024-01-20,4
2024-01-21,5
2024-01-22,3
2024-01-23,4
2024-01-24,21
2024-01-25,12
2024-01-26,9
2024-01-27,6
2024-01-28,4
2024-01-29,5
2024-01-30,4
2024-01-31,4
2024-02-01,4
2024-02-02,4
2024-02-03,2
2024-02-04,4
2024-02-05,4
2024-02-06,2
2024-02-07,3
2024-02-08,4
2024-02-09,4
2024-02-10,2
2024-02-11,3
2024-02-12,3
2024-02-13,4
2024-02-14,4
2024-02-15,3
2024-02-16,2
2024-02-17,3
2024-02-18,3
2024-02-19,2
2024-02-20,4
2024-02-21,4
2024-02-22,2
2024-02-23,2
2024-02-24,3
2024-02-25,2
2024-02-26,2
2024-02-27,3
2024-02-28,2
2024-02-29,2
2024-03-01,2
2024-03-02,2
2024-03-03,2
2024-03-04,2
2024-03-05,3
2024-03-06,2
2024-03-07,1
2024-03-08,2
2024-03-09,3
2024-03-10,3
2024-03-11,5
2024-03-12,8
2024-03-13,6
2024-03-14,5
2024-03-15,33
2024-03-16,11
2024-03-17,17
2024-03-18,7
2024-03-19,6
2024-03-20,5
2024-03-21,5
2024-03-22,3
2024-03-23,3
2024-03-24,3
2024-03-25,2
2024-03-26,2
2024-03-27,2
2024-03-28,3
2024-03-29,3
2024-03-30,0
2024-03-31,4
2024-04-01,3
2024-04-02,2
2024-04-03,2
2024-04-04,3
2024-04-05,3
2024-04-06,4
2024-04-07,3
2024-04-08,4
2024-04-09,2
2024-04-10,3
2024-04-11,2
2024-04-12,3
2024-04-13,0
2024-04-14,2
2024-04-15,2
2024-04-16,4
2024-04-17,2
2024-04-18,2
2024-04-19,2
2024-04-20,2
2024-04-21,2
2024-04-22,2
2024-04-23,2
2024-04-24,4
2024-04-25,5
2024-04-26,27
2024-04-27,7
2024-04-28,4
2024-04-29,3
2024-04-30,6
2024-05-01,5
2024-05-02,3
2024-05-03,3
2024-05-04,3
2024-05-05,3
2024-05-06,4
2024-05-07,2
2024-05-08,3
2024-05-09,2
2024-05-10,3
2024-05-11,0
2024-05-12,3
2024-05-13,5
2024-05-14,3
2024-05-15,2
2024-05-16,4
2024-05-17,2
2024-05-18,3
2024-05-19,2
2024-05-20,2
2024-05-21,6
2024-05-22,4
2024-05-23,4
2024-05-24,2
2024-05-25,0
2024-05-26,3
2024-05-27,2
2024-05-28,2
2024-05-29,2
2024-05-30,3
2024-05-31,3
2024-06-01,2
2024-06-02,3
2024-06-03,3
2024-06-04,2
2024-06-05,3
2024-06-06,2
2024-06-07,1
2024-06-08,2
2024-06-09,2
2024-06-10,0
2024-06-11,2
2024-06-12,4
2024-06-13,2
2024-06-14,2
2024-06-15,0
2024-06-16,2
2024-06-17,3
2024-06-18,2
2024-06-19,2
2024-06-20,0
2024-06-21,2
2024-06-22,2
2024-06-23,0
2024-06-24,2
2024-06-25,2
2024-06-26,0
2024-06-27,0
2024-06-28,0
2024-06-29,2
2024-06-30,3
2024-07-01,3
2024-07-02,1
2024-07-03,0
2024-07-04,2
2024-07-05,2
2024-07-06,0
2024-07-07,2
2024-07-08,3
2024-07-09,2
2024-07-10,2
2024-07-11,3
2024-07-12,2
2024-07-13,2
2024-07-14,2
2024-07-15,1
2024-07-16,2
2024-07-17,3
2024-07-18,2
2024-07-19,0
2024-07-20,2
2024-07-21,3
2024-07-22,3
2024-07-23,3
2024-07-24,2
2024-07-25,2
2024-07-26,2
2024-07-27,4
2024-07-28,2
2024-07-29,5
2024-07-30,21
2024-07-31,57
2024-08-01,17
2024-08-02,13
2024-08-03,7
2024-08-04,6
2024-08-05,5
2024-08-06,5
2024-08-07,17
2024-08-08,11
2024-08-09,9
2024-08-10,10
2024-08-11,10
2024-08-12,8
2024-08-13,9
2024-08-14,17
2024-08-15,12
2024-08-16,11
2024-08-17,11
2024-08-18,11
2024-08-19,10
2024-08-20,7
2024-08-21,10
2024-08-22,10
2024-08-23,9
2024-08-24,15
2024-08-25,14
2024-08-26,15
2024-08-27,12
2024-08-28,11
2024-08-29,15
2024-08-30,12
2024-08-31,14
2024-09-01,16
2024-09-02,21
2024-09-03,18
2024-09-04,24
2024-09-05,24
2024-09-06,11
2024-09-07,12
2024-09-08,37
2024-09-09,8
2024-09-10,7
2024-09-11,8
2024-09-12,11
2024-09-13,8
2024-09-14,8
2024-09-15,42
2024-09-16,55
