Time,dj moore
2022-01-01,17
2022-01-02,53
2022-01-03,11
2022-01-04,0
2022-01-05,0
2022-01-06,8
2022-01-07,13
2022-01-08,12
2022-01-09,37
2022-01-10,20
2022-01-11,12
2022-01-12,9
2022-01-13,0
2022-01-14,0
2022-01-15,8
2022-01-16,7
2022-01-17,7
2022-01-18,7
2022-01-19,6
2022-01-20,0
2022-01-21,0
2022-01-22,9
2022-01-23,5
2022-01-24,6
2022-01-25,5
2022-01-26,6
2022-01-27,0
2022-01-28,0
2022-01-29,7
2022-01-30,0
2022-01-31,0
2022-02-01,6
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,7
2022-02-07,0
2022-02-08,0
2022-02-09,8
2022-02-10,6
2022-02-11,0
2022-02-12,0
2022-02-13,6
2022-02-14,5
2022-02-15,0
2022-02-16,0
2022-02-17,5
2022-02-18,0
2022-02-19,0
2022-02-20,6
2022-02-21,5
2022-02-22,0
2022-02-23,4
2022-02-24,0
2022-02-25,7
2022-02-26,0
2022-02-27,7
2022-02-28,0
2022-03-01,0
2022-03-02,6
2022-03-03,5
2022-03-04,5
2022-03-05,0
2022-03-06,5
2022-03-07,5
2022-03-08,5
2022-03-09,0
2022-03-10,6
2022-03-11,5
2022-03-12,5
2022-03-13,8
2022-03-14,10
2022-03-15,14
2022-03-16,8
2022-03-17,0
2022-03-18,38
2022-03-19,24
2022-03-20,13
2022-03-21,9
2022-03-22,0
2022-03-23,10
2022-03-24,9
2022-03-25,10
2022-03-26,7
2022-03-27,11
2022-03-28,12
2022-03-29,7
2022-03-30,8
2022-03-31,5
2022-04-01,6
2022-04-02,5
2022-04-03,7
2022-04-04,7
2022-04-05,0
2022-04-06,6
2022-04-07,7
2022-04-08,15
2022-04-09,10
2022-04-10,7
2022-04-11,5
2022-04-12,5
2022-04-13,6
2022-04-14,7
2022-04-15,10
2022-04-16,8
2022-04-17,7
2022-04-18,5
2022-04-19,7
2022-04-20,10
2022-04-21,7
2022-04-22,10
2022-04-23,8
2022-04-24,4
2022-04-25,7
2022-04-26,0
2022-04-27,8
2022-04-28,6
2022-04-29,8
2022-04-30,10
2022-05-01,9
2022-05-02,6
2022-05-03,4
2022-05-04,9
2022-05-05,7
2022-05-06,4
2022-05-07,7
2022-05-08,6
2022-05-09,6
2022-05-10,6
2022-05-11,7
2022-05-12,6
2022-05-13,6
2022-05-14,6
2022-05-15,6
2022-05-16,5
2022-05-17,8
2022-05-18,6
2022-05-19,0
2022-05-20,0
2022-05-21,5
2022-05-22,8
2022-05-23,9
2022-05-24,7
2022-05-25,7
2022-05-26,6
2022-05-27,9
2022-05-28,7
2022-05-29,15
2022-05-30,6
2022-05-31,8
2022-06-01,5
2022-06-02,5
2022-06-03,5
2022-06-04,0
2022-06-05,0
2022-06-06,5
2022-06-07,5
2022-06-08,7
2022-06-09,8
2022-06-10,6
2022-06-11,0
2022-06-12,7
2022-06-13,5
2022-06-14,9
2022-06-15,7
2022-06-16,6
2022-06-17,7
2022-06-18,9
2022-06-19,6
2022-06-20,7
2022-06-21,0
2022-06-22,5
2022-06-23,0
2022-06-24,5
2022-06-25,6
2022-06-26,6
2022-06-27,0
2022-06-28,7
2022-06-29,7
2022-06-30,0
2022-07-01,5
2022-07-02,0
2022-07-03,9
2022-07-04,0
2022-07-05,0
2022-07-06,29
2022-07-07,18
2022-07-08,11
2022-07-09,5
2022-07-10,9
2022-07-11,8
2022-07-12,7
2022-07-13,8
2022-07-14,8
2022-07-15,8
2022-07-16,0
2022-07-17,9
2022-07-18,15
2022-07-19,12
2022-07-20,9
2022-07-21,8
2022-07-22,8
2022-07-23,0
2022-07-24,10
2022-07-25,0
2022-07-26,8
2022-07-27,9
2022-07-28,11
2022-07-29,13
2022-07-30,8
2022-07-31,6
2022-08-01,11
2022-08-02,11
2022-08-03,10
2022-08-04,12
2022-08-05,13
2022-08-06,7
2022-08-07,13
2022-08-08,12
2022-08-09,18
2022-08-10,16
2022-08-11,10
2022-08-12,36
2022-08-13,30
2022-08-14,25
2022-08-15,15
2022-08-16,21
2022-08-17,15
2022-08-18,18
2022-08-19,15
2022-08-20,28
2022-08-21,40
2022-08-22,28
2022-08-23,31
2022-08-24,29
2022-08-25,27
2022-08-26,24
2022-08-27,58
2022-08-28,53
2022-08-29,46
2022-08-30,38
2022-08-31,37
2022-09-01,35
2022-09-02,33
2022-09-03,40
2022-09-04,53
2022-09-05,62
2022-09-06,57
2022-09-07,61
2022-09-08,54
2022-09-09,28
2022-09-10,23
2022-09-11,62
2022-09-12,22
2022-09-13,29
2022-09-14,39
2022-09-15,46
2022-09-16,30
2022-09-17,26
2022-09-18,100
2022-09-19,18
2022-09-20,25
2022-09-21,35
2022-09-22,40
2022-09-23,37
2022-09-24,22
2022-09-25,85
2022-09-26,34
2022-09-27,33
