Time,breaking_news
2022-01-01,39.0
2022-01-02,35.0
2022-01-03,36.0
2022-01-04,47.0
2022-01-05,45.0
2022-01-06,38.0
2022-01-07,43.0
2022-01-08,35.0
2022-01-09,35.0
2022-01-10,39.0
2022-01-11,38.0
2022-01-12,38.0
2022-01-13,42.0
2022-01-14,34.0
2022-01-15,40.0
2022-01-16,36.0
2022-01-17,36.0
2022-01-18,34.0
2022-01-19,37.0
2022-01-20,37.0
2022-01-21,35.0
2022-01-22,37.0
2022-01-23,33.0
2022-01-24,54.0
2022-01-25,36.0
2022-01-26,38.0
2022-01-27,37.0
2022-01-28,40.0
2022-01-29,39.0
2022-01-30,37.0
2022-01-31,41.0
2022-02-01,40.0
2022-02-02,41.0
2022-02-03,43.0
2022-02-04,38.0
2022-02-05,36.0
2022-02-06,37.0
2022-02-07,39.0
2022-02-08,36.0
2022-02-09,36.0
2022-02-10,37.0
2022-02-11,43.0
2022-02-12,39.0
2022-02-13,36.0
2022-02-14,43.0
2022-02-15,44.0
2022-02-16,43.0
2022-02-17,41.0
2022-02-18,43.0
2022-02-19,42.0
2022-02-20,41.0
2022-02-21,49.0
2022-02-22,50.0
2022-02-23,45.0
2022-02-24,100.0
2022-02-25,62.0
2022-02-26,56.0
2022-02-27,54.0
2022-02-28,57.0
2022-03-01,56.0
2022-03-02,53.0
2022-03-03,52.0
2022-03-04,49.0
2022-03-05,44.0
2022-03-06,44.0
2022-03-07,50.0
2022-03-08,46.0
2022-03-09,45.0
2022-03-10,42.0
2022-03-11,43.0
2022-03-12,40.0
2022-03-13,49.0
2022-03-14,43.0
2022-03-15,44.0
2022-03-16,44.0
2022-03-17,46.0
2022-03-18,47.0
2022-03-19,38.0
2022-03-20,43.0
2022-03-21,43.0
2022-03-22,45.0
2022-03-23,42.0
2022-03-24,41.0
2022-03-25,39.0
2022-03-26,41.0
2022-03-27,38.0
2022-03-28,38.0
2022-03-29,36.0
2022-03-30,39.0
2022-03-31,39.0
2022-04-01,37.0
2022-04-02,35.0
2022-04-03,36.0
2022-04-04,36.0
2022-04-05,38.0
2022-04-06,36.0
2022-04-07,37.0
2022-04-08,37.0
2022-04-09,35.0
2022-04-10,36.0
2022-04-11,35.0
2022-04-12,52.0
2022-04-13,46.0
2022-04-14,38.0
2022-04-15,37.0
2022-04-16,36.0
2022-04-17,35.0
2022-04-18,34.0
2022-04-19,32.0
2022-04-20,35.0
2022-04-21,36.0
2022-04-22,35.0
2022-04-23,36.0
2022-04-24,35.0
2022-04-25,35.0
2022-04-26,36.0
2022-04-27,34.0
2022-04-28,34.0
2022-04-29,34.0
2022-04-30,36.0
2022-05-01,34.0
2022-05-02,34.0
2022-05-03,36.0
2022-05-04,34.0
2022-05-05,35.0
2022-05-06,38.0
2022-05-07,34.0
2022-05-08,36.0
2022-05-09,41.0
2022-05-10,37.0
2022-05-11,35.0
2022-05-12,39.0
2022-05-13,34.0
2022-05-14,38.0
2022-05-15,42.0
2022-05-16,44.0
2022-05-17,37.0
2022-05-18,38.0
2022-05-19,36.0
2022-05-20,37.0
2022-05-21,34.0
2022-05-22,33.0
2022-05-23,34.0
2022-05-24,56.0
2022-05-25,53.0
2022-05-26,43.0
2022-05-27,41.0
2022-05-28,37.0
2022-05-29,38.0
2022-05-30,39.0
2022-05-31,41.0
2022-06-01,42.0
2022-06-02,43.0
2022-06-03,40.0
2022-06-04,37.0
2022-06-05,39.0
2022-06-06,38.0
2022-06-07,38.0
2022-06-08,39.0
2022-06-09,42.0
2022-06-10,47.0
2022-06-11,36.0
2022-06-12,38.0
2022-06-13,38.0
2022-06-14,44.0
2022-06-15,39.0
2022-06-16,39.0
2022-06-17,37.0
2022-06-18,37.0
2022-06-19,36.0
2022-06-20,41.0
2022-06-21,39.0
2022-06-22,37.0
2022-06-23,42.0
2022-06-24,53.0
2022-06-25,43.0
2022-06-26,39.0
2022-06-27,42.0
2022-06-28,44.0
2022-06-29,42.0
2022-06-30,41.0
2022-07-01,38.0
2022-07-02,36.0
2022-07-03,40.0
2022-07-04,53.0
2022-07-05,50.0
2022-07-06,42.0
2022-07-07,41.0
2022-07-08,44.0
2022-07-09,40.0
2022-07-10,39.0
2022-07-11,39.0
2022-07-12,41.0
2022-07-13,39.0
2022-07-14,40.0
2022-07-15,40.0
2022-07-16,39.0
2022-07-17,42.0
2022-07-18,43.0
2022-07-19,41.0
2022-07-20,41.0
2022-07-21,42.0
2022-07-22,44.0
2022-07-23,38.0
2022-07-24,40.0
2022-07-25,40.0
2022-07-26,39.0
2022-07-27,40.0
2022-07-28,41.0
2022-07-29,41.0
2022-07-30,38.0
2022-07-31,40.0
2022-08-01,43.0
2022-08-02,46.0
2022-08-03,42.0
2022-08-04,46.0
2022-08-05,42.0
2022-08-06,39.0
2022-08-07,41.0
2022-08-08,45.0
2022-08-09,59.0
2022-08-10,44.0
2022-08-11,45.0
2022-08-12,56.0
2022-08-13,48.0
2022-08-14,47.0
2022-08-15,45.0
2022-08-16,46.0
2022-08-17,42.0
2022-08-18,44.0
2022-08-19,42.0
2022-08-20,39.0
2022-08-21,40.0
2022-08-22,39.0
2022-08-23,43.0
2022-08-24,40.0
2022-08-25,42.0
2022-08-26,41.0
2022-08-27,39.0
2022-08-28,39.0
2022-08-29,40.97619047619048
2022-08-30,43.0
2022-08-31,40.13492063492063
2022-09-01,40.97619047619048
2022-09-02,40.13492063492063
2022-09-03,39.2936507936508
2022-09-04,40.63492063492063
2022-09-05,43.0
2022-09-06,41.817460317460316
2022-09-07,38.111111111111114
2022-09-08,68.12698412698413
2022-09-09,43.0
2022-09-10,39.2936507936508
2022-09-11,38.95238095238095
2022-09-12,41.817460317460316
2022-09-13,40.63492063492063
2022-09-14,42.65873015873016
2022-09-15,39.2936507936508
2022-09-16,38.95238095238095
2022-09-17,36.92857142857143
2022-09-18,37.769841269841265
2022-09-19,39.2936507936508
2022-09-20,40.13492063492063
2022-09-21,41.817460317460316
2022-09-22,40.13492063492063
2022-09-23,39.7936507936508
2022-09-24,39.2936507936508
2022-09-25,45.023809523809526
2022-09-26,39.2936507936508
2022-09-27,43.0
2022-09-28,45.730158730158735
2022-09-29,43.0
2022-09-30,41.63492063492063
2022-10-01,34.80952380952381
2022-10-02,34.80952380952381
2022-10-03,34.80952380952381
2022-10-04,38.904761904761905
2022-10-05,36.85714285714286
2022-10-06,40.952380952380956
2022-10-07,43.682539682539684
2022-10-08,37.53968253968254
2022-10-09,38.904761904761905
2022-10-10,42.317460317460316
2022-10-11,38.22222222222222
2022-10-12,39.58730158730159
2022-10-13,40.26984126984127
2022-10-14,41.63492063492063
2022-10-15,35.492063492063494
2022-10-16,36.85714285714286
2022-10-17,38.904761904761905
2022-10-18,37.53968253968254
2022-10-19,38.22222222222222
2022-10-20,42.317460317460316
2022-10-21,38.22222222222222
2022-10-22,37.53968253968254
2022-10-23,35.492063492063494
2022-10-24,40.26984126984127
2022-10-25,42.317460317460316
2022-10-26,39.58730158730159
2022-10-27,38.22222222222222
2022-10-28,43.0
2022-10-29,37.53968253968254
2022-10-30,36.85714285714286
2022-10-31,39.58730158730159
2022-11-01,43.0
2022-11-02,40.952380952380956
2022-11-03,38.904761904761905
2022-11-04,38.904761904761905
2022-11-05,35.492063492063494
2022-11-06,34.80952380952381
2022-11-07,38.22222222222222
2022-11-08,42.317460317460316
2022-11-09,51.87301587301587
2022-11-10,43.0
2022-11-11,38.904761904761905
2022-11-12,39.58730158730159
2022-11-13,41.63492063492063
2022-11-14,40.26984126984127
2022-11-15,47.77777777777778
2022-11-16,43.0
2022-11-17,42.317460317460316
2022-11-18,39.58730158730159
2022-11-19,37.53968253968254
2022-11-20,37.53968253968254
2022-11-21,38.22222222222222
2022-11-22,43.0
2022-11-23,41.63492063492063
2022-11-24,34.12698412698413
2022-11-25,35.492063492063494
2022-11-26,34.12698412698413
2022-11-27,36.85714285714286
2022-11-28,34.80952380952381
2022-11-29,36.85714285714286
2022-11-30,40.26984126984127
2022-12-01,38.22222222222222
2022-12-02,38.904761904761905
2022-12-03,36.17460317460318
2022-12-04,34.12698412698413
2022-12-05,35.492063492063494
2022-12-06,40.952380952380956
2022-12-07,40.952380952380956
2022-12-08,40.952380952380956
2022-12-09,39.58730158730159
2022-12-10,35.492063492063494
2022-12-11,36.17460317460318
2022-12-12,37.53968253968254
2022-12-13,38.904761904761905
2022-12-14,36.17460317460318
2022-12-15,37.53968253968254
2022-12-16,37.53968253968254
2022-12-17,34.80952380952381
2022-12-18,33.44444444444444
2022-12-19,38.22222222222222
2022-12-20,39.58730158730159
2022-12-21,41.63492063492063
2022-12-22,38.904761904761905
2022-12-23,40.952380952380956
2022-12-24,36.85714285714286
2022-12-25,38.22222222222222
2022-12-26,40.26984126984127
2022-12-27,40.26984126984127
2022-12-28,38.904761904761905
2022-12-29,39.58730158730159
2022-12-30,42.317460317460316
2022-12-31,40.26984126984127
2023-01-01,45.730158730158735
2023-01-02,40.952380952380956
2023-01-03,55.285714285714285
2023-01-04,44.36507936507937
2023-01-05,50.507936507936506
2023-01-06,49.142857142857146
2023-01-07,41.63492063492063
2023-01-08,38.904761904761905
2023-01-09,38.22222222222222
2023-01-10,40.26984126984127
2023-01-11,43.0
2023-01-12,41.63492063492063
2023-01-13,41.63492063492063
2023-01-14,37.53968253968254
2023-01-15,35.492063492063494
2023-01-16,38.904761904761905
2023-01-17,40.952380952380956
2023-01-18,39.58730158730159
2023-01-19,39.58730158730159
2023-01-20,36.17460317460318
2023-01-21,34.80952380952381
2023-01-22,41.63492063492063
2023-01-23,40.26984126984127
2023-01-24,39.58730158730159
2023-01-25,48.46031746031746
2023-01-26,38.904761904761905
2023-01-27,42.317460317460316
2023-01-28,42.317460317460316
2023-01-29,41.63492063492063
2023-01-30,36.85714285714286
2023-01-31,40.952380952380956
2023-02-01,38.22222222222222
2023-02-02,38.22222222222222
2023-02-03,39.58730158730159
2023-02-04,44.36507936507937
2023-02-05,39.58730158730159
2023-02-06,41.63492063492063
2023-02-07,40.26984126984127
2023-02-08,39.58730158730159
2023-02-09,42.317460317460316
2023-02-10,41.63492063492063
2023-02-11,44.36507936507937
2023-02-12,47.77777777777778
2023-02-13,45.04761904761905
2023-02-14,47.095238095238095
2023-02-15,47.095238095238095
2023-02-16,47.095238095238095
2023-02-17,42.317460317460316
2023-02-18,38.904761904761905
2023-02-19,39.58730158730159
2023-02-20,43.0
2023-02-21,39.58730158730159
2023-02-22,40.952380952380956
2023-02-23,40.26984126984127
2023-02-24,38.904761904761905
2023-02-25,38.904761904761905
2023-02-26,36.85714285714286
2023-02-27,37.53968253968254
2023-02-28,38.904761904761905
2023-03-01,39.58730158730159
2023-03-02,39.58730158730159
2023-03-03,38.22222222222222
2023-03-04,36.85714285714286
2023-03-05,38.22222222222222
2023-03-06,37.53968253968254
2023-03-07,37.53968253968254
2023-03-08,38.22222222222222
2023-03-09,40.26984126984127
2023-03-10,40.26984126984127
2023-03-11,37.53968253968254
2023-03-12,36.85714285714286
2023-03-13,42.317460317460316
2023-03-14,40.26984126984127
2023-03-15,38.904761904761905
2023-03-16,41.63492063492063
2023-03-17,38.904761904761905
2023-03-18,38.904761904761905
2023-03-19,40.26984126984127
2023-03-20,39.58730158730159
2023-03-21,46.41269841269841
2023-03-22,46.41269841269841
2023-03-23,45.04761904761905
2023-03-24,43.0
2023-03-25,39.58730158730159
2023-03-26,40.26984126984127
2023-03-27,55.285714285714285
2023-03-28,44.36507936507937
2023-03-29,48.46031746031746
2023-03-30,48.46031746031746
2023-03-31,46.41269841269841
2023-04-01,43.682539682539684
2023-04-02,45.04761904761905
2023-04-03,43.682539682539684
2023-04-04,52.55555555555556
2023-04-05,43.682539682539684
2023-04-06,43.682539682539684
2023-04-07,45.04761904761905
2023-04-08,39.58730158730159
2023-04-09,39.58730158730159
2023-04-10,45.730158730158735
2023-04-11,45.04761904761905
2023-04-12,42.317460317460316
2023-04-13,43.682539682539684
2023-04-14,45.730158730158735
2023-04-15,38.904761904761905
2023-04-16,40.952380952380956
2023-04-17,38.904761904761905
2023-04-18,40.952380952380956
2023-04-19,40.952380952380956
2023-04-20,40.26984126984127
2023-04-21,41.63492063492063
2023-04-22,39.58730158730159
2023-04-23,43.0
2023-04-24,44.36507936507937
2023-04-25,37.53968253968254
2023-04-26,39.60381464413723
2023-04-27,43.599974398361496
