Time,scratch
2023-04-26,62
2023-04-27,64
2023-04-28,73
2023-04-29,35
2023-04-30,35
2023-05-01,58
2023-05-02,61
2023-05-03,64
2023-05-04,68
2023-05-05,72
2023-05-06,43
2023-05-07,34
2023-05-08,60
2023-05-09,67
2023-05-10,64
2023-05-11,67
2023-05-12,78
2023-05-13,35
2023-05-14,35
2023-05-15,63
2023-05-16,71
2023-05-17,67
2023-05-18,73
2023-05-19,76
2023-05-20,37
2023-05-21,34
2023-05-22,60
2023-05-23,65
2023-05-24,62
2023-05-25,63
2023-05-26,56
2023-05-27,35
2023-05-28,34
2023-05-29,33
2023-05-30,42
2023-05-31,49
2023-06-01,50
2023-06-02,52
2023-06-03,33
2023-06-04,32
2023-06-05,43
2023-06-06,46
2023-06-07,48
2023-06-08,45
2023-06-09,44
2023-06-10,31
2023-06-11,32
2023-06-12,40
2023-06-13,40
2023-06-14,39
2023-06-15,38
2023-06-16,36
2023-06-17,32
2023-06-18,35
2023-06-19,31
2023-06-20,32
2023-06-21,33
2023-06-22,32
2023-06-23,32
2023-06-24,33
2023-06-25,35
2023-06-26,30
2023-06-27,30
2023-06-28,30
2023-06-29,29
2023-06-30,29
2023-07-01,29
2023-07-02,31
2023-07-03,29
2023-07-04,29
2023-07-05,28
2023-07-06,30
2023-07-07,30
2023-07-08,30
2023-07-09,31
2023-07-10,28
2023-07-11,28
2023-07-12,28
2023-07-13,29
2023-07-14,30
2023-07-15,31
2023-07-16,30
2023-07-17,29
2023-07-18,28
2023-07-19,29
2023-07-20,29
2023-07-21,29
2023-07-22,30
2023-07-23,31
2023-07-24,27
2023-07-25,28
2023-07-26,27
2023-07-27,29
2023-07-28,29
2023-07-29,31
2023-07-30,29
2023-07-31,28
2023-08-01,29
2023-08-02,31
2023-08-03,30
2023-08-04,30
2023-08-05,32
2023-08-06,34
2023-08-07,30
2023-08-08,30
2023-08-09,35
2023-08-10,33
2023-08-11,35
2023-08-12,31
2023-08-13,34
2023-08-14,34
2023-08-15,38
2023-08-16,41
2023-08-17,44
2023-08-18,52
2023-08-19,34
2023-08-20,34
2023-08-21,40
2023-08-22,50
2023-08-23,54
2023-08-24,58
2023-08-25,67
2023-08-26,34
2023-08-27,33
2023-08-28,51
2023-08-29,58
2023-08-30,59
2023-08-31,62
2023-09-01,67
2023-09-02,35
2023-09-03,35
2023-09-04,33
2023-09-05,53
2023-09-06,61
2023-09-07,64
2023-09-08,81
2023-09-09,37
2023-09-10,35
2023-09-11,61
2023-09-12,64
2023-09-13,70
2023-09-14,72
2023-09-15,86
2023-09-16,38
2023-09-17,35
2023-09-18,61
2023-09-19,68
2023-09-20,76
2023-09-21,79
2023-09-22,81
2023-09-23,40
2023-09-24,37
2023-09-25,58
2023-09-26,74
2023-09-27,73
2023-09-28,76
2023-09-29,91
2023-09-30,36
2023-10-01,35
2023-10-02,63
2023-10-03,71
2023-10-04,73
2023-10-05,78
2023-10-06,83
2023-10-07,38
2023-10-08,35
2023-10-09,49
2023-10-10,62
2023-10-11,67
2023-10-12,71
2023-10-13,77
2023-10-14,37
2023-10-15,36
2023-10-16,61
2023-10-17,67
2023-10-18,74
2023-10-19,73
2023-10-20,83
2023-10-21,39
2023-10-22,36
2023-10-23,61
2023-10-24,66
2023-10-25,71
2023-10-26,73
2023-10-27,80
2023-10-28,36
2023-10-29,33
2023-10-30,67
2023-10-31,67
2023-11-01,72
2023-11-02,74
2023-11-03,88
2023-11-04,39
2023-11-05,36
2023-11-06,64
2023-11-07,61
2023-11-08,72
2023-11-09,79
2023-11-10,74
2023-11-11,39
2023-11-12,38
2023-11-13,65
2023-11-14,75
2023-11-15,80
2023-11-16,80
2023-11-17,97
2023-11-18,43
2023-11-19,39
2023-11-20,57
2023-11-21,71
2023-11-22,54
2023-11-23,56
2023-11-24,31
2023-11-25,34
2023-11-26,34
2023-11-27,60
2023-11-28,70
2023-11-29,73
2023-11-30,77
2023-12-01,95
2023-12-02,38
2023-12-03,35
2023-12-04,65
2023-12-05,77
2023-12-06,80
2023-12-07,79
2023-12-08,94
2023-12-09,43
2023-12-10,39
2023-12-11,72
2023-12-12,79
2023-12-13,84
2023-12-14,89
2023-12-15,100
2023-12-16,45
2023-12-17,37
2023-12-18,74
2023-12-19,80
2023-12-20,83
2023-12-21,74
2023-12-22,70
2023-12-23,48
2023-12-24,45
2023-12-25,43
2023-12-26,36
2023-12-27,32
2023-12-28,33
2023-12-29,34
2023-12-30,34
2023-12-31,35
2024-01-01,36
2024-01-02,37
2024-01-03,46
2024-01-04,55
2024-01-05,67
2024-01-06,37
2024-01-07,38
2024-01-08,59
2024-01-09,72
2024-01-10,74
2024-01-11,82
2024-01-12,90
2024-01-13,43
2024-01-14,36
2024-01-15,32
2024-01-16,57
2024-01-17,74
2024-01-18,80
2024-01-19,84
2024-01-20,42
