Time,scratch
2025-12-11,88
2025-12-12,96
2025-12-13,46
2025-12-14,41
2025-12-15,73
2025-12-16,83
2025-12-17,92
2025-12-18,100
2025-12-19,97
2025-12-20,46
2025-12-21,46
2025-12-22,49
2025-12-23,54
2025-12-24,51
2025-12-25,54
2025-12-26,41
2025-12-27,41
2025-12-28,39
2025-12-29,33
2025-12-30,33
2025-12-31,37
2026-01-01,36
2026-01-02,35
2026-01-03,36
2026-01-04,36
2026-01-05,45
2026-01-06,57
2026-01-07,64
2026-01-08,73
2026-01-09,80
2026-01-10,42
2026-01-11,39
2026-01-12,63
2026-01-13,69
2026-01-14,71
2026-01-15,78
2026-01-16,88
2026-01-17,42
2026-01-18,42
2026-01-19,36
2026-01-20,67
2026-01-21,75
2026-01-22,74
2026-01-23,93
2026-01-24,46
2026-01-25,42
2026-01-26,52
2026-01-27,59
2026-01-28,67
2026-01-29,70
2026-01-30,81
2026-01-31,44
2026-02-01,41
2026-02-02,62
2026-02-03,64
2026-02-04,66
2026-02-05,71
2026-02-06,81
2026-02-07,43
2026-02-08,38
2026-02-09,57
2026-02-10,63
2026-02-11,73
2026-02-12,71
2026-02-13,70
2026-02-14,44
2026-02-15,40
2026-02-16,40
2026-02-17,58
2026-02-18,59
2026-02-19,66
2026-02-20,75
2026-02-21,39
2026-02-22,38
2026-02-23,59
2026-02-24,65
2026-02-25,64
2026-02-26,71
2026-02-27,82
2026-02-28,41
2026-03-01,39
2026-03-02,59
2026-03-03,66
2026-03-04,71
2026-03-05,73
2026-03-06,84
2026-03-07,43
2026-03-08,43
2026-03-09,59
2026-03-10,66
2026-03-11,67
2026-03-12,74
2026-03-13,73
2026-03-14,43
2026-03-15,41
2026-03-16,56
2026-03-17,57
2026-03-18,59
2026-03-19,59
2026-03-20,64
2026-03-21,41
2026-03-22,40
2026-03-23,54
2026-03-24,59
2026-03-25,61
2026-03-26,63
2026-03-27,73
2026-03-28,40
2026-03-29,41
2026-03-30,54
2026-03-31,60
2026-04-01,65
2026-04-02,71
2026-04-03,50
2026-04-04,44
2026-04-05,43
2026-04-06,49
2026-04-07,56
2026-04-08,62
2026-04-09,60
2026-04-10,68
2026-04-11,42
2026-04-12,42
2026-04-13,60
2026-04-14,60
2026-04-15,64
2026-04-16,67
2026-04-17,79
2026-04-18,45
2026-04-19,45
2026-04-20,60
2026-04-21,63
2026-04-22,68
2026-04-23,66
2026-04-24,70
2026-04-25,39
2026-04-26,39
2026-04-27,63
2026-04-28,64
2026-04-29,67
2026-04-30,71
2026-05-01,73
2026-05-02,49
2026-05-03,41
2026-05-04,63
2026-05-05,66
2026-05-06,69
2026-05-07,77
2026-05-08,78
2026-05-09,41
2026-05-10,42
2026-05-11,65
2026-05-12,69
2026-05-13,74
2026-05-14,75
2026-05-15,85
2026-05-16,44
2026-05-17,42
2026-05-18,67
2026-05-19,71
2026-05-20,74
2026-05-21,81
2026-05-22,68
2026-05-23,49
2026-05-24,41
2026-05-25,41
2026-05-26,57
2026-05-27,58
2026-05-28,58
2026-05-29,58
2026-05-30,44
2026-05-31,43
