Time,drive
2024-08-18,79
2024-08-19,93
2024-08-20,93
2024-08-21,88
2024-08-22,95
2024-08-23,98
2024-08-24,86
2024-08-25,86
2024-08-26,97
2024-08-27,96
2024-08-28,93
2024-08-29,92
2024-08-30,95
2024-08-31,81
2024-09-01,82
2024-09-02,79
2024-09-03,94
2024-09-04,91
2024-09-05,91
2024-09-06,94
2024-09-07,76
2024-09-08,77
2024-09-09,91
2024-09-10,95
2024-09-11,89
2024-09-12,98
2024-09-13,90
2024-09-14,80
2024-09-15,72
2024-09-16,92
2024-09-17,95
2024-09-18,95
2024-09-19,91
2024-09-20,96
2024-09-21,82
2024-09-22,76
2024-09-23,93
2024-09-24,89
2024-09-25,92
2024-09-26,92
2024-09-27,89
2024-09-28,79
2024-09-29,73
2024-09-30,89
2024-10-01,87
2024-10-02,89
2024-10-03,90
2024-10-04,92
2024-10-05,80
2024-10-06,71
2024-10-07,89
2024-10-08,93
2024-10-09,90
2024-10-10,87
2024-10-11,91
2024-10-12,76
2024-10-13,72
2024-10-14,88
2024-10-15,94
2024-10-16,89
2024-10-17,87
2024-10-18,90
2024-10-19,75
2024-10-20,71
2024-10-21,90
2024-10-22,90
2024-10-23,92
2024-10-24,91
2024-10-25,87
2024-10-26,72
2024-10-27,69
2024-10-28,85
2024-10-29,89
2024-10-30,88
2024-10-31,85
2024-11-01,86
2024-11-02,70
2024-11-03,66
2024-11-04,91
2024-11-05,79
2024-11-06,60
2024-11-07,82
2024-11-08,82
2024-11-09,74
2024-11-10,71
2024-11-11,83
2024-11-12,87
2024-11-13,89
2024-11-14,91
2024-11-15,82
2024-11-16,65
2024-11-17,69
2024-11-18,90
2024-11-19,87
2024-11-20,88
2024-11-21,87
2024-11-22,83
2024-11-23,73
2024-11-24,70
2024-11-25,89
2024-11-26,85
2024-11-27,80
2024-11-28,65
2024-11-29,71
2024-11-30,73
2024-12-01,72
2024-12-02,90
2024-12-03,94
2024-12-04,89
2024-12-05,89
2024-12-06,93
2024-12-07,79
2024-12-08,75
2024-12-09,88
2024-12-10,91
2024-12-11,86
2024-12-12,91
2024-12-13,86
2024-12-14,79
2024-12-15,73
2024-12-16,88
2024-12-17,91
2024-12-18,88
2024-12-19,88
2024-12-20,88
2024-12-21,79
2024-12-22,75
2024-12-23,79
2024-12-24,74
2024-12-25,63
2024-12-26,80
2024-12-27,84
2024-12-28,73
2024-12-29,73
2024-12-30,81
2024-12-31,76
2025-01-01,65
2025-01-02,81
2025-01-03,81
2025-01-04,79
2025-01-05,75
2025-01-06,88
2025-01-07,92
2025-01-08,92
2025-01-09,94
2025-01-10,93
2025-01-11,79
2025-01-12,73
2025-01-13,91
2025-01-14,92
2025-01-15,94
2025-01-16,92
2025-01-17,95
2025-01-18,79
2025-01-19,71
2025-01-20,78
2025-01-21,89
2025-01-22,94
2025-01-23,92
2025-01-24,88
2025-01-25,74
2025-01-26,73
2025-01-27,89
2025-01-28,87
2025-01-29,87
2025-01-30,87
2025-01-31,88
2025-02-01,81
2025-02-02,78
2025-02-03,88
2025-02-04,91
2025-02-05,91
2025-02-06,90
2025-02-07,87
2025-02-08,74
2025-02-09,71
2025-02-10,86
2025-02-11,89
2025-02-12,89
2025-02-13,90
2025-02-14,87
2025-02-15,81
2025-02-16,77
2025-02-17,84
2025-02-18,96
2025-02-19,89
2025-02-20,92
2025-02-21,89
2025-02-22,80
2025-02-23,77
2025-02-24,92
2025-02-25,98
2025-02-26,95
2025-02-27,90
2025-02-28,88
2025-03-01,81
2025-03-02,77
2025-03-03,94
2025-03-04,89
2025-03-05,90
2025-03-06,95
2025-03-07,93
2025-03-08,80
2025-03-09,79
2025-03-10,89
2025-03-11,90
2025-03-12,93
2025-03-13,94
2025-03-14,90
2025-03-15,75
2025-03-16,81
2025-03-17,90
2025-03-18,94
2025-03-19,100
2025-03-20,88
2025-03-21,87
2025-03-22,80
2025-03-23,81
2025-03-24,90
2025-03-25,91
2025-03-26,90
2025-03-27,92
2025-03-28,92
2025-03-29,82
2025-03-30,77
2025-03-31,90
2025-04-01,93
2025-04-02,89
2025-04-03,90
2025-04-04,91
2025-04-05,82
2025-04-06,81
2025-04-07,89
2025-04-08,91
2025-04-09,92
2025-04-10,90
2025-04-11,91
2025-04-12,82
2025-04-13,82
2025-04-14,90
2025-04-15,94
2025-04-16,91
2025-04-17,93
2025-04-18,90
2025-04-19,79
2025-04-20,74
2025-04-21,93
2025-04-22,92
2025-04-23,93
2025-04-24,95
2025-04-25,88
2025-04-26,78
2025-04-27,78
2025-04-28,96
2025-04-29,96
2025-04-30,90
2025-05-01,96
2025-05-02,89
2025-05-03,85
2025-05-04,82
2025-05-05,96
2025-05-06,92
2025-05-07,93
2025-05-08,93
2025-05-09,95
2025-05-10,85
2025-05-11,79
2025-05-12,93
2025-05-13,96
2025-05-14,95
