Time,super bowl 2023
2023-04-26,13
2023-04-27,17
2023-04-28,28
2023-04-29,21
2023-04-30,16
2023-05-01,14
2023-05-02,12
2023-05-03,11
2023-05-04,11
2023-05-05,10
2023-05-06,14
2023-05-07,10
2023-05-08,9
2023-05-09,10
2023-05-10,11
2023-05-11,12
2023-05-12,16
2023-05-13,12
2023-05-14,12
2023-05-15,9
2023-05-16,10
2023-05-17,8
2023-05-18,8
2023-05-19,11
2023-05-20,9
2023-05-21,9
2023-05-22,9
2023-05-23,13
2023-05-24,9
2023-05-25,9
2023-05-26,9
2023-05-27,10
2023-05-28,10
2023-05-29,9
2023-05-30,9
2023-05-31,8
2023-06-01,7
2023-06-02,8
2023-06-03,7
2023-06-04,9
2023-06-05,8
2023-06-06,9
2023-06-07,9
2023-06-08,9
2023-06-09,7
2023-06-10,8
2023-06-11,10
2023-06-12,10
2023-06-13,10
2023-06-14,10
2023-06-15,10
2023-06-16,23
2023-06-17,14
2023-06-18,13
2023-06-19,9
2023-06-20,7
2023-06-21,8
2023-06-22,7
2023-06-23,8
2023-06-24,7
2023-06-25,8
2023-06-26,8
2023-06-27,9
2023-06-28,8
2023-06-29,8
2023-06-30,8
2023-07-01,7
2023-07-02,7
2023-07-03,7
2023-07-04,9
2023-07-05,8
2023-07-06,8
2023-07-07,6
2023-07-08,8
2023-07-09,9
2023-07-10,7
2023-07-11,7
2023-07-12,10
2023-07-13,17
2023-07-14,16
2023-07-15,21
2023-07-16,24
2023-07-17,20
2023-07-18,16
2023-07-19,17
2023-07-20,16
2023-07-21,14
2023-07-22,16
2023-07-23,19
2023-07-24,16
2023-07-25,13
2023-07-26,13
2023-07-27,13
2023-07-28,14
2023-07-29,14
2023-07-30,15
2023-07-31,12
2023-08-01,13
2023-08-02,12
2023-08-03,11
2023-08-04,14
2023-08-05,13
2023-08-06,12
2023-08-07,11
2023-08-08,10
2023-08-09,12
2023-08-10,12
2023-08-11,14
2023-08-12,19
2023-08-13,25
2023-08-14,14
2023-08-15,11
2023-08-16,11
2023-08-17,13
2023-08-18,15
2023-08-19,15
2023-08-20,19
2023-08-21,12
2023-08-22,12
2023-08-23,11
2023-08-24,11
2023-08-25,17
2023-08-26,21
2023-08-27,19
2023-08-28,15
2023-08-29,14
2023-08-30,13
2023-08-31,14
2023-09-01,14
2023-09-02,13
2023-09-03,15
2023-09-04,18
2023-09-05,18
2023-09-06,16
2023-09-07,32
2023-09-08,86
2023-09-09,19
2023-09-10,70
2023-09-11,30
2023-09-12,26
2023-09-13,16
2023-09-14,15
2023-09-15,34
2023-09-16,15
2023-09-17,36
2023-09-18,19
2023-09-19,15
2023-09-20,12
2023-09-21,14
2023-09-22,19
2023-09-23,12
2023-09-24,50
2023-09-25,42
2023-09-26,40
2023-09-27,20
2023-09-28,17
2023-09-29,17
2023-09-30,16
2023-10-01,30
2023-10-02,30
2023-10-03,16
2023-10-04,11
2023-10-05,13
2023-10-06,13
2023-10-07,11
2023-10-08,33
2023-10-09,34
2023-10-10,16
2023-10-11,10
2023-10-12,12
2023-10-13,18
2023-10-14,11
2023-10-15,27
2023-10-16,18
2023-10-17,16
2023-10-18,11
2023-10-19,11
2023-10-20,11
2023-10-21,11
2023-10-22,25
2023-10-23,22
2023-10-24,16
2023-10-25,12
2023-10-26,10
2023-10-27,12
2023-10-28,11
2023-10-29,22
2023-10-30,16
2023-10-31,13
2023-11-01,11
2023-11-02,12
2023-11-03,13
2023-11-04,12
2023-11-05,27
2023-11-06,25
2023-11-07,14
2023-11-08,11
2023-11-09,11
2023-11-10,14
2023-11-11,13
2023-11-12,26
2023-11-13,20
2023-11-14,19
2023-11-15,15
2023-11-16,14
2023-11-17,18
2023-11-18,18
2023-11-19,34
2023-11-20,41
2023-11-21,100
2023-11-22,18
2023-11-23,40
2023-11-24,36
2023-11-25,20
2023-11-26,32
2023-11-27,35
2023-11-28,18
2023-11-29,16
2023-11-30,14
2023-12-01,18
2023-12-02,18
2023-12-03,32
2023-12-04,39
2023-12-05,19
2023-12-06,13
2023-12-07,12
2023-12-08,15
2023-12-09,15
2023-12-10,30
2023-12-11,47
2023-12-12,22
2023-12-13,16
2023-12-14,16
2023-12-15,18
2023-12-16,17
2023-12-17,30
2023-12-18,26
2023-12-19,24
2023-12-20,16
2023-12-21,15
2023-12-22,17
2023-12-23,18
2023-12-24,28
2023-12-25,55
2023-12-26,48
2023-12-27,21
2023-12-28,20
2023-12-29,24
2023-12-30,22
2023-12-31,62
2024-01-01,49
2024-01-02,27
2024-01-03,21
2024-01-04,19
2024-01-05,16
2024-01-06,21
2024-01-07,35
2024-01-08,34
2024-01-09,21
2024-01-10,19
2024-01-11,19
2024-01-12,20
2024-01-13,25
2024-01-14,85
2024-01-15,70
2024-01-16,70
2024-01-17,25
2024-01-18,21
2024-01-19,22
2024-01-20,37
