Time,walmart
2022-08-29,30
2022-08-30,29
2022-08-31,30
2022-09-01,30
2022-09-02,34
2022-09-03,39
2022-09-04,38
2022-09-05,41
2022-09-06,30
2022-09-07,29
2022-09-08,28
2022-09-09,29
2022-09-10,35
2022-09-11,33
2022-09-12,29
2022-09-13,29
2022-09-14,28
2022-09-15,31
2022-09-16,30
2022-09-17,35
2022-09-18,33
2022-09-19,30
2022-09-20,28
2022-09-21,28
2022-09-22,29
2022-09-23,29
2022-09-24,36
2022-09-25,34
2022-09-26,28
2022-09-27,28
2022-09-28,29
2022-09-29,29
2022-09-30,32
2022-10-01,35
2022-10-02,35
2022-10-03,29
2022-10-04,28
2022-10-05,29
2022-10-06,29
2022-10-07,32
2022-10-08,37
2022-10-09,36
2022-10-10,31
2022-10-11,29
2022-10-12,27
2022-10-13,29
2022-10-14,30
2022-10-15,35
2022-10-16,34
2022-10-17,30
2022-10-18,29
2022-10-19,30
2022-10-20,30
2022-10-21,30
2022-10-22,37
2022-10-23,35
2022-10-24,29
2022-10-25,29
2022-10-26,30
2022-10-27,31
2022-10-28,33
2022-10-29,38
2022-10-30,36
2022-10-31,30
2022-11-01,29
2022-11-02,30
2022-11-03,31
2022-11-04,33
2022-11-05,37
2022-11-06,35
2022-11-07,32
2022-11-08,32
2022-11-09,30
2022-11-10,33
2022-11-11,33
2022-11-12,38
2022-11-13,38
2022-11-14,35
2022-11-15,34
2022-11-16,33
2022-11-17,36
2022-11-18,37
2022-11-19,44
2022-11-20,43
2022-11-21,40
2022-11-22,42
2022-11-23,66
2022-11-24,100
2022-11-25,88
2022-11-26,50
2022-11-27,44
2022-11-28,40
2022-11-29,34
2022-11-30,32
2022-12-01,34
2022-12-02,34
2022-12-03,40
2022-12-04,40
2022-12-05,32
2022-12-06,31
2022-12-07,32
2022-12-08,33
2022-12-09,36
2022-12-10,42
2022-12-11,41
2022-12-12,36
2022-12-13,34
2022-12-14,35
2022-12-15,36
2022-12-16,38
2022-12-17,44
2022-12-18,42
2022-12-19,40
2022-12-20,42
2022-12-21,44
2022-12-22,45
2022-12-23,54
2022-12-24,79
2022-12-25,79
2022-12-26,48
2022-12-27,38
2022-12-28,34
2022-12-29,34
2022-12-30,37
2022-12-31,46
2023-01-01,47
2023-01-02,36
2023-01-03,28
2023-01-04,29
2023-01-05,28
2023-01-06,29
2023-01-07,33
2023-01-08,32
2023-01-09,27
2023-01-10,26
2023-01-11,26
2023-01-12,26
2023-01-13,28
2023-01-14,33
2023-01-15,31
2023-01-16,30
2023-01-17,25
2023-01-18,24
2023-01-19,25
2023-01-20,26
2023-01-21,31
2023-01-22,29
2023-01-23,26
2023-01-24,27
2023-01-25,25
2023-01-26,26
2023-01-27,27
2023-01-28,31
2023-01-29,30
2023-01-30,26
2023-01-31,26
2023-02-01,28
2023-02-02,27
2023-02-03,27
2023-02-04,33
2023-02-05,33
2023-02-06,25
2023-02-07,25
2023-02-08,25
2023-02-09,26
2023-02-10,28
2023-02-11,33
2023-02-12,32
2023-02-13,25
2023-02-14,28
2023-02-15,26
2023-02-16,25
2023-02-17,30
2023-02-18,33
2023-02-19,31
2023-02-20,29
2023-02-21,25
2023-02-22,24
2023-02-23,25
2023-02-24,28
2023-02-25,34
2023-02-26,32
2023-02-27,27
2023-02-28,25
2023-03-01,28
2023-03-02,27
2023-03-03,27
2023-03-04,35
2023-03-05,34
2023-03-06,28
2023-03-07,27
2023-03-08,26
2023-03-09,27
2023-03-10,27
2023-03-11,33
2023-03-12,32
2023-03-13,27
2023-03-14,26
2023-03-15,26
2023-03-16,27
2023-03-17,28
2023-03-18,31
2023-03-19,31
2023-03-20,27
2023-03-21,24
2023-03-22,25
2023-03-23,26
2023-03-24,28
2023-03-25,31
2023-03-26,33
2023-03-27,26
2023-03-28,27
2023-03-29,25
2023-03-30,26
2023-03-31,28
2023-04-01,32
2023-04-02,33
2023-04-03,27
2023-04-04,27
2023-04-05,27
2023-04-06,26
2023-04-07,32
2023-04-08,38
2023-04-09,59
2023-04-10,29
2023-04-11,28
2023-04-12,27
2023-04-13,28
2023-04-14,30
2023-04-15,35
2023-04-16,34
2023-04-17,25
2023-04-18,25
2023-04-19,25
2023-04-20,27
2023-04-21,28
2023-04-22,35
2023-04-23,31
2023-04-24,25
2023-04-25,25
2023-04-26,25
2023-04-27,25
2023-04-28,26
2023-04-29,33
2023-04-30,32
2023-05-01,27
2023-05-02,25
2023-05-03,26
2023-05-04,27
2023-05-05,27
2023-05-06,33
2023-05-07,33
2023-05-08,27
2023-05-09,26
2023-05-10,27
2023-05-11,27
2023-05-12,29
2023-05-13,35
2023-05-14,33
2023-05-15,28
2023-05-16,27
2023-05-17,27
2023-05-18,28
2023-05-19,29
2023-05-20,35
2023-05-21,34
2023-05-22,28
2023-05-23,29
2023-05-24,28
2023-05-25,29
