Time,goog stock
2022-08-29,18
2022-08-30,20
2022-08-31,18
2022-09-01,16
2022-09-02,14
2022-09-03,3
2022-09-04,2
2022-09-05,3
2022-09-06,16
2022-09-07,17
2022-09-08,16
2022-09-09,18
2022-09-10,4
2022-09-11,2
2022-09-12,16
2022-09-13,23
2022-09-14,20
2022-09-15,20
2022-09-16,22
2022-09-17,6
2022-09-18,4
2022-09-19,18
2022-09-20,18
2022-09-21,21
2022-09-22,21
2022-09-23,25
2022-09-24,9
2022-09-25,4
2022-09-26,20
2022-09-27,20
2022-09-28,21
2022-09-29,21
2022-09-30,22
2022-10-01,8
2022-10-02,4
2022-10-03,20
2022-10-04,19
2022-10-05,18
2022-10-06,15
2022-10-07,17
2022-10-08,5
2022-10-09,2
2022-10-10,14
2022-10-11,16
2022-10-12,15
2022-10-13,19
2022-10-14,15
2022-10-15,5
2022-10-16,3
2022-10-17,19
2022-10-18,18
2022-10-19,15
2022-10-20,17
2022-10-21,18
2022-10-22,4
2022-10-23,4
2022-10-24,20
2022-10-25,73
2022-10-26,79
2022-10-27,54
2022-10-28,37
2022-10-29,9
2022-10-30,5
2022-10-31,22
2022-11-01,24
2022-11-02,33
2022-11-03,33
2022-11-04,31
2022-11-05,8
2022-11-06,5
2022-11-07,24
2022-11-08,21
2022-11-09,22
2022-11-10,28
2022-11-11,27
2022-11-12,8
2022-11-13,5
2022-11-14,23
2022-11-15,23
2022-11-16,22
2022-11-17,19
2022-11-18,20
2022-11-19,4
2022-11-20,3
2022-11-21,17
2022-11-22,16
2022-11-23,17
2022-11-24,5
2022-11-25,10
2022-11-26,3
2022-11-27,3
2022-11-28,13
2022-11-29,14
2022-11-30,16
2022-12-01,21
2022-12-02,16
2022-12-03,4
2022-12-04,3
2022-12-05,13
2022-12-06,14
2022-12-07,14
2022-12-08,14
2022-12-09,14
2022-12-10,4
2022-12-11,2
2022-12-12,16
2022-12-13,19
2022-12-14,16
2022-12-15,17
2022-12-16,15
2022-12-17,5
2022-12-18,2
2022-12-19,16
2022-12-20,16
2022-12-21,17
2022-12-22,21
2022-12-23,12
2022-12-24,4
2022-12-25,4
2022-12-26,4
2022-12-27,16
2022-12-28,20
2022-12-29,17
2022-12-30,15
2022-12-31,5
2023-01-01,4
2023-01-02,6
2023-01-03,18
2023-01-04,21
2023-01-05,16
2023-01-06,18
2023-01-07,5
2023-01-08,3
2023-01-09,19
2023-01-10,18
2023-01-11,19
2023-01-12,20
2023-01-13,16
2023-01-14,5
2023-01-15,3
2023-01-16,5
2023-01-17,17
2023-01-18,16
2023-01-19,17
2023-01-20,45
2023-01-21,13
2023-01-22,5
2023-01-23,32
2023-01-24,32
2023-01-25,30
2023-01-26,27
2023-01-27,25
2023-01-28,8
2023-01-29,5
2023-01-30,20
2023-01-31,21
2023-02-01,30
2023-02-02,100
2023-02-03,68
2023-02-04,11
2023-02-05,6
2023-02-06,28
2023-02-07,33
2023-02-08,66
2023-02-09,80
2023-02-10,52
2023-02-11,14
2023-02-12,7
2023-02-13,32
2023-02-14,30
2023-02-15,30
2023-02-16,30
2023-02-17,24
2023-02-18,7
2023-02-19,4
2023-02-20,7
2023-02-21,23
2023-02-22,23
2023-02-23,23
2023-02-24,21
2023-02-25,9
2023-02-26,5
2023-02-27,20
2023-02-28,21
2023-03-01,19
2023-03-02,20
2023-03-03,19
2023-03-04,5
2023-03-05,3
2023-03-06,21
2023-03-07,21
2023-03-08,20
2023-03-09,21
2023-03-10,21
2023-03-11,7
2023-03-12,4
2023-03-13,20
2023-03-14,24
2023-03-15,24
2023-03-16,34
2023-03-17,32
2023-03-18,8
2023-03-19,4
2023-03-20,24
2023-03-21,34
2023-03-22,32
2023-03-23,28
2023-03-24,24
2023-03-25,5
2023-03-26,4
2023-03-27,23
2023-03-28,20
2023-03-29,21
2023-03-30,20
2023-03-31,24
2023-04-01,6
2023-04-02,3
2023-04-03,21
2023-04-04,18
2023-04-05,18
2023-04-06,25
2023-04-07,17
2023-04-08,5
2023-04-09,4
2023-04-10,21
2023-04-11,19
2023-04-12,19
2023-04-13,21
2023-04-14,22
2023-04-15,7
2023-04-16,4
2023-04-17,29
2023-04-18,25
2023-04-19,24
2023-04-20,22
2023-04-21,23
2023-04-22,6
2023-04-23,4
2023-04-24,24
2023-04-25,80
2023-04-26,72
2023-04-27,39
2023-04-28,29
2023-04-29,7
2023-04-30,5
2023-05-01,26
2023-05-02,20
2023-05-03,21
2023-05-04,21
2023-05-05,20
2023-05-06,5
2023-05-07,3
2023-05-08,22
2023-05-09,21
2023-05-10,49
2023-05-11,52
2023-05-12,39
2023-05-13,9
2023-05-14,4
2023-05-15,28
2023-05-16,35
2023-05-17,34
2023-05-18,36
2023-05-19,36
2023-05-20,11
2023-05-21,6
2023-05-22,34
2023-05-23,28
2023-05-24,25
2023-05-25,34
