Time,goog stock
2023-04-26,79
2023-04-27,43
2023-04-28,32
2023-04-29,8
2023-04-30,5
2023-05-01,29
2023-05-02,23
2023-05-03,23
2023-05-04,23
2023-05-05,22
2023-05-06,5
2023-05-07,3
2023-05-08,25
2023-05-09,23
2023-05-10,55
2023-05-11,58
2023-05-12,43
2023-05-13,10
2023-05-14,5
2023-05-15,31
2023-05-16,39
2023-05-17,37
2023-05-18,40
2023-05-19,40
2023-05-20,12
2023-05-21,6
2023-05-22,38
2023-05-23,31
2023-05-24,28
2023-05-25,37
2023-05-26,34
2023-05-27,8
2023-05-28,5
2023-05-29,7
2023-05-30,31
2023-05-31,26
2023-06-01,26
2023-06-02,31
2023-06-03,7
2023-06-04,5
2023-06-05,30
2023-06-06,28
2023-06-07,29
2023-06-08,28
2023-06-09,24
2023-06-10,7
2023-06-11,5
2023-06-12,26
2023-06-13,27
2023-06-14,28
2023-06-15,26
2023-06-16,23
2023-06-17,6
2023-06-18,3
2023-06-19,7
2023-06-20,21
2023-06-21,19
2023-06-22,20
2023-06-23,19
2023-06-24,5
2023-06-25,4
2023-06-26,21
2023-06-27,25
2023-06-28,26
2023-06-29,21
2023-06-30,22
2023-07-01,5
2023-07-02,5
2023-07-03,16
2023-07-04,6
2023-07-05,19
2023-07-06,20
2023-07-07,19
2023-07-08,5
2023-07-09,3
2023-07-10,22
2023-07-11,20
2023-07-12,22
2023-07-13,29
2023-07-14,27
2023-07-15,6
2023-07-16,4
2023-07-17,21
2023-07-18,23
2023-07-19,24
2023-07-20,20
2023-07-21,19
2023-07-22,6
2023-07-23,4
2023-07-24,26
2023-07-25,100
2023-07-26,88
2023-07-27,47
2023-07-28,37
2023-07-29,10
2023-07-30,6
2023-07-31,28
2023-08-01,26
2023-08-02,24
2023-08-03,24
2023-08-04,28
2023-08-05,7
2023-08-06,4
2023-08-07,24
2023-08-08,24
2023-08-09,18
2023-08-10,20
2023-08-11,19
2023-08-12,6
2023-08-13,3
2023-08-14,20
2023-08-15,18
2023-08-16,18
2023-08-17,22
2023-08-18,21
2023-08-19,5
2023-08-20,4
2023-08-21,19
2023-08-22,21
2023-08-23,25
2023-08-24,24
2023-08-25,18
2023-08-26,4
2023-08-27,2
2023-08-28,17
2023-08-29,29
2023-08-30,24
2023-08-31,26
2023-09-01,22
2023-09-02,4
2023-09-03,3
2023-09-04,5
2023-09-05,16
2023-09-06,16
2023-09-07,19
2023-09-08,18
2023-09-09,5
2023-09-10,4
2023-09-11,21
2023-09-12,19
2023-09-13,20
2023-09-14,21
2023-09-15,19
2023-09-16,6
2023-09-17,3
2023-09-18,18
2023-09-19,15
2023-09-20,18
2023-09-21,17
2023-09-22,19
2023-09-23,5
2023-09-24,3
2023-09-25,17
2023-09-26,20
2023-09-27,17
2023-09-28,18
2023-09-29,17
2023-09-30,5
2023-10-01,2
2023-10-02,18
2023-10-03,18
2023-10-04,17
2023-10-05,16
2023-10-06,21
2023-10-07,6
2023-10-08,3
2023-10-09,18
2023-10-10,22
2023-10-11,21
2023-10-12,22
2023-10-13,18
2023-10-14,4
2023-10-15,4
2023-10-16,17
2023-10-17,18
2023-10-18,19
2023-10-19,17
2023-10-20,16
2023-10-21,4
2023-10-22,2
2023-10-23,21
2023-10-24,71
2023-10-25,83
2023-10-26,57
2023-10-27,33
2023-10-28,7
2023-10-29,5
2023-10-30,26
2023-10-31,25
2023-11-01,22
2023-11-02,23
2023-11-03,24
2023-11-04,7
2023-11-05,3
2023-11-06,21
2023-11-07,21
2023-11-08,19
2023-11-09,19
2023-11-10,18
2023-11-11,6
2023-11-12,3
2023-11-13,19
2023-11-14,23
2023-11-15,22
2023-11-16,24
2023-11-17,25
2023-11-18,7
2023-11-19,4
2023-11-20,30
2023-11-21,23
2023-11-22,24
2023-11-23,7
2023-11-24,14
2023-11-25,4
2023-11-26,4
2023-11-27,20
2023-11-28,18
2023-11-29,21
2023-11-30,21
2023-12-01,20
2023-12-02,4
2023-12-03,3
2023-12-04,18
2023-12-05,19
2023-12-06,29
2023-12-07,41
2023-12-08,37
2023-12-09,10
2023-12-10,4
2023-12-11,21
2023-12-12,26
2023-12-13,26
2023-12-14,23
2023-12-15,21
2023-12-16,7
2023-12-17,6
2023-12-18,23
2023-12-19,25
2023-12-20,34
2023-12-21,29
2023-12-22,26
2023-12-23,6
2023-12-24,5
2023-12-25,3
2023-12-26,20
2023-12-27,21
2023-12-28,21
2023-12-29,20
2023-12-30,5
2023-12-31,3
2024-01-01,5
2024-01-02,20
2024-01-03,20
2024-01-04,19
2024-01-05,16
2024-01-06,6
2024-01-07,4
2024-01-08,20
2024-01-09,20
2024-01-10,24
2024-01-11,33
2024-01-12,24
2024-01-13,8
2024-01-14,4
2024-01-15,6
2024-01-16,19
2024-01-17,19
2024-01-18,24
2024-01-19,27
2024-01-20,10
