Time,goog stock
2022-01-01,2
2022-01-02,2
2022-01-03,9
2022-01-04,13
2022-01-05,11
2022-01-06,14
2022-01-07,12
2022-01-08,4
2022-01-09,2
2022-01-10,11
2022-01-11,10
2022-01-12,9
2022-01-13,11
2022-01-14,7
2022-01-15,3
2022-01-16,2
2022-01-17,1
2022-01-18,8
2022-01-19,10
2022-01-20,9
2022-01-21,15
2022-01-22,6
2022-01-23,3
2022-01-24,22
2022-01-25,15
2022-01-26,15
2022-01-27,12
2022-01-28,15
2022-01-29,4
2022-01-30,3
2022-01-31,13
2022-02-01,49
2022-02-02,100
2022-02-03,60
2022-02-04,37
2022-02-05,10
2022-02-06,6
2022-02-07,30
2022-02-08,32
2022-02-09,22
2022-02-10,18
2022-02-11,21
2022-02-12,8
2022-02-13,3
2022-02-14,21
2022-02-15,21
2022-02-16,20
2022-02-17,21
2022-02-18,22
2022-02-19,8
2022-02-20,3
2022-02-21,6
2022-02-22,22
2022-02-23,21
2022-02-24,33
2022-02-25,22
2022-02-26,7
2022-02-27,4
2022-02-28,19
2022-03-01,18
2022-03-02,16
2022-03-03,17
2022-03-04,18
2022-03-05,5
2022-03-06,4
2022-03-07,24
2022-03-08,21
2022-03-09,22
2022-03-10,24
2022-03-11,18
2022-03-12,6
2022-03-13,4
2022-03-14,20
2022-03-15,20
2022-03-16,21
2022-03-17,20
2022-03-18,17
2022-03-19,6
2022-03-20,5
2022-03-21,18
2022-03-22,18
2022-03-23,16
2022-03-24,16
2022-03-25,17
2022-03-26,6
2022-03-27,4
2022-03-28,18
2022-03-29,18
2022-03-30,17
2022-03-31,16
2022-04-01,13
2022-04-02,6
2022-04-03,3
2022-04-04,17
2022-04-05,14
2022-04-06,16
2022-04-07,13
2022-04-08,13
2022-04-09,5
2022-04-10,3
2022-04-11,18
2022-04-12,18
2022-04-13,16
2022-04-14,16
2022-04-15,9
2022-04-16,3
2022-04-17,4
2022-04-18,16
2022-04-19,16
2022-04-20,19
2022-04-21,22
2022-04-22,26
2022-04-23,11
2022-04-24,6
2022-04-25,28
2022-04-26,76
2022-04-27,62
2022-04-28,38
2022-04-29,30
2022-04-30,11
2022-05-01,4
2022-05-02,23
2022-05-03,20
2022-05-04,21
2022-05-05,28
2022-05-06,24
2022-05-07,7
2022-05-08,3
2022-05-09,28
2022-05-10,24
2022-05-11,28
2022-05-12,27
2022-05-13,22
2022-05-14,7
2022-05-15,4
2022-05-16,17
2022-05-17,17
2022-05-18,18
2022-05-19,22
2022-05-20,22
2022-05-21,6
2022-05-22,3
2022-05-23,23
2022-05-24,35
2022-05-25,25
2022-05-26,23
2022-05-27,21
2022-05-28,5
2022-05-29,3
2022-05-30,3
2022-05-31,22
2022-06-01,21
2022-06-02,21
2022-06-03,18
2022-06-04,4
2022-06-05,4
2022-06-06,23
2022-06-07,17
2022-06-08,16
2022-06-09,18
2022-06-10,18
2022-06-11,6
2022-06-12,4
2022-06-13,25
2022-06-14,21
2022-06-15,20
2022-06-16,21
2022-06-17,16
2022-06-18,5
2022-06-19,4
2022-06-20,6
2022-06-21,18
2022-06-22,15
2022-06-23,15
2022-06-24,17
2022-06-25,6
2022-06-26,3
2022-06-27,19
2022-06-28,17
2022-06-29,16
2022-06-30,17
2022-07-01,16
2022-07-02,5
2022-07-03,3
2022-07-04,3
2022-07-05,17
2022-07-06,17
2022-07-07,16
2022-07-08,18
2022-07-09,5
2022-07-10,3
2022-07-11,17
2022-07-12,17
2022-07-13,19
2022-07-14,21
2022-07-15,24
2022-07-16,10
2022-07-17,7
2022-07-18,45
2022-07-19,34
2022-07-20,26
2022-07-21,26
2022-07-22,32
2022-07-23,9
2022-07-24,5
2022-07-25,26
2022-07-26,76
2022-07-27,59
2022-07-28,34
2022-07-29,30
2022-07-30,7
2022-07-31,5
2022-08-01,22
2022-08-02,21
2022-08-03,22
2022-08-04,21
2022-08-05,21
2022-08-06,6
2022-08-07,3
2022-08-08,21
2022-08-09,18
2022-08-10,23
2022-08-11,22
2022-08-12,22
2022-08-13,6
2022-08-14,4
2022-08-15,20
2022-08-16,18
2022-08-17,16
2022-08-18,17
2022-08-19,16
2022-08-20,4
2022-08-21,4
2022-08-22,16
2022-08-23,16
2022-08-24,15
2022-08-25,17
2022-08-26,19
2022-08-27,6
2022-08-28,4
2022-08-29,16
2022-08-30,18
2022-08-31,17
2022-09-01,15
2022-09-02,13
2022-09-03,3
2022-09-04,2
2022-09-05,3
2022-09-06,15
2022-09-07,15
2022-09-08,15
2022-09-09,16
2022-09-10,4
2022-09-11,2
2022-09-12,15
2022-09-13,21
2022-09-14,19
2022-09-15,18
2022-09-16,20
2022-09-17,6
2022-09-18,4
2022-09-19,17
2022-09-20,16
2022-09-21,19
2022-09-22,19
2022-09-23,22
2022-09-24,8
2022-09-25,4
2022-09-26,18
2022-09-27,19
