Time,khan academy
2023-12-22,20
2023-12-23,12
2023-12-24,12
2023-12-25,13
2023-12-26,16
2023-12-27,18
2023-12-28,19
2023-12-29,15
2023-12-30,14
2023-12-31,15
2024-01-01,18
2024-01-02,32
2024-01-03,47
2024-01-04,55
2024-01-05,48
2024-01-06,21
2024-01-07,23
2024-01-08,73
2024-01-09,74
2024-01-10,83
2024-01-11,85
2024-01-12,66
2024-01-13,21
2024-01-14,20
2024-01-15,31
2024-01-16,68
2024-01-17,76
2024-01-18,93
2024-01-19,69
2024-01-20,23
2024-01-21,26
2024-01-22,81
2024-01-23,85
2024-01-24,87
2024-01-25,85
2024-01-26,75
2024-01-27,25
2024-01-28,27
2024-01-29,88
2024-01-30,93
2024-01-31,92
2024-02-01,91
2024-02-02,78
2024-02-03,27
2024-02-04,31
2024-02-05,86
2024-02-06,90
2024-02-07,93
2024-02-08,89
2024-02-09,78
2024-02-10,24
2024-02-11,26
2024-02-12,74
2024-02-13,84
2024-02-14,82
2024-02-15,85
2024-02-16,65
2024-02-17,23
2024-02-18,27
2024-02-19,40
2024-02-20,81
2024-02-21,82
2024-02-22,81
2024-02-23,73
2024-02-24,28
2024-02-25,27
2024-02-26,88
2024-02-27,91
2024-02-28,91
2024-02-29,89
2024-03-01,80
2024-03-02,29
2024-03-03,32
2024-03-04,93
2024-03-05,90
2024-03-06,96
2024-03-07,86
2024-03-08,70
2024-03-09,25
2024-03-10,26
2024-03-11,73
2024-03-12,76
2024-03-13,74
2024-03-14,71
2024-03-15,60
2024-03-16,22
2024-03-17,27
2024-03-18,73
2024-03-19,79
2024-03-20,82
2024-03-21,75
2024-03-22,61
2024-03-23,23
2024-03-24,23
2024-03-25,66
2024-03-26,63
2024-03-27,63
2024-03-28,56
2024-03-29,29
2024-03-30,19
2024-03-31,21
2024-04-01,50
2024-04-02,64
2024-04-03,67
2024-04-04,60
2024-04-05,57
2024-04-06,20
2024-04-07,25
2024-04-08,61
2024-04-09,78
2024-04-10,70
2024-04-11,72
2024-04-12,66
2024-04-13,22
2024-04-14,25
2024-04-15,76
2024-04-16,77
2024-04-17,73
2024-04-18,72
2024-04-19,60
2024-04-20,23
2024-04-21,26
2024-04-22,72
2024-04-23,71
2024-04-24,72
2024-04-25,66
2024-04-26,58
2024-04-27,21
2024-04-28,24
2024-04-29,73
2024-04-30,77
2024-05-01,67
2024-05-02,69
2024-05-03,62
2024-05-04,24
2024-05-05,28
2024-05-06,75
2024-05-07,66
2024-05-08,62
2024-05-09,64
2024-05-10,54
2024-05-11,23
2024-05-12,26
2024-05-13,64
2024-05-14,67
2024-05-15,64
2024-05-16,60
2024-05-17,48
2024-05-18,21
2024-05-19,23
2024-05-20,56
2024-05-21,57
2024-05-22,51
2024-05-23,47
2024-05-24,35
2024-05-25,20
2024-05-26,22
2024-05-27,28
2024-05-28,47
2024-05-29,47
2024-05-30,46
2024-05-31,41
2024-06-01,23
2024-06-02,22
2024-06-03,45
2024-06-04,42
2024-06-05,42
2024-06-06,38
2024-06-07,30
2024-06-08,19
2024-06-09,21
2024-06-10,40
2024-06-11,34
2024-06-12,33
2024-06-13,32
2024-06-14,25
2024-06-15,20
2024-06-16,18
2024-06-17,33
2024-06-18,31
2024-06-19,29
2024-06-20,30
2024-06-21,26
2024-06-22,21
2024-06-23,20
2024-06-24,33
2024-06-25,31
2024-06-26,30
2024-06-27,28
2024-06-28,24
2024-06-29,17
2024-06-30,17
2024-07-01,31
2024-07-02,32
2024-07-03,28
2024-07-04,19
2024-07-05,24
2024-07-06,19
2024-07-07,22
2024-07-08,31
2024-07-09,31
2024-07-10,30
2024-07-11,29
2024-07-12,26
2024-07-13,20
2024-07-14,16
2024-07-15,27
2024-07-16,29
2024-07-17,30
2024-07-18,29
2024-07-19,23
2024-07-20,19
2024-07-21,21
2024-07-22,30
2024-07-23,30
2024-07-24,30
2024-07-25,30
2024-07-26,25
2024-07-27,19
2024-07-28,19
2024-07-29,28
2024-07-30,28
2024-07-31,31
2024-08-01,29
2024-08-02,28
2024-08-03,22
2024-08-04,24
2024-08-05,34
2024-08-06,39
2024-08-07,34
2024-08-08,41
2024-08-09,38
2024-08-10,22
2024-08-11,25
2024-08-12,47
2024-08-13,50
2024-08-14,60
2024-08-15,65
2024-08-16,56
2024-08-17,25
2024-08-18,28
2024-08-19,70
2024-08-20,78
2024-08-21,78
2024-08-22,79
2024-08-23,71
2024-08-24,28
2024-08-25,31
2024-08-26,79
2024-08-27,83
2024-08-28,90
2024-08-29,91
2024-08-30,74
2024-08-31,22
2024-09-01,26
2024-09-02,34
2024-09-03,88
2024-09-04,98
2024-09-05,99
2024-09-06,84
2024-09-07,29
2024-09-08,34
2024-09-09,97
2024-09-10,96
2024-09-11,97
2024-09-12,100
2024-09-13,88
2024-09-14,29
2024-09-15,31
2024-09-16,93
