Time,mlb scores
2023-04-26,52
2023-04-27,47
2023-04-28,35
2023-04-29,68
2023-04-30,70
2023-05-01,29
2023-05-02,36
2023-05-03,53
2023-05-04,52
2023-05-05,30
2023-05-06,73
2023-05-07,77
2023-05-08,25
2023-05-09,42
2023-05-10,52
2023-05-11,41
2023-05-12,33
2023-05-13,78
2023-05-14,73
2023-05-15,26
2023-05-16,43
2023-05-17,56
2023-05-18,49
2023-05-19,35
2023-05-20,77
2023-05-21,76
2023-05-22,25
2023-05-23,41
2023-05-24,55
2023-05-25,52
2023-05-26,46
2023-05-27,74
2023-05-28,75
2023-05-29,50
2023-05-30,34
2023-05-31,57
2023-06-01,44
2023-06-02,35
2023-06-03,76
2023-06-04,76
2023-06-05,33
2023-06-06,36
2023-06-07,50
2023-06-08,52
2023-06-09,42
2023-06-10,78
2023-06-11,70
2023-06-12,26
2023-06-13,41
2023-06-14,62
2023-06-15,56
2023-06-16,46
2023-06-17,75
2023-06-18,76
2023-06-19,36
2023-06-20,42
2023-06-21,63
2023-06-22,53
2023-06-23,35
2023-06-24,81
2023-06-25,89
2023-06-26,26
2023-06-27,39
2023-06-28,54
2023-06-29,60
2023-06-30,44
2023-07-01,77
2023-07-02,83
2023-07-03,43
2023-07-04,76
2023-07-05,45
2023-07-06,59
2023-07-07,49
2023-07-08,85
2023-07-09,79
2023-07-10,17
2023-07-11,10
2023-07-12,20
2023-07-13,9
2023-07-14,18
2023-07-15,72
2023-07-16,87
2023-07-17,27
2023-07-18,49
2023-07-19,67
2023-07-20,51
2023-07-21,38
2023-07-22,79
2023-07-23,79
2023-07-24,28
2023-07-25,42
2023-07-26,62
2023-07-27,45
2023-07-28,38
2023-07-29,77
2023-07-30,87
2023-07-31,28
2023-08-01,47
2023-08-02,62
2023-08-03,58
2023-08-04,53
2023-08-05,80
2023-08-06,85
2023-08-07,31
2023-08-08,51
2023-08-09,60
2023-08-10,58
2023-08-11,37
2023-08-12,76
2023-08-13,85
2023-08-14,29
2023-08-15,43
2023-08-16,58
2023-08-17,52
2023-08-18,45
2023-08-19,80
2023-08-20,82
2023-08-21,26
2023-08-22,46
2023-08-23,67
2023-08-24,54
2023-08-25,40
2023-08-26,70
2023-08-27,76
2023-08-28,26
2023-08-29,47
2023-08-30,65
2023-08-31,42
2023-09-01,40
2023-09-02,64
2023-09-03,83
2023-09-04,54
2023-09-05,33
2023-09-06,60
2023-09-07,40
2023-09-08,44
2023-09-09,69
2023-09-10,66
2023-09-11,29
2023-09-12,55
2023-09-13,57
2023-09-14,48
2023-09-15,38
2023-09-16,67
2023-09-17,73
2023-09-18,25
2023-09-19,43
2023-09-20,61
2023-09-21,43
2023-09-22,50
2023-09-23,72
2023-09-24,72
2023-09-25,28
2023-09-26,37
2023-09-27,55
2023-09-28,57
2023-09-29,48
2023-09-30,74
2023-10-01,82
2023-10-02,17
2023-10-03,35
2023-10-04,81
2023-10-05,51
2023-10-06,16
2023-10-07,57
2023-10-08,100
2023-10-09,63
2023-10-10,82
2023-10-11,73
2023-10-12,76
2023-10-13,61
2023-10-14,19
2023-10-15,22
2023-10-16,52
2023-10-17,53
2023-10-18,50
2023-10-19,64
2023-10-20,76
2023-10-21,83
2023-10-22,67
2023-10-23,81
2023-10-24,85
2023-10-25,69
2023-10-26,8
2023-10-27,11
2023-10-28,60
2023-10-29,48
2023-10-30,13
2023-10-31,41
2023-11-01,45
2023-11-02,40
2023-11-03,3
2023-11-04,3
2023-11-05,4
2023-11-06,2
2023-11-07,1
2023-11-08,1
2023-11-09,1
2023-11-10,1
2023-11-11,1
2023-11-12,2
2023-11-13,1
2023-11-14,1
2023-11-15,1
2023-11-16,1
2023-11-17,1
2023-11-18,1
2023-11-19,2
2023-11-20,1
2023-11-21,1
2023-11-22,1
2023-11-23,1
2023-11-24,1
2023-11-25,1
2023-11-26,1
2023-11-27,1
2023-11-28,1
2023-11-29,1
2023-11-30,0
2023-12-01,1
2023-12-02,1
2023-12-03,1
2023-12-04,1
2023-12-05,1
2023-12-06,1
2023-12-07,1
2023-12-08,1
2023-12-09,1
2023-12-10,2
2023-12-11,1
2023-12-12,1
2023-12-13,1
2023-12-14,1
2023-12-15,1
2023-12-16,1
2023-12-17,1
2023-12-18,1
2023-12-19,1
2023-12-20,1
2023-12-21,1
2023-12-22,1
2023-12-23,1
2023-12-24,1
2023-12-25,1
2023-12-26,1
2023-12-27,0
2023-12-28,1
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,1
2024-01-03,1
2024-01-04,0
2024-01-05,0
2024-01-06,1
2024-01-07,1
2024-01-08,1
2024-01-09,1
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,1
2024-01-14,1
2024-01-15,1
2024-01-16,1
2024-01-17,1
2024-01-18,0
2024-01-19,0
2024-01-20,1
