Time,mortgage rates
2023-12-22,42
2023-12-23,48
2023-12-24,27
2023-12-25,24
2023-12-26,38
2023-12-27,47
2023-12-28,48
2023-12-29,50
2023-12-30,39
2023-12-31,32
2024-01-01,32
2024-01-02,48
2024-01-03,50
2024-01-04,60
2024-01-05,51
2024-01-06,39
2024-01-07,32
2024-01-08,42
2024-01-09,42
2024-01-10,43
2024-01-11,42
2024-01-12,38
2024-01-13,38
2024-01-14,30
2024-01-15,34
2024-01-16,39
2024-01-17,44
2024-01-18,46
2024-01-19,42
2024-01-20,41
2024-01-21,34
2024-01-22,41
2024-01-23,40
2024-01-24,39
2024-01-25,38
2024-01-26,35
2024-01-27,35
2024-01-28,32
2024-01-29,38
2024-01-30,42
2024-01-31,45
2024-02-01,46
2024-02-02,42
2024-02-03,39
2024-02-04,33
2024-02-05,42
2024-02-06,42
2024-02-07,37
2024-02-08,35
2024-02-09,34
2024-02-10,31
2024-02-11,28
2024-02-12,30
2024-02-13,43
2024-02-14,39
2024-02-15,38
2024-02-16,36
2024-02-17,36
2024-02-18,35
2024-02-19,38
2024-02-20,40
2024-02-21,41
2024-02-22,39
2024-02-23,36
2024-02-24,35
2024-02-25,35
2024-02-26,39
2024-02-27,39
2024-02-28,35
2024-02-29,38
2024-03-01,36
2024-03-02,33
2024-03-03,32
2024-03-04,38
2024-03-05,37
2024-03-06,39
2024-03-07,39
2024-03-08,39
2024-03-09,36
2024-03-10,34
2024-03-11,40
2024-03-12,44
2024-03-13,40
2024-03-14,39
2024-03-15,37
2024-03-16,35
2024-03-17,30
2024-03-18,38
2024-03-19,40
2024-03-20,48
2024-03-21,41
2024-03-22,36
2024-03-23,30
2024-03-24,29
2024-03-25,35
2024-03-26,37
2024-03-27,33
2024-03-28,31
2024-03-29,29
2024-03-30,28
2024-03-31,24
2024-04-01,38
2024-04-02,37
2024-04-03,37
2024-04-04,34
2024-04-05,35
2024-04-06,30
2024-04-07,27
2024-04-08,31
2024-04-09,35
2024-04-10,44
2024-04-11,43
2024-04-12,35
2024-04-13,33
2024-04-14,25
2024-04-15,38
2024-04-16,39
2024-04-17,42
2024-04-18,44
2024-04-19,38
2024-04-20,32
2024-04-21,28
2024-04-22,40
2024-04-23,38
2024-04-24,38
2024-04-25,39
2024-04-26,36
2024-04-27,30
2024-04-28,27
2024-04-29,36
2024-04-30,40
2024-05-01,47
2024-05-02,45
2024-05-03,50
2024-05-04,39
2024-05-05,29
2024-05-06,37
2024-05-07,37
2024-05-08,40
2024-05-09,36
2024-05-10,34
2024-05-11,31
2024-05-12,24
2024-05-13,35
2024-05-14,39
2024-05-15,40
2024-05-16,41
2024-05-17,36
2024-05-18,30
2024-05-19,27
2024-05-20,37
2024-05-21,35
2024-05-22,41
2024-05-23,34
2024-05-24,31
2024-05-25,28
2024-05-26,23
2024-05-27,25
2024-05-28,35
2024-05-29,43
2024-05-30,41
2024-05-31,38
2024-06-01,33
2024-06-02,28
2024-06-03,36
2024-06-04,38
2024-06-05,37
2024-06-06,37
2024-06-07,34
2024-06-08,29
2024-06-09,28
2024-06-10,38
2024-06-11,40
2024-06-12,51
2024-06-13,43
2024-06-14,40
2024-06-15,33
2024-06-16,28
2024-06-17,38
2024-06-18,36
2024-06-19,31
2024-06-20,36
2024-06-21,36
2024-06-22,33
2024-06-23,34
2024-06-24,36
2024-06-25,37
2024-06-26,33
2024-06-27,31
2024-06-28,31
2024-06-29,26
2024-06-30,24
2024-07-01,35
2024-07-02,35
2024-07-03,33
2024-07-04,23
2024-07-05,32
2024-07-06,27
2024-07-07,25
2024-07-08,38
2024-07-09,38
2024-07-10,35
2024-07-11,41
2024-07-12,37
2024-07-13,30
2024-07-14,25
2024-07-15,36
2024-07-16,38
2024-07-17,39
2024-07-18,39
2024-07-19,41
2024-07-20,32
2024-07-21,33
2024-07-22,36
2024-07-23,38
2024-07-24,40
2024-07-25,39
2024-07-26,32
2024-07-27,28
2024-07-28,24
2024-07-29,35
2024-07-30,34
2024-07-31,43
2024-08-01,55
2024-08-02,63
2024-08-03,64
2024-08-04,54
2024-08-05,100
2024-08-06,86
2024-08-07,77
2024-08-08,76
2024-08-09,72
2024-08-10,43
2024-08-11,37
2024-08-12,55
2024-08-13,54
2024-08-14,64
2024-08-15,61
2024-08-16,52
2024-08-17,39
2024-08-18,32
2024-08-19,45
2024-08-20,43
2024-08-21,45
2024-08-22,44
2024-08-23,57
2024-08-24,45
2024-08-25,36
2024-08-26,50
2024-08-27,44
2024-08-28,51
2024-08-29,46
2024-08-30,42
2024-08-31,32
2024-09-01,29
2024-09-02,34
2024-09-03,45
2024-09-04,51
2024-09-05,51
2024-09-06,45
2024-09-07,36
2024-09-08,33
2024-09-09,47
2024-09-10,48
2024-09-11,54
2024-09-12,62
2024-09-13,59
2024-09-14,46
2024-09-15,37
2024-09-16,54
