Time,old navy
2022-01-01,54
2022-01-02,55
2022-01-03,49
2022-01-04,51
2022-01-05,46
2022-01-06,38
2022-01-07,44
2022-01-08,52
2022-01-09,51
2022-01-10,40
2022-01-11,41
2022-01-12,41
2022-01-13,48
2022-01-14,39
2022-01-15,50
2022-01-16,48
2022-01-17,41
2022-01-18,34
2022-01-19,37
2022-01-20,39
2022-01-21,39
2022-01-22,52
2022-01-23,61
2022-01-24,52
2022-01-25,35
2022-01-26,37
2022-01-27,36
2022-01-28,40
2022-01-29,48
2022-01-30,50
2022-01-31,39
2022-02-01,39
2022-02-02,40
2022-02-03,37
2022-02-04,44
2022-02-05,50
2022-02-06,49
2022-02-07,41
2022-02-08,39
2022-02-09,40
2022-02-10,35
2022-02-11,41
2022-02-12,51
2022-02-13,47
2022-02-14,33
2022-02-15,38
2022-02-16,40
2022-02-17,41
2022-02-18,45
2022-02-19,57
2022-02-20,64
2022-02-21,56
2022-02-22,45
2022-02-23,41
2022-02-24,42
2022-02-25,50
2022-02-26,71
2022-02-27,74
2022-02-28,58
2022-03-01,49
2022-03-02,59
2022-03-03,58
2022-03-04,59
2022-03-05,71
2022-03-06,84
2022-03-07,62
2022-03-08,52
2022-03-09,48
2022-03-10,54
2022-03-11,55
2022-03-12,64
2022-03-13,70
2022-03-14,51
2022-03-15,54
2022-03-16,59
2022-03-17,56
2022-03-18,56
2022-03-19,73
2022-03-20,78
2022-03-21,57
2022-03-22,55
2022-03-23,54
2022-03-24,55
2022-03-25,55
2022-03-26,68
2022-03-27,74
2022-03-28,53
2022-03-29,49
2022-03-30,50
2022-03-31,49
2022-04-01,57
2022-04-02,81
2022-04-03,91
2022-04-04,64
2022-04-05,55
2022-04-06,56
2022-04-07,60
2022-04-08,56
2022-04-09,70
2022-04-10,74
2022-04-11,57
2022-04-12,50
2022-04-13,56
2022-04-14,59
2022-04-15,67
2022-04-16,72
2022-04-17,72
2022-04-18,53
2022-04-19,51
2022-04-20,50
2022-04-21,49
2022-04-22,56
2022-04-23,73
2022-04-24,75
2022-04-25,57
2022-04-26,52
2022-04-27,51
2022-04-28,54
2022-04-29,63
2022-04-30,75
2022-05-01,89
2022-05-02,60
2022-05-03,51
2022-05-04,53
2022-05-05,52
2022-05-06,52
2022-05-07,64
2022-05-08,67
2022-05-09,55
2022-05-10,59
2022-05-11,62
2022-05-12,75
2022-05-13,70
2022-05-14,81
2022-05-15,90
2022-05-16,67
2022-05-17,66
2022-05-18,59
2022-05-19,62
2022-05-20,67
2022-05-21,93
2022-05-22,91
2022-05-23,64
2022-05-24,67
2022-05-25,61
2022-05-26,61
2022-05-27,67
2022-05-28,88
2022-05-29,90
2022-05-30,100
2022-05-31,73
2022-06-01,64
2022-06-02,64
2022-06-03,63
2022-06-04,84
2022-06-05,92
2022-06-06,69
2022-06-07,67
2022-06-08,66
2022-06-09,66
2022-06-10,73
2022-06-11,79
2022-06-12,93
2022-06-13,69
2022-06-14,62
2022-06-15,62
2022-06-16,60
2022-06-17,66
2022-06-18,75
2022-06-19,70
2022-06-20,70
2022-06-21,66
2022-06-22,63
2022-06-23,65
2022-06-24,63
2022-06-25,74
2022-06-26,80
2022-06-27,66
2022-06-28,59
2022-06-29,65
2022-06-30,66
2022-07-01,74
2022-07-02,80
2022-07-03,83
2022-07-04,78
2022-07-05,59
2022-07-06,59
2022-07-07,57
2022-07-08,57
2022-07-09,68
2022-07-10,82
2022-07-11,73
2022-07-12,68
2022-07-13,61
2022-07-14,58
2022-07-15,59
2022-07-16,73
2022-07-17,79
2022-07-18,62
2022-07-19,59
2022-07-20,60
2022-07-21,61
2022-07-22,64
2022-07-23,71
2022-07-24,81
2022-07-25,66
2022-07-26,61
2022-07-27,56
2022-07-28,59
2022-07-29,63
2022-07-30,73
2022-07-31,77
2022-08-01,72
2022-08-02,63
2022-08-03,61
2022-08-04,61
2022-08-05,70
2022-08-06,83
2022-08-07,90
2022-08-08,69
2022-08-09,63
2022-08-10,60
2022-08-11,63
2022-08-12,59
2022-08-13,72
2022-08-14,75
2022-08-15,62
2022-08-16,57
2022-08-17,57
2022-08-18,58
2022-08-19,59
2022-08-20,73
2022-08-21,82
2022-08-22,60
2022-08-23,51
2022-08-24,51
2022-08-25,48
2022-08-26,52
2022-08-27,69
2022-08-28,70
2022-08-29,48
2022-08-30,49
2022-08-31,48
2022-09-01,54
2022-09-02,56
2022-09-03,67
2022-09-04,74
2022-09-05,83
2022-09-06,51
2022-09-07,46
2022-09-08,43
2022-09-09,46
2022-09-10,71
2022-09-11,72
2022-09-12,51
2022-09-13,52
2022-09-14,53
2022-09-15,55
2022-09-16,55
2022-09-17,67
2022-09-18,80
2022-09-19,56
2022-09-20,49
2022-09-21,47
2022-09-22,52
2022-09-23,61
2022-09-24,75
2022-09-25,74
2022-09-26,56
2022-09-27,52
