Time,old navy
2023-04-26,16
2023-04-27,16
2023-04-28,18
2023-04-29,20
2023-04-30,24
2023-05-01,18
2023-05-02,16
2023-05-03,17
2023-05-04,17
2023-05-05,16
2023-05-06,20
2023-05-07,24
2023-05-08,18
2023-05-09,18
2023-05-10,18
2023-05-11,19
2023-05-12,19
2023-05-13,29
2023-05-14,25
2023-05-15,24
2023-05-16,21
2023-05-17,23
2023-05-18,22
2023-05-19,22
2023-05-20,27
2023-05-21,31
2023-05-22,23
2023-05-23,20
2023-05-24,21
2023-05-25,20
2023-05-26,27
2023-05-27,34
2023-05-28,36
2023-05-29,38
2023-05-30,25
2023-05-31,22
2023-06-01,22
2023-06-02,24
2023-06-03,29
2023-06-04,35
2023-06-05,24
2023-06-06,22
2023-06-07,23
2023-06-08,22
2023-06-09,22
2023-06-10,27
2023-06-11,30
2023-06-12,21
2023-06-13,20
2023-06-14,20
2023-06-15,20
2023-06-16,22
2023-06-17,23
2023-06-18,23
2023-06-19,23
2023-06-20,21
2023-06-21,23
2023-06-22,21
2023-06-23,23
2023-06-24,26
2023-06-25,27
2023-06-26,21
2023-06-27,21
2023-06-28,20
2023-06-29,22
2023-06-30,21
2023-07-01,29
2023-07-02,28
2023-07-03,24
2023-07-04,29
2023-07-05,20
2023-07-06,19
2023-07-07,21
2023-07-08,27
2023-07-09,33
2023-07-10,25
2023-07-11,22
2023-07-12,20
2023-07-13,17
2023-07-14,18
2023-07-15,23
2023-07-16,24
2023-07-17,18
2023-07-18,18
2023-07-19,19
2023-07-20,18
2023-07-21,18
2023-07-22,23
2023-07-23,25
2023-07-24,19
2023-07-25,17
2023-07-26,16
2023-07-27,17
2023-07-28,20
2023-07-29,24
2023-07-30,24
2023-07-31,18
2023-08-01,18
2023-08-02,18
2023-08-03,20
2023-08-04,21
2023-08-05,26
2023-08-06,29
2023-08-07,22
2023-08-08,20
2023-08-09,18
2023-08-10,19
2023-08-11,21
2023-08-12,24
2023-08-13,29
2023-08-14,19
2023-08-15,19
2023-08-16,18
2023-08-17,19
2023-08-18,19
2023-08-19,24
2023-08-20,26
2023-08-21,20
2023-08-22,16
2023-08-23,17
2023-08-24,17
2023-08-25,19
2023-08-26,23
2023-08-27,25
2023-08-28,17
2023-08-29,17
2023-08-30,16
2023-08-31,16
2023-09-01,19
2023-09-02,22
2023-09-03,23
2023-09-04,27
2023-09-05,16
2023-09-06,14
2023-09-07,15
2023-09-08,16
2023-09-09,23
2023-09-10,22
2023-09-11,16
2023-09-12,16
2023-09-13,16
2023-09-14,17
2023-09-15,17
2023-09-16,24
2023-09-17,27
2023-09-18,18
2023-09-19,16
2023-09-20,16
2023-09-21,16
2023-09-22,17
2023-09-23,22
2023-09-24,23
2023-09-25,20
2023-09-26,18
2023-09-27,17
2023-09-28,18
2023-09-29,17
2023-09-30,21
2023-10-01,22
2023-10-02,19
2023-10-03,19
2023-10-04,18
2023-10-05,18
2023-10-06,19
2023-10-07,26
2023-10-08,31
2023-10-09,24
2023-10-10,20
2023-10-11,18
2023-10-12,20
2023-10-13,19
2023-10-14,27
2023-10-15,33
2023-10-16,25
2023-10-17,23
2023-10-18,20
2023-10-19,19
2023-10-20,22
2023-10-21,28
2023-10-22,38
2023-10-23,30
2023-10-24,31
2023-10-25,24
2023-10-26,17
2023-10-27,18
2023-10-28,23
2023-10-29,24
2023-10-30,22
2023-10-31,20
2023-11-01,22
2023-11-02,25
2023-11-03,26
2023-11-04,34
2023-11-05,35
2023-11-06,25
2023-11-07,24
2023-11-08,23
2023-11-09,26
2023-11-10,29
2023-11-11,34
2023-11-12,35
2023-11-13,26
2023-11-14,26
2023-11-15,24
2023-11-16,25
2023-11-17,25
2023-11-18,31
2023-11-19,35
2023-11-20,31
2023-11-21,30
2023-11-22,33
2023-11-23,43
2023-11-24,100
2023-11-25,64
2023-11-26,53
2023-11-27,46
2023-11-28,36
2023-11-29,28
2023-11-30,26
2023-12-01,27
2023-12-02,35
2023-12-03,35
2023-12-04,29
2023-12-05,27
2023-12-06,26
2023-12-07,29
2023-12-08,28
2023-12-09,34
2023-12-10,38
2023-12-11,29
2023-12-12,25
2023-12-13,25
2023-12-14,24
2023-12-15,26
2023-12-16,32
2023-12-17,34
2023-12-18,26
2023-12-19,25
2023-12-20,25
2023-12-21,25
2023-12-22,27
2023-12-23,28
2023-12-24,23
2023-12-25,15
2023-12-26,21
2023-12-27,20
2023-12-28,18
2023-12-29,19
2023-12-30,20
2023-12-31,20
2024-01-01,17
2024-01-02,14
2024-01-03,15
2024-01-04,14
2024-01-05,15
2024-01-06,17
2024-01-07,17
2024-01-08,12
2024-01-09,13
2024-01-10,13
2024-01-11,14
2024-01-12,15
2024-01-13,18
2024-01-14,17
2024-01-15,16
2024-01-16,13
2024-01-17,12
2024-01-18,12
2024-01-19,14
2024-01-20,16
