Time,dire wolf
2022-01-01,68
2022-01-02,79
2022-01-03,57
2022-01-04,62
2022-01-05,56
2022-01-06,41
2022-01-07,62
2022-01-08,92
2022-01-09,64
2022-01-10,72
2022-01-11,48
2022-01-12,60
2022-01-13,66
2022-01-14,56
2022-01-15,68
2022-01-16,66
2022-01-17,50
2022-01-18,45
2022-01-19,48
2022-01-20,46
2022-01-21,42
2022-01-22,70
2022-01-23,85
2022-01-24,72
2022-01-25,68
2022-01-26,47
2022-01-27,54
2022-01-28,50
2022-01-29,66
2022-01-30,65
2022-01-31,60
2022-02-01,58
2022-02-02,65
2022-02-03,48
2022-02-04,35
2022-02-05,49
2022-02-06,83
2022-02-07,54
2022-02-08,46
2022-02-09,45
2022-02-10,43
2022-02-11,67
2022-02-12,83
2022-02-13,78
2022-02-14,55
2022-02-15,34
2022-02-16,46
2022-02-17,44
2022-02-18,58
2022-02-19,80
2022-02-20,68
2022-02-21,57
2022-02-22,41
2022-02-23,52
2022-02-24,43
2022-02-25,54
2022-02-26,72
2022-02-27,57
2022-02-28,53
2022-03-01,52
2022-03-02,50
2022-03-03,37
2022-03-04,58
2022-03-05,55
2022-03-06,79
2022-03-07,50
2022-03-08,52
2022-03-09,63
2022-03-10,33
2022-03-11,57
2022-03-12,74
2022-03-13,75
2022-03-14,41
2022-03-15,50
2022-03-16,45
2022-03-17,43
2022-03-18,44
2022-03-19,74
2022-03-20,59
2022-03-21,63
2022-03-22,53
2022-03-23,66
2022-03-24,44
2022-03-25,63
2022-03-26,67
2022-03-27,75
2022-03-28,48
2022-03-29,42
2022-03-30,38
2022-03-31,61
2022-04-01,66
2022-04-02,50
2022-04-03,56
2022-04-04,36
2022-04-05,53
2022-04-06,52
2022-04-07,56
2022-04-08,51
2022-04-09,61
2022-04-10,65
2022-04-11,41
2022-04-12,47
2022-04-13,46
2022-04-14,66
2022-04-15,58
2022-04-16,72
2022-04-17,63
2022-04-18,64
2022-04-19,45
2022-04-20,47
2022-04-21,65
2022-04-22,45
2022-04-23,58
2022-04-24,64
2022-04-25,58
2022-04-26,51
2022-04-27,30
2022-04-28,46
2022-04-29,39
2022-04-30,70
2022-05-01,61
2022-05-02,56
2022-05-03,48
2022-05-04,53
2022-05-05,54
2022-05-06,58
2022-05-07,66
2022-05-08,56
2022-05-09,48
2022-05-10,56
2022-05-11,47
2022-05-12,53
2022-05-13,36
2022-05-14,69
2022-05-15,50
2022-05-16,47
2022-05-17,51
2022-05-18,53
2022-05-19,45
2022-05-20,46
2022-05-21,62
2022-05-22,58
2022-05-23,40
2022-05-24,49
2022-05-25,39
2022-05-26,45
2022-05-27,42
2022-05-28,64
2022-05-29,58
2022-05-30,51
2022-05-31,86
2022-06-01,61
2022-06-02,53
2022-06-03,42
2022-06-04,63
2022-06-05,45
2022-06-06,36
2022-06-07,46
2022-06-08,49
2022-06-09,63
2022-06-10,47
2022-06-11,69
2022-06-12,70
2022-06-13,53
2022-06-14,57
2022-06-15,46
2022-06-16,73
2022-06-17,54
2022-06-18,63
2022-06-19,74
2022-06-20,41
2022-06-21,42
2022-06-22,56
2022-06-23,57
2022-06-24,42
2022-06-25,54
2022-06-26,64
2022-06-27,63
2022-06-28,57
2022-06-29,34
2022-06-30,49
2022-07-01,44
2022-07-02,51
2022-07-03,39
2022-07-04,55
2022-07-05,68
2022-07-06,56
2022-07-07,42
2022-07-08,45
2022-07-09,60
2022-07-10,85
2022-07-11,62
2022-07-12,55
2022-07-13,58
2022-07-14,53
2022-07-15,55
2022-07-16,50
2022-07-17,86
2022-07-18,61
2022-07-19,58
2022-07-20,51
2022-07-21,67
2022-07-22,55
2022-07-23,88
2022-07-24,98
2022-07-25,75
2022-07-26,73
2022-07-27,44
2022-07-28,65
2022-07-29,65
2022-07-30,48
2022-07-31,61
2022-08-01,45
2022-08-02,66
2022-08-03,59
2022-08-04,60
2022-08-05,68
2022-08-06,68
2022-08-07,81
2022-08-08,92
2022-08-09,73
2022-08-10,68
2022-08-11,59
2022-08-12,80
2022-08-13,61
2022-08-14,81
2022-08-15,87
2022-08-16,64
2022-08-17,70
2022-08-18,59
2022-08-19,66
2022-08-20,72
2022-08-21,89
2022-08-22,69
2022-08-23,78
2022-08-24,77
2022-08-25,84
2022-08-26,62
2022-08-27,86
2022-08-28,87
2022-08-29,81
2022-08-30,78
2022-08-31,67
2022-09-01,40
2022-09-02,64
2022-09-03,84
2022-09-04,94
2022-09-05,100
2022-09-06,71
2022-09-07,58
2022-09-08,61
2022-09-09,53
2022-09-10,67
2022-09-11,50
2022-09-12,73
2022-09-13,58
2022-09-14,55
2022-09-15,77
2022-09-16,56
2022-09-17,78
2022-09-18,83
2022-09-19,48
2022-09-20,57
2022-09-21,57
2022-09-22,57
2022-09-23,75
2022-09-24,85
2022-09-25,87
2022-09-26,61
2022-09-27,53
