Time,dire wolf
2023-04-26,60
2023-04-27,56
2023-04-28,58
2023-04-29,61
2023-04-30,57
2023-05-01,42
2023-05-02,32
2023-05-03,52
2023-05-04,49
2023-05-05,36
2023-05-06,48
2023-05-07,61
2023-05-08,47
2023-05-09,50
2023-05-10,45
2023-05-11,43
2023-05-12,51
2023-05-13,63
2023-05-14,53
2023-05-15,44
2023-05-16,46
2023-05-17,41
2023-05-18,43
2023-05-19,49
2023-05-20,72
2023-05-21,47
2023-05-22,62
2023-05-23,47
2023-05-24,52
2023-05-25,31
2023-05-26,47
2023-05-27,62
2023-05-28,62
2023-05-29,71
2023-05-30,42
2023-05-31,48
2023-06-01,42
2023-06-02,42
2023-06-03,52
2023-06-04,58
2023-06-05,50
2023-06-06,56
2023-06-07,37
2023-06-08,42
2023-06-09,37
2023-06-10,62
2023-06-11,71
2023-06-12,57
2023-06-13,40
2023-06-14,57
2023-06-15,72
2023-06-16,55
2023-06-17,52
2023-06-18,53
2023-06-19,49
2023-06-20,54
2023-06-21,51
2023-06-22,44
2023-06-23,46
2023-06-24,61
2023-06-25,66
2023-06-26,48
2023-06-27,55
2023-06-28,46
2023-06-29,47
2023-06-30,52
2023-07-01,47
2023-07-02,71
2023-07-03,69
2023-07-04,66
2023-07-05,49
2023-07-06,61
2023-07-07,64
2023-07-08,51
2023-07-09,75
2023-07-10,56
2023-07-11,40
2023-07-12,75
2023-07-13,65
2023-07-14,76
2023-07-15,84
2023-07-16,79
2023-07-17,67
2023-07-18,59
2023-07-19,49
2023-07-20,42
2023-07-21,66
2023-07-22,56
2023-07-23,76
2023-07-24,49
2023-07-25,44
2023-07-26,46
2023-07-27,57
2023-07-28,61
2023-07-29,36
2023-07-30,69
2023-07-31,58
2023-08-01,50
2023-08-02,49
2023-08-03,56
2023-08-04,32
2023-08-05,60
2023-08-06,68
2023-08-07,55
2023-08-08,71
2023-08-09,50
2023-08-10,31
2023-08-11,79
2023-08-12,63
2023-08-13,68
2023-08-14,32
2023-08-15,48
2023-08-16,40
2023-08-17,51
2023-08-18,100
2023-08-19,66
2023-08-20,69
2023-08-21,52
2023-08-22,61
2023-08-23,54
2023-08-24,45
2023-08-25,53
2023-08-26,56
2023-08-27,57
2023-08-28,44
2023-08-29,49
2023-08-30,33
2023-08-31,37
2023-09-01,41
2023-09-02,49
2023-09-03,52
2023-09-04,46
2023-09-05,44
2023-09-06,37
2023-09-07,49
2023-09-08,42
2023-09-09,53
2023-09-10,56
2023-09-11,44
2023-09-12,52
2023-09-13,36
2023-09-14,41
2023-09-15,58
2023-09-16,74
2023-09-17,71
2023-09-18,45
2023-09-19,45
2023-09-20,45
2023-09-21,40
2023-09-22,43
2023-09-23,53
2023-09-24,59
2023-09-25,42
2023-09-26,37
2023-09-27,51
2023-09-28,47
2023-09-29,41
2023-09-30,50
2023-10-01,52
2023-10-02,43
2023-10-03,51
2023-10-04,50
2023-10-05,41
2023-10-06,53
2023-10-07,53
2023-10-08,78
2023-10-09,51
2023-10-10,47
2023-10-11,55
2023-10-12,58
2023-10-13,54
2023-10-14,64
2023-10-15,67
2023-10-16,44
2023-10-17,44
2023-10-18,44
2023-10-19,60
2023-10-20,42
2023-10-21,65
2023-10-22,72
2023-10-23,46
2023-10-24,49
2023-10-25,54
2023-10-26,49
2023-10-27,57
2023-10-28,49
2023-10-29,51
2023-10-30,40
2023-10-31,41
2023-11-01,37
2023-11-02,38
2023-11-03,40
2023-11-04,78
2023-11-05,60
2023-11-06,24
2023-11-07,38
2023-11-08,50
2023-11-09,64
2023-11-10,69
2023-11-11,57
2023-11-12,47
2023-11-13,29
2023-11-14,27
2023-11-15,46
2023-11-16,47
2023-11-17,50
2023-11-18,51
2023-11-19,53
2023-11-20,33
2023-11-21,55
2023-11-22,42
2023-11-23,95
2023-11-24,78
2023-11-25,84
2023-11-26,80
2023-11-27,65
2023-11-28,52
2023-11-29,63
2023-11-30,65
2023-12-01,59
2023-12-02,67
2023-12-03,66
2023-12-04,67
2023-12-05,48
2023-12-06,72
2023-12-07,71
2023-12-08,66
2023-12-09,95
2023-12-10,87
2023-12-11,43
2023-12-12,47
2023-12-13,50
2023-12-14,54
2023-12-15,52
2023-12-16,70
2023-12-17,56
2023-12-18,45
2023-12-19,43
2023-12-20,53
2023-12-21,57
2023-12-22,47
2023-12-23,48
2023-12-24,54
2023-12-25,54
2023-12-26,67
2023-12-27,48
2023-12-28,48
2023-12-29,58
2023-12-30,68
2023-12-31,59
2024-01-01,45
2024-01-02,50
2024-01-03,29
2024-01-04,58
2024-01-05,49
2024-01-06,50
2024-01-07,48
2024-01-08,47
2024-01-09,52
2024-01-10,46
2024-01-11,50
2024-01-12,36
2024-01-13,66
2024-01-14,68
2024-01-15,54
2024-01-16,36
2024-01-17,31
2024-01-18,64
2024-01-19,43
2024-01-20,73
