Time,dire wolf
2023-12-22,13
2023-12-23,13
2023-12-24,15
2023-12-25,14
2023-12-26,18
2023-12-27,13
2023-12-28,13
2023-12-29,15
2023-12-30,18
2023-12-31,16
2024-01-01,12
2024-01-02,14
2024-01-03,8
2024-01-04,16
2024-01-05,13
2024-01-06,13
2024-01-07,13
2024-01-08,13
2024-01-09,14
2024-01-10,12
2024-01-11,14
2024-01-12,10
2024-01-13,18
2024-01-14,18
2024-01-15,14
2024-01-16,10
2024-01-17,8
2024-01-18,17
2024-01-19,12
2024-01-20,20
2024-01-21,16
2024-01-22,13
2024-01-23,12
2024-01-24,12
2024-01-25,14
2024-01-26,13
2024-01-27,16
2024-01-28,17
2024-01-29,16
2024-01-30,12
2024-01-31,12
2024-02-01,14
2024-02-02,17
2024-02-03,11
2024-02-04,19
2024-02-05,15
2024-02-06,8
2024-02-07,11
2024-02-08,14
2024-02-09,16
2024-02-10,19
2024-02-11,16
2024-02-12,13
2024-02-13,13
2024-02-14,11
2024-02-15,15
2024-02-16,12
2024-02-17,13
2024-02-18,18
2024-02-19,14
2024-02-20,12
2024-02-21,13
2024-02-22,9
2024-02-23,11
2024-02-24,19
2024-02-25,15
2024-02-26,10
2024-02-27,8
2024-02-28,14
2024-02-29,13
2024-03-01,12
2024-03-02,10
2024-03-03,16
2024-03-04,10
2024-03-05,12
2024-03-06,7
2024-03-07,10
2024-03-08,11
2024-03-09,14
2024-03-10,10
2024-03-11,9
2024-03-12,14
2024-03-13,9
2024-03-14,8
2024-03-15,18
2024-03-16,18
2024-03-17,20
2024-03-18,17
2024-03-19,11
2024-03-20,13
2024-03-21,10
2024-03-22,8
2024-03-23,11
2024-03-24,21
2024-03-25,13
2024-03-26,17
2024-03-27,7
2024-03-28,13
2024-03-29,13
2024-03-30,17
2024-03-31,11
2024-04-01,9
2024-04-02,12
2024-04-03,11
2024-04-04,11
2024-04-05,6
2024-04-06,12
2024-04-07,17
2024-04-08,8
2024-04-09,12
2024-04-10,12
2024-04-11,14
2024-04-12,12
2024-04-13,12
2024-04-14,16
2024-04-15,19
2024-04-16,11
2024-04-17,11
2024-04-18,12
2024-04-19,11
2024-04-20,17
2024-04-21,13
2024-04-22,11
2024-04-23,11
2024-04-24,11
2024-04-25,12
2024-04-26,15
2024-04-27,15
2024-04-28,17
2024-04-29,11
2024-04-30,14
2024-05-01,17
2024-05-02,18
2024-05-03,12
2024-05-04,15
2024-05-05,11
2024-05-06,8
2024-05-07,10
2024-05-08,84
2024-05-09,45
2024-05-10,25
2024-05-11,25
2024-05-12,25
2024-05-13,19
2024-05-14,15
2024-05-15,100
2024-05-16,53
2024-05-17,31
2024-05-18,29
2024-05-19,25
2024-05-20,13
2024-05-21,29
2024-05-22,37
2024-05-23,21
2024-05-24,16
2024-05-25,14
2024-05-26,22
2024-05-27,20
2024-05-28,15
2024-05-29,11
2024-05-30,18
2024-05-31,16
2024-06-01,19
2024-06-02,21
2024-06-03,15
2024-06-04,18
2024-06-05,25
2024-06-06,25
2024-06-07,22
2024-06-08,20
2024-06-09,15
2024-06-10,14
2024-06-11,22
2024-06-12,22
2024-06-13,19
2024-06-14,11
2024-06-15,23
2024-06-16,21
2024-06-17,12
2024-06-18,14
2024-06-19,20
2024-06-20,15
2024-06-21,17
2024-06-22,15
2024-06-23,24
2024-06-24,15
2024-06-25,16
2024-06-26,18
2024-06-27,13
2024-06-28,13
2024-06-29,17
2024-06-30,20
2024-07-01,10
2024-07-02,12
2024-07-03,13
2024-07-04,21
2024-07-05,17
2024-07-06,18
2024-07-07,22
2024-07-08,15
2024-07-09,10
2024-07-10,14
2024-07-11,12
2024-07-12,13
2024-07-13,13
2024-07-14,18
2024-07-15,15
2024-07-16,15
2024-07-17,11
2024-07-18,9
2024-07-19,10
2024-07-20,14
2024-07-21,20
2024-07-22,10
2024-07-23,13
2024-07-24,16
2024-07-25,13
2024-07-26,12
2024-07-27,13
2024-07-28,14
2024-07-29,15
2024-07-30,10
2024-07-31,10
2024-08-01,13
2024-08-02,12
2024-08-03,15
2024-08-04,18
2024-08-05,19
2024-08-06,13
2024-08-07,15
2024-08-08,12
2024-08-09,13
2024-08-10,16
2024-08-11,16
2024-08-12,16
2024-08-13,29
2024-08-14,25
2024-08-15,25
2024-08-16,21
2024-08-17,16
2024-08-18,16
2024-08-19,19
2024-08-20,18
2024-08-21,10
2024-08-22,14
2024-08-23,11
2024-08-24,18
2024-08-25,20
2024-08-26,14
2024-08-27,10
2024-08-28,11
2024-08-29,10
2024-08-30,9
2024-08-31,20
2024-09-01,19
2024-09-02,17
2024-09-03,10
2024-09-04,14
2024-09-05,17
2024-09-06,12
2024-09-07,11
2024-09-08,17
2024-09-09,11
2024-09-10,12
2024-09-11,9
2024-09-12,13
2024-09-13,15
2024-09-14,16
2024-09-15,13
2024-09-16,18
