Time,chick fil a
2022-08-29,40
2022-08-30,53
2022-08-31,51
2022-09-01,58
2022-09-02,61
2022-09-03,71
2022-09-04,30
2022-09-05,100
2022-09-06,50
2022-09-07,48
2022-09-08,49
2022-09-09,57
2022-09-10,73
2022-09-11,27
2022-09-12,48
2022-09-13,57
2022-09-14,57
2022-09-15,62
2022-09-16,65
2022-09-17,74
2022-09-18,29
2022-09-19,42
2022-09-20,50
2022-09-21,52
2022-09-22,52
2022-09-23,58
2022-09-24,72
2022-09-25,29
2022-09-26,40
2022-09-27,48
2022-09-28,52
2022-09-29,55
2022-09-30,56
2022-10-01,67
2022-10-02,27
2022-10-03,39
2022-10-04,44
2022-10-05,52
2022-10-06,53
2022-10-07,63
2022-10-08,71
2022-10-09,26
2022-10-10,45
2022-10-11,47
2022-10-12,49
2022-10-13,53
2022-10-14,57
2022-10-15,68
2022-10-16,28
2022-10-17,40
2022-10-18,46
2022-10-19,48
2022-10-20,55
2022-10-21,59
2022-10-22,72
2022-10-23,28
2022-10-24,37
2022-10-25,47
2022-10-26,48
2022-10-27,53
2022-10-28,56
2022-10-29,71
2022-10-30,27
2022-10-31,38
2022-11-01,47
2022-11-02,49
2022-11-03,49
2022-11-04,55
2022-11-05,66
2022-11-06,26
2022-11-07,37
2022-11-08,51
2022-11-09,45
2022-11-10,54
2022-11-11,70
2022-11-12,68
2022-11-13,30
2022-11-14,39
2022-11-15,51
2022-11-16,48
2022-11-17,52
2022-11-18,59
2022-11-19,72
2022-11-20,30
2022-11-21,40
2022-11-22,53
2022-11-23,65
2022-11-24,50
2022-11-25,51
2022-11-26,58
2022-11-27,27
2022-11-28,34
2022-11-29,45
2022-11-30,44
2022-12-01,53
2022-12-02,52
2022-12-03,66
2022-12-04,31
2022-12-05,35
2022-12-06,46
2022-12-07,48
2022-12-08,51
2022-12-09,56
2022-12-10,68
2022-12-11,32
2022-12-12,38
2022-12-13,48
2022-12-14,52
2022-12-15,54
2022-12-16,60
2022-12-17,73
2022-12-18,32
2022-12-19,45
2022-12-20,62
2022-12-21,63
2022-12-22,62
2022-12-23,62
2022-12-24,91
2022-12-25,29
2022-12-26,70
2022-12-27,63
2022-12-28,59
2022-12-29,64
2022-12-30,66
2022-12-31,81
2023-01-01,48
2023-01-02,59
2023-01-03,48
2023-01-04,48
2023-01-05,52
2023-01-06,56
2023-01-07,71
2023-01-08,33
2023-01-09,36
2023-01-10,47
2023-01-11,48
2023-01-12,50
2023-01-13,54
2023-01-14,66
2023-01-15,29
2023-01-16,56
2023-01-17,47
2023-01-18,46
2023-01-19,49
2023-01-20,53
2023-01-21,64
2023-01-22,29
2023-01-23,37
2023-01-24,47
2023-01-25,48
2023-01-26,49
2023-01-27,56
2023-01-28,67
2023-01-29,31
2023-01-30,34
2023-01-31,48
2023-02-01,50
2023-02-02,53
2023-02-03,59
2023-02-04,70
2023-02-05,33
2023-02-06,39
2023-02-07,52
2023-02-08,57
2023-02-09,63
2023-02-10,76
2023-02-11,92
2023-02-12,35
2023-02-13,45
2023-02-14,81
2023-02-15,62
2023-02-16,52
2023-02-17,62
2023-02-18,77
2023-02-19,32
2023-02-20,52
2023-02-21,49
2023-02-22,50
2023-02-23,53
2023-02-24,58
2023-02-25,69
2023-02-26,32
2023-02-27,39
2023-02-28,44
2023-03-01,47
2023-03-02,51
2023-03-03,53
2023-03-04,70
2023-03-05,29
2023-03-06,35
2023-03-07,48
2023-03-08,51
2023-03-09,51
2023-03-10,55
2023-03-11,65
2023-03-12,30
2023-03-13,42
2023-03-14,51
2023-03-15,50
2023-03-16,56
2023-03-17,58
2023-03-18,66
2023-03-19,29
2023-03-20,40
2023-03-21,52
2023-03-22,50
2023-03-23,55
2023-03-24,60
2023-03-25,69
2023-03-26,31
2023-03-27,40
2023-03-28,48
2023-03-29,49
2023-03-30,53
2023-03-31,58
2023-04-01,69
2023-04-02,31
2023-04-03,43
2023-04-04,51
2023-04-05,53
2023-04-06,60
2023-04-07,72
2023-04-08,67
2023-04-09,25
2023-04-10,44
2023-04-11,49
2023-04-12,50
2023-04-13,57
2023-04-14,57
2023-04-15,70
2023-04-16,32
2023-04-17,41
2023-04-18,49
2023-04-19,50
2023-04-20,50
2023-04-21,57
2023-04-22,70
2023-04-23,27
2023-04-24,38
2023-04-25,51
2023-04-26,52
2023-04-27,53
2023-04-28,56
2023-04-29,69
2023-04-30,28
2023-05-01,42
2023-05-02,51
2023-05-03,52
2023-05-04,54
2023-05-05,54
2023-05-06,71
2023-05-07,31
2023-05-08,44
2023-05-09,49
2023-05-10,53
2023-05-11,54
2023-05-12,58
2023-05-13,68
2023-05-14,28
2023-05-15,41
2023-05-16,51
2023-05-17,52
2023-05-18,58
2023-05-19,62
2023-05-20,73
2023-05-21,30
2023-05-22,42
2023-05-23,50
2023-05-24,54
2023-05-25,57
