Time,chick fil a
2023-12-22,64
2023-12-23,71
2023-12-24,40
2023-12-25,35
2023-12-26,55
2023-12-27,58
2023-12-28,58
2023-12-29,62
2023-12-30,69
2023-12-31,33
2024-01-01,97
2024-01-02,60
2024-01-03,51
2024-01-04,51
2024-01-05,52
2024-01-06,58
2024-01-07,29
2024-01-08,31
2024-01-09,42
2024-01-10,45
2024-01-11,46
2024-01-12,50
2024-01-13,57
2024-01-14,26
2024-01-15,46
2024-01-16,40
2024-01-17,43
2024-01-18,44
2024-01-19,48
2024-01-20,60
2024-01-21,26
2024-01-22,32
2024-01-23,43
2024-01-24,47
2024-01-25,47
2024-01-26,53
2024-01-27,57
2024-01-28,27
2024-01-29,32
2024-01-30,46
2024-01-31,48
2024-02-01,51
2024-02-02,55
2024-02-03,68
2024-02-04,33
2024-02-05,36
2024-02-06,47
2024-02-07,48
2024-02-08,49
2024-02-09,57
2024-02-10,69
2024-02-11,32
2024-02-12,31
2024-02-13,51
2024-02-14,69
2024-02-15,53
2024-02-16,58
2024-02-17,63
2024-02-18,29
2024-02-19,48
2024-02-20,43
2024-02-21,43
2024-02-22,48
2024-02-23,51
2024-02-24,63
2024-02-25,29
2024-02-26,31
2024-02-27,43
2024-02-28,47
2024-02-29,48
2024-03-01,54
2024-03-02,66
2024-03-03,31
2024-03-04,35
2024-03-05,48
2024-03-06,47
2024-03-07,49
2024-03-08,53
2024-03-09,64
2024-03-10,33
2024-03-11,39
2024-03-12,48
2024-03-13,51
2024-03-14,48
2024-03-15,54
2024-03-16,61
2024-03-17,28
2024-03-18,37
2024-03-19,46
2024-03-20,49
2024-03-21,48
2024-03-22,53
2024-03-23,68
2024-03-24,40
2024-03-25,55
2024-03-26,53
2024-03-27,57
2024-03-28,56
2024-03-29,63
2024-03-30,64
2024-03-31,29
2024-04-01,47
2024-04-02,46
2024-04-03,47
2024-04-04,50
2024-04-05,57
2024-04-06,68
2024-04-07,29
2024-04-08,43
2024-04-09,52
2024-04-10,53
2024-04-11,54
2024-04-12,58
2024-04-13,71
2024-04-14,31
2024-04-15,45
2024-04-16,53
2024-04-17,60
2024-04-18,55
2024-04-19,63
2024-04-20,75
2024-04-21,34
2024-04-22,42
2024-04-23,53
2024-04-24,52
2024-04-25,54
2024-04-26,59
2024-04-27,72
2024-04-28,32
2024-04-29,41
2024-04-30,49
2024-05-01,48
2024-05-02,51
2024-05-03,56
2024-05-04,65
2024-05-05,31
2024-05-06,45
2024-05-07,56
2024-05-08,53
2024-05-09,54
2024-05-10,58
2024-05-11,64
2024-05-12,30
2024-05-13,37
2024-05-14,51
2024-05-15,50
2024-05-16,54
2024-05-17,58
2024-05-18,68
2024-05-19,31
2024-05-20,41
2024-05-21,52
2024-05-22,54
2024-05-23,52
2024-05-24,62
2024-05-25,68
2024-05-26,32
2024-05-27,91
2024-05-28,52
2024-05-29,52
2024-05-30,53
2024-05-31,61
2024-06-01,67
2024-06-02,30
2024-06-03,40
2024-06-04,51
2024-06-05,49
2024-06-06,52
2024-06-07,56
2024-06-08,67
2024-06-09,29
2024-06-10,44
2024-06-11,52
2024-06-12,51
2024-06-13,56
2024-06-14,60
2024-06-15,61
2024-06-16,32
2024-06-17,42
2024-06-18,53
2024-06-19,67
2024-06-20,52
2024-06-21,61
2024-06-22,65
2024-06-23,29
2024-06-24,43
2024-06-25,53
2024-06-26,54
2024-06-27,58
2024-06-28,59
2024-06-29,67
2024-06-30,29
2024-07-01,44
2024-07-02,51
2024-07-03,63
2024-07-04,100
2024-07-05,56
2024-07-06,60
2024-07-07,28
2024-07-08,44
2024-07-09,52
2024-07-10,56
2024-07-11,58
2024-07-12,59
2024-07-13,66
2024-07-14,28
2024-07-15,41
2024-07-16,53
2024-07-17,51
2024-07-18,55
2024-07-19,59
2024-07-20,63
2024-07-21,30
2024-07-22,60
2024-07-23,61
2024-07-24,74
2024-07-25,71
2024-07-26,66
2024-07-27,69
2024-07-28,32
2024-07-29,46
2024-07-30,53
2024-07-31,52
2024-08-01,53
2024-08-02,57
2024-08-03,61
2024-08-04,30
2024-08-05,40
2024-08-06,47
2024-08-07,50
2024-08-08,51
2024-08-09,55
2024-08-10,60
2024-08-11,28
2024-08-12,41
2024-08-13,54
2024-08-14,57
2024-08-15,55
2024-08-16,59
2024-08-17,67
2024-08-18,27
2024-08-19,42
2024-08-20,53
2024-08-21,51
2024-08-22,56
2024-08-23,61
2024-08-24,65
2024-08-25,29
2024-08-26,50
2024-08-27,53
2024-08-28,54
2024-08-29,53
2024-08-30,58
2024-08-31,65
2024-09-01,31
2024-09-02,94
2024-09-03,46
2024-09-04,47
2024-09-05,51
2024-09-06,51
2024-09-07,66
2024-09-08,28
2024-09-09,35
2024-09-10,45
2024-09-11,46
2024-09-12,50
2024-09-13,54
2024-09-14,68
2024-09-15,27
2024-09-16,35
