Time,ice cream near me
2023-04-26,27
2023-04-27,27
2023-04-28,31
2023-04-29,58
2023-04-30,58
2023-05-01,30
2023-05-02,23
2023-05-03,23
2023-05-04,27
2023-05-05,32
2023-05-06,65
2023-05-07,81
2023-05-08,38
2023-05-09,30
2023-05-10,34
2023-05-11,37
2023-05-12,39
2023-05-13,69
2023-05-14,84
2023-05-15,42
2023-05-16,35
2023-05-17,32
2023-05-18,36
2023-05-19,41
2023-05-20,67
2023-05-21,77
2023-05-22,42
2023-05-23,36
2023-05-24,33
2023-05-25,36
2023-05-26,47
2023-05-27,81
2023-05-28,100
2023-05-29,96
2023-05-30,46
2023-05-31,42
2023-06-01,45
2023-06-02,50
2023-06-03,72
2023-06-04,83
2023-06-05,47
2023-06-06,41
2023-06-07,40
2023-06-08,37
2023-06-09,48
2023-06-10,69
2023-06-11,81
2023-06-12,49
2023-06-13,40
2023-06-14,43
2023-06-15,46
2023-06-16,51
2023-06-17,74
2023-06-18,93
2023-06-19,63
2023-06-20,49
2023-06-21,48
2023-06-22,45
2023-06-23,51
2023-06-24,79
2023-06-25,90
2023-06-26,54
2023-06-27,47
2023-06-28,45
2023-06-29,49
2023-06-30,52
2023-07-01,76
2023-07-02,89
2023-07-03,74
2023-07-04,86
2023-07-05,66
2023-07-06,53
2023-07-07,62
2023-07-08,81
2023-07-09,84
2023-07-10,51
2023-07-11,47
2023-07-12,46
2023-07-13,46
2023-07-14,55
2023-07-15,77
2023-07-16,91
2023-07-17,58
2023-07-18,45
2023-07-19,48
2023-07-20,47
2023-07-21,53
2023-07-22,73
2023-07-23,83
2023-07-24,53
2023-07-25,46
2023-07-26,47
2023-07-27,46
2023-07-28,52
2023-07-29,89
2023-07-30,81
2023-07-31,49
2023-08-01,43
2023-08-02,41
2023-08-03,43
2023-08-04,44
2023-08-05,70
2023-08-06,72
2023-08-07,46
2023-08-08,38
2023-08-09,41
2023-08-10,36
2023-08-11,43
2023-08-12,63
2023-08-13,80
2023-08-14,42
2023-08-15,34
2023-08-16,35
2023-08-17,34
2023-08-18,40
2023-08-19,63
2023-08-20,71
2023-08-21,37
2023-08-22,33
2023-08-23,34
2023-08-24,29
2023-08-25,33
2023-08-26,56
2023-08-27,67
2023-08-28,32
2023-08-29,26
2023-08-30,25
2023-08-31,26
2023-09-01,33
2023-09-02,60
2023-09-03,77
2023-09-04,71
2023-09-05,30
2023-09-06,23
2023-09-07,24
2023-09-08,26
2023-09-09,49
2023-09-10,49
2023-09-11,24
2023-09-12,20
2023-09-13,20
2023-09-14,22
2023-09-15,23
2023-09-16,46
2023-09-17,48
2023-09-18,24
2023-09-19,20
2023-09-20,21
2023-09-21,21
2023-09-22,26
2023-09-23,42
2023-09-24,46
2023-09-25,23
2023-09-26,19
2023-09-27,17
2023-09-28,19
2023-09-29,23
2023-09-30,42
2023-10-01,49
2023-10-02,23
2023-10-03,19
2023-10-04,21
2023-10-05,21
2023-10-06,24
2023-10-07,38
2023-10-08,42
2023-10-09,25
2023-10-10,18
2023-10-11,17
2023-10-12,17
2023-10-13,21
2023-10-14,34
2023-10-15,35
2023-10-16,18
2023-10-17,16
2023-10-18,16
2023-10-19,16
2023-10-20,21
2023-10-21,35
2023-10-22,38
2023-10-23,17
2023-10-24,16
2023-10-25,14
2023-10-26,17
2023-10-27,20
2023-10-28,34
2023-10-29,29
2023-10-30,15
2023-10-31,11
2023-11-01,11
2023-11-02,12
2023-11-03,16
2023-11-04,30
2023-11-05,32
2023-11-06,15
2023-11-07,15
2023-11-08,13
2023-11-09,15
2023-11-10,19
2023-11-11,29
2023-11-12,30
2023-11-13,15
2023-11-14,13
2023-11-15,12
2023-11-16,13
2023-11-17,15
2023-11-18,26
2023-11-19,29
2023-11-20,18
2023-11-21,15
2023-11-22,18
2023-11-23,21
2023-11-24,20
2023-11-25,24
2023-11-26,23
2023-11-27,12
2023-11-28,10
2023-11-29,9
2023-11-30,12
2023-12-01,12
2023-12-02,23
2023-12-03,25
2023-12-04,14
2023-12-05,11
2023-12-06,11
2023-12-07,11
2023-12-08,14
2023-12-09,28
2023-12-10,26
2023-12-11,14
2023-12-12,12
2023-12-13,13
2023-12-14,11
2023-12-15,14
2023-12-16,22
2023-12-17,24
2023-12-18,14
2023-12-19,12
2023-12-20,14
2023-12-21,15
2023-12-22,18
2023-12-23,22
2023-12-24,21
2023-12-25,22
2023-12-26,20
2023-12-27,23
2023-12-28,20
2023-12-29,24
2023-12-30,28
2023-12-31,28
2024-01-01,29
2024-01-02,20
2024-01-03,16
2024-01-04,16
2024-01-05,16
2024-01-06,25
2024-01-07,25
2024-01-08,15
2024-01-09,11
2024-01-10,12
2024-01-11,12
2024-01-12,15
2024-01-13,24
2024-01-14,24
2024-01-15,19
2024-01-16,11
2024-01-17,11
2024-01-18,11
2024-01-19,13
2024-01-20,20
