Time,wordle today
2022-08-29,75
2022-08-30,77
2022-08-31,76
2022-09-01,89
2022-09-02,77
2022-09-03,84
2022-09-04,82
2022-09-05,88
2022-09-06,81
2022-09-07,83
2022-09-08,66
2022-09-09,63
2022-09-10,76
2022-09-11,92
2022-09-12,93
2022-09-13,95
2022-09-14,68
2022-09-15,64
2022-09-16,100
2022-09-17,75
2022-09-18,58
2022-09-19,70
2022-09-20,66
2022-09-21,70
2022-09-22,60
2022-09-23,64
2022-09-24,57
2022-09-25,76
2022-09-26,57
2022-09-27,58
2022-09-28,76
2022-09-29,61
2022-09-30,58
2022-10-01,58
2022-10-02,57
2022-10-03,51
2022-10-04,59
2022-10-05,57
2022-10-06,52
2022-10-07,69
2022-10-08,77
2022-10-09,71
2022-10-10,72
2022-10-11,65
2022-10-12,84
2022-10-13,87
2022-10-14,66
2022-10-15,74
2022-10-16,57
2022-10-17,61
2022-10-18,62
2022-10-19,74
2022-10-20,72
2022-10-21,63
2022-10-22,62
2022-10-23,79
2022-10-24,56
2022-10-25,58
2022-10-26,57
2022-10-27,61
2022-10-28,55
2022-10-29,69
2022-10-30,92
2022-10-31,83
2022-11-01,66
2022-11-02,64
2022-11-03,57
2022-11-04,54
2022-11-05,54
2022-11-06,52
2022-11-07,59
2022-11-08,55
2022-11-09,47
2022-11-10,52
2022-11-11,53
2022-11-12,57
2022-11-13,81
2022-11-14,58
2022-11-15,52
2022-11-16,59
2022-11-17,51
2022-11-18,79
2022-11-19,67
2022-11-20,57
2022-11-21,73
2022-11-22,58
2022-11-23,49
2022-11-24,48
2022-11-25,65
2022-11-26,51
2022-11-27,53
2022-11-28,45
2022-11-29,58
2022-11-30,44
2022-12-01,63
2022-12-02,56
2022-12-03,49
2022-12-04,52
2022-12-05,52
2022-12-06,55
2022-12-07,49
2022-12-08,50
2022-12-09,47
2022-12-10,63
2022-12-11,62
2022-12-12,52
2022-12-13,42
2022-12-14,63
2022-12-15,57
2022-12-16,45
2022-12-17,49
2022-12-18,50
2022-12-19,44
2022-12-20,50
2022-12-21,52
2022-12-22,65
2022-12-23,64
2022-12-24,54
2022-12-25,61
2022-12-26,71
2022-12-27,59
2022-12-28,63
2022-12-29,68
2022-12-30,54
2022-12-31,53
2023-01-01,54
2023-01-02,47
2023-01-03,46
2023-01-04,50
2023-01-05,47
2023-01-06,72
2023-01-07,59
2023-01-08,61
2023-01-09,72
2023-01-10,57
2023-01-11,49
2023-01-12,48
2023-01-13,52
2023-01-14,66
2023-01-15,52
2023-01-16,50
2023-01-17,49
2023-01-18,45
2023-01-19,47
2023-01-20,44
2023-01-21,53
2023-01-22,56
2023-01-23,55
2023-01-24,43
2023-01-25,55
2023-01-26,62
2023-01-27,53
2023-01-28,46
2023-01-29,52
2023-01-30,47
2023-01-31,51
2023-02-01,42
2023-02-02,46
2023-02-03,49
2023-02-04,53
2023-02-05,54
2023-02-06,50
2023-02-07,48
2023-02-08,54
2023-02-09,47
2023-02-10,47
2023-02-11,63
2023-02-12,58
2023-02-13,51
2023-02-14,47
2023-02-15,55
2023-02-16,52
2023-02-17,62
2023-02-18,64
2023-02-19,74
2023-02-20,49
2023-02-21,50
2023-02-22,57
2023-02-23,55
2023-02-24,53
2023-02-25,59
2023-02-26,54
2023-02-27,46
2023-02-28,51
2023-03-01,55
2023-03-02,53
2023-03-03,53
2023-03-04,51
2023-03-05,54
2023-03-06,45
2023-03-07,43
2023-03-08,46
2023-03-09,49
2023-03-10,50
2023-03-11,59
2023-03-12,50
2023-03-13,42
2023-03-14,43
2023-03-15,42
2023-03-16,46
2023-03-17,46
2023-03-18,58
2023-03-19,56
2023-03-20,47
2023-03-21,43
2023-03-22,51
2023-03-23,54
2023-03-24,45
2023-03-25,48
2023-03-26,50
2023-03-27,73
2023-03-28,50
2023-03-29,51
2023-03-30,44
2023-03-31,50
2023-04-01,51
2023-04-02,46
2023-04-03,46
2023-04-04,47
2023-04-05,49
2023-04-06,56
2023-04-07,49
2023-04-08,60
2023-04-09,65
2023-04-10,46
2023-04-11,62
2023-04-12,66
2023-04-13,54
2023-04-14,52
2023-04-15,57
2023-04-16,72
2023-04-17,56
2023-04-18,50
2023-04-19,46
2023-04-20,42
2023-04-21,67
2023-04-22,57
2023-04-23,58
2023-04-24,50
2023-04-25,55
2023-04-26,50
2023-04-27,48
2023-04-28,58
2023-04-29,55
2023-04-30,54
2023-05-01,46
2023-05-02,45
2023-05-03,45
2023-05-04,45
2023-05-05,48
2023-05-06,54
2023-05-07,52
2023-05-08,54
2023-05-09,64
2023-05-10,57
2023-05-11,48
2023-05-12,43
2023-05-13,52
2023-05-14,50
2023-05-15,48
2023-05-16,51
2023-05-17,42
2023-05-18,42
2023-05-19,44
2023-05-20,45
2023-05-21,47
2023-05-22,52
2023-05-23,47
2023-05-24,46
2023-05-25,48
