Time,college basketball scores
2025-04-15,2
2025-04-16,4
2025-04-17,3
2025-04-18,0
2025-04-19,3
2025-04-20,6
2025-04-21,0
2025-04-22,0
2025-04-23,0
2025-04-24,0
2025-04-25,0
2025-04-26,0
2025-04-27,0
2025-04-28,0
2025-04-29,2
2025-04-30,0
2025-05-01,0
2025-05-02,0
2025-05-03,4
2025-05-04,0
2025-05-05,4
2025-05-06,0
2025-05-07,0
2025-05-08,3
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,0
2025-05-13,0
2025-05-14,0
2025-05-15,0
2025-05-16,0
2025-05-17,0
2025-05-18,0
2025-05-19,0
2025-05-20,0
2025-05-21,0
2025-05-22,3
2025-05-23,0
2025-05-24,4
2025-05-25,0
2025-05-26,0
2025-05-27,0
2025-05-28,0
2025-05-29,0
2025-05-30,4
2025-05-31,3
2025-06-01,4
2025-06-02,4
2025-06-03,0
2025-06-04,0
2025-06-05,3
2025-06-06,3
2025-06-07,3
2025-06-08,3
2025-06-09,2
2025-06-10,0
2025-06-11,0
2025-06-12,0
2025-06-13,0
2025-06-14,3
2025-06-15,0
2025-06-16,0
2025-06-17,0
2025-06-18,0
2025-06-19,0
2025-06-20,0
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0
2025-06-25,0
2025-06-26,3
2025-06-27,0
2025-06-28,0
2025-06-29,0
2025-06-30,0
2025-07-01,0
2025-07-02,0
2025-07-03,0
2025-07-04,0
2025-07-05,0
2025-07-06,0
2025-07-07,0
2025-07-08,0
2025-07-09,0
2025-07-10,0
2025-07-11,0
2025-07-12,0
2025-07-13,0
2025-07-14,0
2025-07-15,0
2025-07-16,0
2025-07-17,0
2025-07-18,0
2025-07-19,0
2025-07-20,0
2025-07-21,0
2025-07-22,0
2025-07-23,0
2025-07-24,0
2025-07-25,0
2025-07-26,0
2025-07-27,0
2025-07-28,0
2025-07-29,0
2025-07-30,0
2025-07-31,0
2025-08-01,0
2025-08-02,0
2025-08-03,0
2025-08-04,0
2025-08-05,0
2025-08-06,0
2025-08-07,0
2025-08-08,0
2025-08-09,0
2025-08-10,4
2025-08-11,0
2025-08-12,0
2025-08-13,0
2025-08-14,0
2025-08-15,0
2025-08-16,0
2025-08-17,0
2025-08-18,0
2025-08-19,0
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,0
2025-08-24,0
2025-08-25,0
2025-08-26,0
2025-08-27,0
2025-08-28,0
2025-08-29,0
2025-08-30,5
2025-08-31,5
2025-09-01,3
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,0
2025-09-06,0
2025-09-07,5
2025-09-08,0
2025-09-09,0
2025-09-10,0
2025-09-11,0
2025-09-12,0
2025-09-13,4
2025-09-14,5
2025-09-15,0
2025-09-16,0
2025-09-17,0
2025-09-18,0
2025-09-19,0
2025-09-20,6
2025-09-21,5
2025-09-22,0
2025-09-23,0
2025-09-24,0
2025-09-25,0
2025-09-26,0
2025-09-27,5
2025-09-28,0
2025-09-29,0
2025-09-30,0
2025-10-01,0
2025-10-02,2
2025-10-03,0
2025-10-04,4
2025-10-05,0
2025-10-06,0
2025-10-07,0
2025-10-08,0
2025-10-09,0
2025-10-10,0
2025-10-11,4
2025-10-12,3
2025-10-13,0
2025-10-14,4
2025-10-15,0
2025-10-16,0
2025-10-17,0
2025-10-18,7
2025-10-19,5
2025-10-20,3
2025-10-21,0
2025-10-22,2
2025-10-23,0
2025-10-24,4
2025-10-25,15
2025-10-26,11
2025-10-27,4
2025-10-28,3
2025-10-29,3
2025-10-30,5
2025-10-31,4
2025-11-01,9
2025-11-02,8
2025-11-03,17
2025-11-04,60
2025-11-05,43
2025-11-06,24
2025-11-07,38
2025-11-08,85
2025-11-09,58
2025-11-10,19
2025-11-11,33
2025-11-12,54
2025-11-13,38
2025-11-14,42
2025-11-15,77
2025-11-16,65
2025-11-17,26
2025-11-18,33
2025-11-19,57
2025-11-20,49
2025-11-21,52
2025-11-22,72
2025-11-23,53
2025-11-24,37
2025-11-25,61
2025-11-26,85
2025-11-27,83
2025-11-28,74
2025-11-29,70
2025-11-30,49
2025-12-01,22
2025-12-02,28
2025-12-03,75
2025-12-04,53
2025-12-05,35
2025-12-06,100
2025-12-07,80
2025-12-08,27
2025-12-09,29
2025-12-10,55
2025-12-11,42
2025-12-12,36
2025-12-13,89
2025-12-14,79
2025-12-15,22
2025-12-16,29
2025-12-17,48
2025-12-18,43
2025-12-19,41
2025-12-20,87
2025-12-21,75
2025-12-22,37
2025-12-23,39
2025-12-24,32
2025-12-25,21
2025-12-26,22
2025-12-27,26
2025-12-28,29
2025-12-29,26
2025-12-30,37
2025-12-31,53
2026-01-01,42
2026-01-02,38
2026-01-03,88
2026-01-04,55
2026-01-05,24
2026-01-06,33
2026-01-07,52
2026-01-08,46
2026-01-09,40
