Time,expedia
2022-01-01,55.0
2022-01-02,60.0
2022-01-03,65.0
2022-01-04,69.0
2022-01-05,73.0
2022-01-06,55.0
2022-01-07,63.0
2022-01-08,58.0
2022-01-09,62.0
2022-01-10,61.0
2022-01-11,67.0
2022-01-12,64.0
2022-01-13,56.0
2022-01-14,54.0
2022-01-15,59.0
2022-01-16,57.0
2022-01-17,58.0
2022-01-18,59.0
2022-01-19,63.0
2022-01-20,56.0
2022-01-21,58.0
2022-01-22,58.0
2022-01-23,61.0
2022-01-24,75.0
2022-01-25,56.0
2022-01-26,58.0
2022-01-27,62.0
2022-01-28,72.0
2022-01-29,63.0
2022-01-30,63.0
2022-01-31,62.0
2022-02-01,64.0
2022-02-02,69.0
2022-02-03,63.0
2022-02-04,68.0
2022-02-05,71.0
2022-02-06,69.0
2022-02-07,72.0
2022-02-08,83.0
2022-02-09,74.0
2022-02-10,63.0
2022-02-11,76.0
2022-02-12,69.0
2022-02-13,66.0
2022-02-14,66.0
2022-02-15,83.0
2022-02-16,94.0
2022-02-17,82.0
2022-02-18,90.0
2022-02-19,81.0
2022-02-20,81.0
2022-02-21,87.0
2022-02-22,93.0
2022-02-23,97.0
2022-02-24,82.0
2022-02-25,82.0
2022-02-26,73.0
2022-02-27,71.0
2022-02-28,84.0
2022-03-01,91.0
2022-03-02,92.0
2022-03-03,91.0
2022-03-04,83.0
2022-03-05,77.0
2022-03-06,82.0
2022-03-07,89.0
2022-03-08,100.0
2022-03-09,96.0
2022-03-10,94.0
2022-03-11,84.0
2022-03-12,85.0
2022-03-13,92.0
2022-03-14,94.0
2022-03-15,90.0
2022-03-16,91.0
2022-03-17,79.0
2022-03-18,75.0
2022-03-19,79.0
2022-03-20,75.0
2022-03-21,85.0
2022-03-22,89.0
2022-03-23,88.0
2022-03-24,80.0
2022-03-25,72.0
2022-03-26,72.0
2022-03-27,73.0
2022-03-28,77.0
2022-03-29,80.0
2022-03-30,81.0
2022-03-31,78.0
2022-04-01,74.0
2022-04-02,80.0
2022-04-03,90.0
2022-04-04,82.0
2022-04-05,87.0
2022-04-06,85.0
2022-04-07,80.0
2022-04-08,79.0
2022-04-09,70.0
2022-04-10,77.0
2022-04-11,72.0
2022-04-12,78.0
2022-04-13,73.0
2022-04-14,74.0
2022-04-15,70.0
2022-04-16,65.0
2022-04-17,64.0
2022-04-18,81.0
2022-04-19,83.0
2022-04-20,82.0
2022-04-21,81.0
2022-04-22,74.0
2022-04-23,64.0
2022-04-24,70.0
2022-04-25,72.0
2022-04-26,83.0
2022-04-27,82.0
2022-04-28,77.0
2022-04-29,71.0
2022-04-30,60.0
2022-05-01,69.0
2022-05-02,80.0
2022-05-03,84.0
2022-05-04,92.0
2022-05-05,80.0
2022-05-06,62.0
2022-05-07,64.0
2022-05-08,61.0
2022-05-09,74.0
2022-05-10,79.0
2022-05-11,78.0
2022-05-12,75.0
2022-05-13,68.0
2022-05-14,64.0
2022-05-15,69.0
2022-05-16,71.0
2022-05-17,79.0
2022-05-18,73.0
2022-05-19,78.0
2022-05-20,73.0
2022-05-21,69.0
2022-05-22,69.0
2022-05-23,80.0
2022-05-24,80.0
2022-05-25,70.0
2022-05-26,70.0
2022-05-27,65.0
2022-05-28,68.0
2022-05-29,64.0
2022-05-30,67.0
2022-05-31,70.0
2022-06-01,76.0
2022-06-02,75.0
2022-06-03,64.0
2022-06-04,66.0
2022-06-05,69.0
2022-06-06,77.0
2022-06-07,81.0
2022-06-08,83.0
2022-06-09,76.0
2022-06-10,65.0
