Time,ixl
2023-04-26,62
2023-04-27,64
2023-04-28,58
2023-04-29,8
2023-04-30,10
2023-05-01,62
2023-05-02,56
2023-05-03,65
2023-05-04,62
2023-05-05,51
2023-05-06,7
2023-05-07,8
2023-05-08,63
2023-05-09,58
2023-05-10,57
2023-05-11,53
2023-05-12,47
2023-05-13,7
2023-05-14,7
2023-05-15,55
2023-05-16,51
2023-05-17,51
2023-05-18,48
2023-05-19,39
2023-05-20,6
2023-05-21,7
2023-05-22,42
2023-05-23,37
2023-05-24,36
2023-05-25,32
2023-05-26,23
2023-05-27,6
2023-05-28,5
2023-05-29,6
2023-05-30,29
2023-05-31,28
2023-06-01,26
2023-06-02,20
2023-06-03,5
2023-06-04,6
2023-06-05,23
2023-06-06,22
2023-06-07,20
2023-06-08,18
2023-06-09,13
2023-06-10,6
2023-06-11,6
2023-06-12,18
2023-06-13,18
2023-06-14,15
2023-06-15,13
2023-06-16,9
2023-06-17,5
2023-06-18,4
2023-06-19,9
2023-06-20,13
2023-06-21,12
2023-06-22,10
2023-06-23,8
2023-06-24,5
2023-06-25,5
2023-06-26,10
2023-06-27,10
2023-06-28,11
2023-06-29,10
2023-06-30,7
2023-07-01,5
2023-07-02,4
2023-07-03,7
2023-07-04,5
2023-07-05,9
2023-07-06,8
2023-07-07,7
2023-07-08,5
2023-07-09,5
2023-07-10,10
2023-07-11,11
2023-07-12,11
2023-07-13,9
2023-07-14,8
2023-07-15,5
2023-07-16,5
2023-07-17,10
2023-07-18,11
2023-07-19,10
2023-07-20,9
2023-07-21,7
2023-07-22,4
2023-07-23,5
2023-07-24,10
2023-07-25,11
2023-07-26,10
2023-07-27,10
2023-07-28,8
2023-07-29,5
2023-07-30,5
2023-07-31,10
2023-08-01,11
2023-08-02,12
2023-08-03,12
2023-08-04,11
2023-08-05,5
2023-08-06,6
2023-08-07,16
2023-08-08,17
2023-08-09,21
2023-08-10,23
2023-08-11,25
2023-08-12,6
2023-08-13,7
2023-08-14,32
2023-08-15,41
2023-08-16,45
2023-08-17,52
2023-08-18,51
2023-08-19,7
2023-08-20,10
2023-08-21,57
2023-08-22,66
2023-08-23,64
2023-08-24,69
2023-08-25,64
2023-08-26,9
2023-08-27,10
2023-08-28,67
2023-08-29,74
2023-08-30,77
2023-08-31,90
2023-09-01,67
2023-09-02,10
2023-09-03,8
2023-09-04,12
2023-09-05,80
2023-09-06,87
2023-09-07,91
2023-09-08,86
2023-09-09,11
2023-09-10,12
2023-09-11,85
2023-09-12,95
2023-09-13,100
2023-09-14,97
2023-09-15,83
2023-09-16,12
2023-09-17,13
2023-09-18,82
2023-09-19,91
2023-09-20,89
2023-09-21,96
2023-09-22,76
2023-09-23,11
2023-09-24,13
2023-09-25,73
2023-09-26,81
2023-09-27,87
2023-09-28,92
2023-09-29,72
2023-09-30,10
2023-10-01,12
2023-10-02,75
2023-10-03,82
2023-10-04,77
2023-10-05,85
2023-10-06,75
2023-10-07,10
2023-10-08,11
2023-10-09,50
2023-10-10,71
2023-10-11,80
2023-10-12,81
2023-10-13,62
2023-10-14,10
2023-10-15,11
2023-10-16,69
2023-10-17,78
2023-10-18,82
2023-10-19,79
2023-10-20,64
2023-10-21,9
2023-10-22,11
2023-10-23,72
2023-10-24,80
2023-10-25,77
2023-10-26,73
2023-10-27,63
2023-10-28,8
2023-10-29,11
2023-10-30,74
2023-10-31,58
2023-11-01,82
2023-11-02,82
2023-11-03,74
2023-11-04,10
2023-11-05,11
2023-11-06,70
2023-11-07,74
2023-11-08,75
2023-11-09,72
2023-11-10,50
2023-11-11,10
2023-11-12,10
2023-11-13,77
2023-11-14,76
2023-11-15,81
2023-11-16,75
2023-11-17,66
2023-11-18,10
2023-11-19,9
2023-11-20,44
2023-11-21,39
2023-11-22,14
2023-11-23,6
2023-11-24,5
2023-11-25,6
2023-11-26,9
2023-11-27,84
2023-11-28,79
2023-11-29,77
2023-11-30,83
2023-12-01,77
2023-12-02,11
2023-12-03,11
2023-12-04,71
2023-12-05,76
2023-12-06,78
2023-12-07,82
2023-12-08,63
2023-12-09,9
2023-12-10,10
2023-12-11,66
2023-12-12,63
2023-12-13,71
2023-12-14,77
2023-12-15,58
2023-12-16,9
2023-12-17,9
2023-12-18,53
2023-12-19,51
2023-12-20,41
2023-12-21,27
2023-12-22,11
2023-12-23,5
2023-12-24,4
2023-12-25,4
2023-12-26,5
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,5
2023-12-31,5
2024-01-01,6
2024-01-02,24
2024-01-03,47
2024-01-04,62
2024-01-05,58
2024-01-06,8
2024-01-07,9
2024-01-08,67
2024-01-09,75
2024-01-10,81
2024-01-11,90
2024-01-12,69
2024-01-13,10
2024-01-14,8
2024-01-15,13
2024-01-16,54
2024-01-17,71
2024-01-18,77
2024-01-19,66
2024-01-20,10
