Time,clever
2023-04-26,56
2023-04-27,55
2023-04-28,50
2023-04-29,11
2023-04-30,10
2023-05-01,58
2023-05-02,53
2023-05-03,52
2023-05-04,56
2023-05-05,50
2023-05-06,10
2023-05-07,10
2023-05-08,60
2023-05-09,55
2023-05-10,57
2023-05-11,53
2023-05-12,50
2023-05-13,11
2023-05-14,9
2023-05-15,54
2023-05-16,54
2023-05-17,51
2023-05-18,49
2023-05-19,42
2023-05-20,10
2023-05-21,10
2023-05-22,43
2023-05-23,40
2023-05-24,37
2023-05-25,33
2023-05-26,28
2023-05-27,9
2023-05-28,7
2023-05-29,8
2023-05-30,27
2023-05-31,25
2023-06-01,24
2023-06-02,22
2023-06-03,8
2023-06-04,7
2023-06-05,24
2023-06-06,23
2023-06-07,21
2023-06-08,19
2023-06-09,15
2023-06-10,7
2023-06-11,6
2023-06-12,17
2023-06-13,15
2023-06-14,15
2023-06-15,13
2023-06-16,10
2023-06-17,6
2023-06-18,5
2023-06-19,7
2023-06-20,10
2023-06-21,10
2023-06-22,9
2023-06-23,7
2023-06-24,5
2023-06-25,5
2023-06-26,8
2023-06-27,9
2023-06-28,8
2023-06-29,8
2023-06-30,7
2023-07-01,4
2023-07-02,5
2023-07-03,6
2023-07-04,5
2023-07-05,7
2023-07-06,8
2023-07-07,6
2023-07-08,5
2023-07-09,5
2023-07-10,8
2023-07-11,8
2023-07-12,8
2023-07-13,9
2023-07-14,7
2023-07-15,5
2023-07-16,6
2023-07-17,8
2023-07-18,10
2023-07-19,9
2023-07-20,8
2023-07-21,8
2023-07-22,6
2023-07-23,6
2023-07-24,10
2023-07-25,11
2023-07-26,10
2023-07-27,11
2023-07-28,11
2023-07-29,7
2023-07-30,7
2023-07-31,12
2023-08-01,16
2023-08-02,19
2023-08-03,19
2023-08-04,18
2023-08-05,11
2023-08-06,11
2023-08-07,22
2023-08-08,25
2023-08-09,26
2023-08-10,28
2023-08-11,31
2023-08-12,10
2023-08-13,12
2023-08-14,37
2023-08-15,53
2023-08-16,51
2023-08-17,49
2023-08-18,49
2023-08-19,11
2023-08-20,12
2023-08-21,58
2023-08-22,65
2023-08-23,67
2023-08-24,67
2023-08-25,62
2023-08-26,13
2023-08-27,13
2023-08-28,68
2023-08-29,69
2023-08-30,68
2023-08-31,72
2023-09-01,63
2023-09-02,11
2023-09-03,9
2023-09-04,12
2023-09-05,70
2023-09-06,78
2023-09-07,77
2023-09-08,74
2023-09-09,13
2023-09-10,12
2023-09-11,70
2023-09-12,78
2023-09-13,100
2023-09-14,80
2023-09-15,73
2023-09-16,14
2023-09-17,13
2023-09-18,75
2023-09-19,82
2023-09-20,86
2023-09-21,80
2023-09-22,73
2023-09-23,14
2023-09-24,13
2023-09-25,62
2023-09-26,77
2023-09-27,75
2023-09-28,75
2023-09-29,70
2023-09-30,14
2023-10-01,13
2023-10-02,69
2023-10-03,70
2023-10-04,73
2023-10-05,72
2023-10-06,62
2023-10-07,13
2023-10-08,12
2023-10-09,40
2023-10-10,59
2023-10-11,68
2023-10-12,64
2023-10-13,58
2023-10-14,12
2023-10-15,12
2023-10-16,60
2023-10-17,69
2023-10-18,66
2023-10-19,68
2023-10-20,62
2023-10-21,13
2023-10-22,13
2023-10-23,65
2023-10-24,71
2023-10-25,70
2023-10-26,70
2023-10-27,58
2023-10-28,12
2023-10-29,12
2023-10-30,65
2023-10-31,55
2023-11-01,66
2023-11-02,70
2023-11-03,67
2023-11-04,13
2023-11-05,12
2023-11-06,63
2023-11-07,60
2023-11-08,67
2023-11-09,65
2023-11-10,39
2023-11-11,11
2023-11-12,11
2023-11-13,76
2023-11-14,66
2023-11-15,71
2023-11-16,65
2023-11-17,58
2023-11-18,12
2023-11-19,10
2023-11-20,30
2023-11-21,27
2023-11-22,14
2023-11-23,8
2023-11-24,7
2023-11-25,8
2023-11-26,10
2023-11-27,61
2023-11-28,63
2023-11-29,68
2023-11-30,67
2023-12-01,65
2023-12-02,13
2023-12-03,11
2023-12-04,61
2023-12-05,69
2023-12-06,67
2023-12-07,67
2023-12-08,60
2023-12-09,13
2023-12-10,13
2023-12-11,60
2023-12-12,63
2023-12-13,67
2023-12-14,65
2023-12-15,54
2023-12-16,13
2023-12-17,11
2023-12-18,44
2023-12-19,42
2023-12-20,36
2023-12-21,27
2023-12-22,16
2023-12-23,8
2023-12-24,6
2023-12-25,6
2023-12-26,6
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,6
2023-12-31,6
2024-01-01,6
2024-01-02,19
2024-01-03,29
2024-01-04,36
2024-01-05,35
2024-01-06,9
2024-01-07,9
2024-01-08,55
2024-01-09,57
2024-01-10,67
2024-01-11,73
2024-01-12,62
2024-01-13,12
2024-01-14,8
2024-01-15,12
2024-01-16,43
2024-01-17,55
2024-01-18,64
2024-01-19,55
2024-01-20,12
