Time,clever
2025-04-15,52
2025-04-16,53
2025-04-17,49
2025-04-18,22
2025-04-19,9
2025-04-20,9
2025-04-21,40
2025-04-22,58
2025-04-23,57
2025-04-24,53
2025-04-25,52
2025-04-26,11
2025-04-27,11
2025-04-28,63
2025-04-29,61
2025-04-30,59
2025-05-01,65
2025-05-02,55
2025-05-03,13
2025-05-04,12
2025-05-05,61
2025-05-06,59
2025-05-07,60
2025-05-08,62
2025-05-09,53
2025-05-10,11
2025-05-11,11
2025-05-12,59
2025-05-13,60
2025-05-14,56
2025-05-15,57
2025-05-16,45
2025-05-17,13
2025-05-18,11
2025-05-19,50
2025-05-20,48
2025-05-21,42
2025-05-22,42
2025-05-23,30
2025-05-24,9
2025-05-25,8
2025-05-26,10
2025-05-27,31
2025-05-28,30
2025-05-29,30
2025-05-30,26
2025-05-31,8
2025-06-01,8
2025-06-02,26
2025-06-03,29
2025-06-04,23
2025-06-05,20
2025-06-06,16
2025-06-07,7
2025-06-08,7
2025-06-09,19
2025-06-10,19
2025-06-11,16
2025-06-12,15
2025-06-13,12
2025-06-14,7
2025-06-15,6
2025-06-16,13
2025-06-17,12
2025-06-18,11
2025-06-19,7
2025-06-20,8
2025-06-21,5
2025-06-22,5
2025-06-23,10
2025-06-24,9
2025-06-25,9
2025-06-26,8
2025-06-27,7
2025-06-28,5
2025-06-29,6
2025-06-30,7
2025-07-01,8
2025-07-02,7
2025-07-03,7
2025-07-04,5
2025-07-05,5
2025-07-06,5
2025-07-07,8
2025-07-08,9
2025-07-09,9
2025-07-10,8
2025-07-11,8
2025-07-12,6
2025-07-13,6
2025-07-14,8
2025-07-15,9
2025-07-16,8
2025-07-17,9
2025-07-18,7
2025-07-19,8
2025-07-20,7
2025-07-21,11
2025-07-22,12
2025-07-23,13
2025-07-24,15
2025-07-25,13
2025-07-26,10
2025-07-27,9
2025-07-28,15
2025-07-29,18
2025-07-30,21
2025-07-31,18
2025-08-01,19
2025-08-02,13
2025-08-03,11
2025-08-04,22
2025-08-05,23
2025-08-06,27
2025-08-07,28
2025-08-08,28
2025-08-09,11
2025-08-10,11
2025-08-11,35
2025-08-12,41
2025-08-13,43
2025-08-14,48
2025-08-15,51
2025-08-16,12
2025-08-17,13
2025-08-18,60
2025-08-19,65
2025-08-20,69
2025-08-21,72
2025-08-22,72
2025-08-23,14
2025-08-24,15
2025-08-25,73
2025-08-26,77
2025-08-27,82
2025-08-28,82
2025-08-29,70
2025-08-30,14
2025-08-31,12
2025-09-01,15
2025-09-02,76
2025-09-03,84
2025-09-04,89
2025-09-05,84
2025-09-06,16
2025-09-07,15
2025-09-08,82
2025-09-09,88
2025-09-10,78
2025-09-11,82
2025-09-12,80
2025-09-13,15
2025-09-14,14
2025-09-15,74
2025-09-16,81
2025-09-17,81
2025-09-18,86
2025-09-19,76
2025-09-20,16
2025-09-21,15
2025-09-22,74
2025-09-23,76
2025-09-24,80
2025-09-25,82
2025-09-26,77
2025-09-27,16
2025-09-28,15
2025-09-29,75
2025-09-30,77
2025-10-01,78
2025-10-02,71
2025-10-03,71
2025-10-04,14
2025-10-05,14
2025-10-06,69
2025-10-07,69
2025-10-08,72
2025-10-09,73
2025-10-10,57
2025-10-11,14
2025-10-12,13
2025-10-13,44
2025-10-14,67
2025-10-15,100
2025-10-16,72
2025-10-17,66
2025-10-18,14
2025-10-19,14
2025-10-20,69
2025-10-21,75
2025-10-22,79
2025-10-23,78
2025-10-24,74
2025-10-25,15
2025-10-26,14
2025-10-27,69
2025-10-28,77
2025-10-29,73
2025-10-30,75
2025-10-31,50
2025-11-01,13
2025-11-02,13
2025-11-03,65
2025-11-04,63
2025-11-05,73
2025-11-06,73
2025-11-07,73
2025-11-08,15
2025-11-09,13
2025-11-10,61
2025-11-11,42
2025-11-12,72
2025-11-13,77
2025-11-14,72
2025-11-15,15
2025-11-16,14
2025-11-17,74
2025-11-18,68
2025-11-19,73
2025-11-20,72
2025-11-21,65
2025-11-22,15
2025-11-23,12
2025-11-24,31
2025-11-25,27
2025-11-26,15
2025-11-27,8
2025-11-28,8
2025-11-29,8
2025-11-30,11
2025-12-01,62
2025-12-02,66
2025-12-03,71
2025-12-04,74
2025-12-05,67
2025-12-06,15
2025-12-07,14
2025-12-08,66
2025-12-09,68
2025-12-10,66
2025-12-11,70
2025-12-12,65
2025-12-13,16
2025-12-14,14
2025-12-15,61
2025-12-16,67
2025-12-17,64
2025-12-18,58
2025-12-19,36
2025-12-20,11
2025-12-21,9
2025-12-22,14
2025-12-23,9
2025-12-24,8
2025-12-25,7
2025-12-26,7
2025-12-27,7
2025-12-28,6
2025-12-29,8
2025-12-30,7
2025-12-31,7
2026-01-01,6
2026-01-02,8
2026-01-03,8
2026-01-04,9
2026-01-05,34
2026-01-06,57
2026-01-07,68
2026-01-08,64
2026-01-09,64
