Time,harbor freight
2022-01-01,60
2022-01-02,54
2022-01-03,43
2022-01-04,49
2022-01-05,49
2022-01-06,38
2022-01-07,42
2022-01-08,51
2022-01-09,48
2022-01-10,38
2022-01-11,40
2022-01-12,44
2022-01-13,50
2022-01-14,44
2022-01-15,64
2022-01-16,53
2022-01-17,46
2022-01-18,38
2022-01-19,39
2022-01-20,40
2022-01-21,42
2022-01-22,53
2022-01-23,51
2022-01-24,48
2022-01-25,37
2022-01-26,39
2022-01-27,41
2022-01-28,61
2022-01-29,67
2022-01-30,53
2022-01-31,45
2022-02-01,48
2022-02-02,48
2022-02-03,41
2022-02-04,47
2022-02-05,63
2022-02-06,62
2022-02-07,47
2022-02-08,42
2022-02-09,40
2022-02-10,39
2022-02-11,46
2022-02-12,57
2022-02-13,48
2022-02-14,38
2022-02-15,42
2022-02-16,43
2022-02-17,45
2022-02-18,53
2022-02-19,67
2022-02-20,71
2022-02-21,59
2022-02-22,49
2022-02-23,46
2022-02-24,43
2022-02-25,49
2022-02-26,62
2022-02-27,65
2022-02-28,48
2022-03-01,47
2022-03-02,50
2022-03-03,51
2022-03-04,51
2022-03-05,70
2022-03-06,69
2022-03-07,50
2022-03-08,48
2022-03-09,47
2022-03-10,43
2022-03-11,50
2022-03-12,62
2022-03-13,65
2022-03-14,49
2022-03-15,49
2022-03-16,50
2022-03-17,50
2022-03-18,57
2022-03-19,71
2022-03-20,71
2022-03-21,53
2022-03-22,52
2022-03-23,48
2022-03-24,55
2022-03-25,52
2022-03-26,71
2022-03-27,71
2022-03-28,43
2022-03-29,44
2022-03-30,48
2022-03-31,49
2022-04-01,53
2022-04-02,70
2022-04-03,67
2022-04-04,49
2022-04-05,49
2022-04-06,49
2022-04-07,49
2022-04-08,58
2022-04-09,71
2022-04-10,76
2022-04-11,50
2022-04-12,45
2022-04-13,47
2022-04-14,50
2022-04-15,59
2022-04-16,70
2022-04-17,62
2022-04-18,54
2022-04-19,48
2022-04-20,46
2022-04-21,50
2022-04-22,54
2022-04-23,68
2022-04-24,73
2022-04-25,49
2022-04-26,48
2022-04-27,46
2022-04-28,48
2022-04-29,51
2022-04-30,69
2022-05-01,64
2022-05-02,48
2022-05-03,47
2022-05-04,48
2022-05-05,50
2022-05-06,50
2022-05-07,67
2022-05-08,63
2022-05-09,49
2022-05-10,46
2022-05-11,47
2022-05-12,47
2022-05-13,53
2022-05-14,71
2022-05-15,71
2022-05-16,49
2022-05-17,48
2022-05-18,47
2022-05-19,48
2022-05-20,54
2022-05-21,68
2022-05-22,68
2022-05-23,51
2022-05-24,52
2022-05-25,49
2022-05-26,49
2022-05-27,64
2022-05-28,87
2022-05-29,87
2022-05-30,100
2022-05-31,57
2022-06-01,51
2022-06-02,49
2022-06-03,55
2022-06-04,74
2022-06-05,75
2022-06-06,50
2022-06-07,51
2022-06-08,51
2022-06-09,50
2022-06-10,59
2022-06-11,71
2022-06-12,72
2022-06-13,54
2022-06-14,54
2022-06-15,54
2022-06-16,56
2022-06-17,62
2022-06-18,85
2022-06-19,84
2022-06-20,57
2022-06-21,52
2022-06-22,52
2022-06-23,52
2022-06-24,53
2022-06-25,69
2022-06-26,69
2022-06-27,51
2022-06-28,47
2022-06-29,52
2022-06-30,51
2022-07-01,65
2022-07-02,78
2022-07-03,79
2022-07-04,78
2022-07-05,48
2022-07-06,46
2022-07-07,49
2022-07-08,58
2022-07-09,69
2022-07-10,69
2022-07-11,53
2022-07-12,50
2022-07-13,52
2022-07-14,51
2022-07-15,50
2022-07-16,65
2022-07-17,68
2022-07-18,52
2022-07-19,47
2022-07-20,47
2022-07-21,47
2022-07-22,55
2022-07-23,65
2022-07-24,67
2022-07-25,51
2022-07-26,48
2022-07-27,49
2022-07-28,51
2022-07-29,51
2022-07-30,64
2022-07-31,65
2022-08-01,46
2022-08-02,47
2022-08-03,46
2022-08-04,47
2022-08-05,54
2022-08-06,64
2022-08-07,66
2022-08-08,48
2022-08-09,45
2022-08-10,47
2022-08-11,40
2022-08-12,51
2022-08-13,65
2022-08-14,67
2022-08-15,45
2022-08-16,48
2022-08-17,46
2022-08-18,42
2022-08-19,51
2022-08-20,70
2022-08-21,68
2022-08-22,47
2022-08-23,47
2022-08-24,42
2022-08-25,45
2022-08-26,52
2022-08-27,67
2022-08-28,69
2022-08-29,47
2022-08-30,50
2022-08-31,49
2022-09-01,47
2022-09-02,60
2022-09-03,79
2022-09-04,75
2022-09-05,79
2022-09-06,41
2022-09-07,42
2022-09-08,38
2022-09-09,48
2022-09-10,63
2022-09-11,57
2022-09-12,45
2022-09-13,41
2022-09-14,43
2022-09-15,45
2022-09-16,49
2022-09-17,62
2022-09-18,55
2022-09-19,47
2022-09-20,41
2022-09-21,40
2022-09-22,45
2022-09-23,54
2022-09-24,74
2022-09-25,68
2022-09-26,49
2022-09-27,47
