Time,harbor freight
2025-12-11,44
2025-12-12,55
2025-12-13,70
2025-12-14,63
2025-12-15,50
2025-12-16,44
2025-12-17,46
2025-12-18,45
2025-12-19,52
2025-12-20,74
2025-12-21,61
2025-12-22,55
2025-12-23,53
2025-12-24,57
2025-12-25,38
2025-12-26,59
2025-12-27,60
2025-12-28,54
2025-12-29,49
2025-12-30,47
2025-12-31,46
2026-01-01,54
2026-01-02,49
2026-01-03,56
2026-01-04,52
2026-01-05,38
2026-01-06,39
2026-01-07,38
2026-01-08,38
2026-01-09,42
2026-01-10,52
2026-01-11,47
2026-01-12,42
2026-01-13,41
2026-01-14,37
2026-01-15,39
2026-01-16,43
2026-01-17,54
2026-01-18,53
2026-01-19,47
2026-01-20,50
2026-01-21,78
2026-01-22,90
2026-01-23,100
2026-01-24,90
2026-01-25,48
2026-01-26,42
2026-01-27,44
2026-01-28,45
2026-01-29,43
2026-01-30,47
2026-01-31,56
2026-02-01,50
2026-02-02,39
2026-02-03,35
2026-02-04,34
2026-02-05,37
2026-02-06,46
2026-02-07,51
2026-02-08,46
2026-02-09,32
2026-02-10,36
2026-02-11,38
2026-02-12,38
2026-02-13,42
2026-02-14,54
2026-02-15,52
2026-02-16,49
2026-02-17,38
2026-02-18,37
2026-02-19,42
2026-02-20,41
2026-02-21,57
2026-02-22,53
2026-02-23,40
2026-02-24,44
2026-02-25,38
2026-02-26,41
2026-02-27,42
2026-02-28,58
2026-03-01,58
2026-03-02,45
2026-03-03,44
2026-03-04,43
2026-03-05,47
2026-03-06,53
2026-03-07,66
2026-03-08,68
2026-03-09,51
2026-03-10,46
2026-03-11,45
2026-03-12,45
2026-03-13,50
2026-03-14,71
2026-03-15,73
2026-03-16,46
2026-03-17,43
2026-03-18,45
2026-03-19,47
2026-03-20,54
2026-03-21,68
2026-03-22,71
2026-03-23,48
2026-03-24,45
2026-03-25,46
2026-03-26,45
2026-03-27,49
2026-03-28,60
2026-03-29,65
2026-03-30,45
2026-03-31,44
2026-04-01,45
2026-04-02,45
2026-04-03,54
2026-04-04,67
2026-04-05,55
2026-04-06,50
2026-04-07,46
2026-04-08,45
2026-04-09,45
2026-04-10,52
2026-04-11,67
2026-04-12,71
2026-04-13,48
2026-04-14,48
2026-04-15,45
2026-04-16,48
2026-04-17,51
2026-04-18,66
2026-04-19,67
2026-04-20,44
2026-04-21,45
2026-04-22,43
2026-04-23,44
2026-04-24,49
2026-04-25,60
2026-04-26,63
2026-04-27,46
2026-04-28,42
2026-04-29,43
2026-04-30,49
2026-05-01,51
2026-05-02,62
2026-05-03,59
2026-05-04,46
2026-05-05,45
2026-05-06,43
2026-05-07,45
2026-05-08,48
2026-05-09,61
2026-05-10,54
2026-05-11,42
2026-05-12,44
2026-05-13,42
2026-05-14,43
2026-05-15,52
2026-05-16,62
2026-05-17,58
2026-05-18,45
2026-05-19,46
2026-05-20,43
2026-05-21,45
2026-05-22,53
2026-05-23,66
2026-05-24,66
2026-05-25,65
2026-05-26,42
2026-05-27,42
2026-05-28,47
2026-05-29,52
2026-05-30,62
2026-05-31,69
