Time,ian
2023-04-26,43
2023-04-27,39
2023-04-28,40
2023-04-29,42
2023-04-30,43
2023-05-01,39
2023-05-02,39
2023-05-03,38
2023-05-04,51
2023-05-05,36
2023-05-06,38
2023-05-07,38
2023-05-08,39
2023-05-09,39
2023-05-10,39
2023-05-11,39
2023-05-12,38
2023-05-13,49
2023-05-14,44
2023-05-15,42
2023-05-16,43
2023-05-17,41
2023-05-18,40
2023-05-19,41
2023-05-20,38
2023-05-21,45
2023-05-22,51
2023-05-23,41
2023-05-24,38
2023-05-25,38
2023-05-26,37
2023-05-27,37
2023-05-28,38
2023-05-29,37
2023-05-30,37
2023-05-31,35
2023-06-01,36
2023-06-02,35
2023-06-03,34
2023-06-04,37
2023-06-05,36
2023-06-06,35
2023-06-07,36
2023-06-08,37
2023-06-09,38
2023-06-10,42
2023-06-11,52
2023-06-12,41
2023-06-13,36
2023-06-14,41
2023-06-15,38
2023-06-16,39
2023-06-17,37
2023-06-18,43
2023-06-19,41
2023-06-20,42
2023-06-21,59
2023-06-22,41
2023-06-23,43
2023-06-24,43
2023-06-25,45
2023-06-26,44
2023-06-27,42
2023-06-28,38
2023-06-29,39
2023-06-30,38
2023-07-01,37
2023-07-02,38
2023-07-03,35
2023-07-04,38
2023-07-05,35
2023-07-06,38
2023-07-07,37
2023-07-08,40
2023-07-09,46
2023-07-10,37
2023-07-11,38
2023-07-12,34
2023-07-13,37
2023-07-14,37
2023-07-15,41
2023-07-16,44
2023-07-17,41
2023-07-18,39
2023-07-19,39
2023-07-20,40
2023-07-21,36
2023-07-22,39
2023-07-23,40
2023-07-24,46
2023-07-25,39
2023-07-26,37
2023-07-27,38
2023-07-28,40
2023-07-29,40
2023-07-30,39
2023-07-31,37
2023-08-01,39
2023-08-02,37
2023-08-03,38
2023-08-04,40
2023-08-05,38
2023-08-06,62
2023-08-07,57
2023-08-08,43
2023-08-09,43
2023-08-10,43
2023-08-11,44
2023-08-12,38
2023-08-13,43
2023-08-14,41
2023-08-15,40
2023-08-16,41
2023-08-17,42
2023-08-18,47
2023-08-19,50
2023-08-20,79
2023-08-21,45
2023-08-22,39
2023-08-23,39
2023-08-24,39
2023-08-25,39
2023-08-26,46
2023-08-27,52
2023-08-28,78
2023-08-29,72
2023-08-30,72
2023-08-31,48
2023-09-01,43
2023-09-02,38
2023-09-03,40
2023-09-04,38
2023-09-05,36
2023-09-06,39
2023-09-07,38
2023-09-08,40
2023-09-09,40
2023-09-10,36
2023-09-11,36
2023-09-12,38
2023-09-13,40
2023-09-14,38
2023-09-15,35
2023-09-16,36
2023-09-17,39
2023-09-18,34
2023-09-19,38
2023-09-20,38
2023-09-21,38
2023-09-22,38
2023-09-23,38
2023-09-24,41
2023-09-25,36
2023-09-26,35
2023-09-27,38
2023-09-28,52
2023-09-29,43
2023-09-30,39
2023-10-01,38
2023-10-02,36
2023-10-03,34
2023-10-04,36
2023-10-05,33
2023-10-06,35
2023-10-07,35
2023-10-08,34
2023-10-09,35
2023-10-10,35
2023-10-11,40
2023-10-12,35
2023-10-13,34
2023-10-14,36
2023-10-15,37
2023-10-16,50
2023-10-17,40
2023-10-18,39
2023-10-19,41
2023-10-20,35
2023-10-21,33
2023-10-22,32
2023-10-23,35
2023-10-24,35
2023-10-25,35
2023-10-26,35
2023-10-27,33
2023-10-28,33
2023-10-29,32
2023-10-30,36
2023-10-31,39
2023-11-01,33
2023-11-02,34
2023-11-03,35
2023-11-04,37
2023-11-05,37
2023-11-06,35
2023-11-07,34
2023-11-08,38
2023-11-09,36
2023-11-10,40
2023-11-11,38
2023-11-12,36
2023-11-13,36
2023-11-14,37
2023-11-15,41
2023-11-16,38
2023-11-17,36
2023-11-18,34
2023-11-19,36
2023-11-20,37
2023-11-21,38
2023-11-22,40
2023-11-23,34
2023-11-24,32
2023-11-25,49
2023-11-26,50
2023-11-27,44
2023-11-28,43
2023-11-29,42
2023-11-30,41
2023-12-01,37
2023-12-02,35
2023-12-03,35
2023-12-04,34
2023-12-05,35
2023-12-06,40
2023-12-07,38
2023-12-08,38
2023-12-09,41
2023-12-10,39
2023-12-11,36
2023-12-12,37
2023-12-13,41
2023-12-14,56
2023-12-15,50
2023-12-16,46
2023-12-17,48
2023-12-18,36
2023-12-19,36
2023-12-20,36
2023-12-21,34
2023-12-22,32
2023-12-23,49
2023-12-24,40
2023-12-25,35
2023-12-26,35
2023-12-27,35
2023-12-28,35
2023-12-29,37
2023-12-30,37
2023-12-31,37
2024-01-01,70
2024-01-02,100
2024-01-03,70
2024-01-04,49
2024-01-05,42
2024-01-06,38
2024-01-07,39
2024-01-08,39
2024-01-09,37
2024-01-10,37
2024-01-11,41
2024-01-12,42
2024-01-13,40
2024-01-14,37
2024-01-15,35
2024-01-16,37
2024-01-17,42
2024-01-18,43
2024-01-19,43
2024-01-20,45
