Time,ian
2025-12-11,61
2025-12-12,61
2025-12-13,60
2025-12-14,60
2025-12-15,56
2025-12-16,55
2025-12-17,60
2025-12-18,59
2025-12-19,54
2025-12-20,62
2025-12-21,62
2025-12-22,60
2025-12-23,50
2025-12-24,49
2025-12-25,61
2025-12-26,62
2025-12-27,58
2025-12-28,65
2025-12-29,59
2025-12-30,62
2025-12-31,61
2026-01-01,53
2026-01-02,60
2026-01-03,66
2026-01-04,68
2026-01-05,63
2026-01-06,69
2026-01-07,71
2026-01-08,64
2026-01-09,69
2026-01-10,73
2026-01-11,68
2026-01-12,59
2026-01-13,64
2026-01-14,60
2026-01-15,65
2026-01-16,71
2026-01-17,65
2026-01-18,63
2026-01-19,64
2026-01-20,60
2026-01-21,64
2026-01-22,69
2026-01-23,69
2026-01-24,65
2026-01-25,67
2026-01-26,65
2026-01-27,62
2026-01-28,63
2026-01-29,61
2026-01-30,80
2026-01-31,72
2026-02-01,76
2026-02-02,68
2026-02-03,76
2026-02-04,73
2026-02-05,87
2026-02-06,86
2026-02-07,78
2026-02-08,73
2026-02-09,57
2026-02-10,63
2026-02-11,64
2026-02-12,59
2026-02-13,58
2026-02-14,59
2026-02-15,67
2026-02-16,69
2026-02-17,72
2026-02-18,65
2026-02-19,68
2026-02-20,65
2026-02-21,73
2026-02-22,70
2026-02-23,66
2026-02-24,65
2026-02-25,62
2026-02-26,68
2026-02-27,70
2026-02-28,62
2026-03-01,63
2026-03-02,67
2026-03-03,61
2026-03-04,59
2026-03-05,59
2026-03-06,67
2026-03-07,100
2026-03-08,86
2026-03-09,76
2026-03-10,66
2026-03-11,74
2026-03-12,60
2026-03-13,62
2026-03-14,67
2026-03-15,66
2026-03-16,57
2026-03-17,64
2026-03-18,58
2026-03-19,64
2026-03-20,65
2026-03-21,63
2026-03-22,66
2026-03-23,65
2026-03-24,61
2026-03-25,62
2026-03-26,61
2026-03-27,59
2026-03-28,61
2026-03-29,75
2026-03-30,55
2026-03-31,59
2026-04-01,60
2026-04-02,59
2026-04-03,60
2026-04-04,60
2026-04-05,57
2026-04-06,63
2026-04-07,61
2026-04-08,63
2026-04-09,61
2026-04-10,62
2026-04-11,60
2026-04-12,57
2026-04-13,57
2026-04-14,62
2026-04-15,64
2026-04-16,61
2026-04-17,65
2026-04-18,63
2026-04-19,61
2026-04-20,60
2026-04-21,58
2026-04-22,60
2026-04-23,65
2026-04-24,55
2026-04-25,62
2026-04-26,59
2026-04-27,56
2026-04-28,60
2026-04-29,67
2026-04-30,70
2026-05-01,64
2026-05-02,70
2026-05-03,67
2026-05-04,56
2026-05-05,62
2026-05-06,62
2026-05-07,65
2026-05-08,67
2026-05-09,80
2026-05-10,70
2026-05-11,69
2026-05-12,68
2026-05-13,62
2026-05-14,60
2026-05-15,65
2026-05-16,64
2026-05-17,58
2026-05-18,64
2026-05-19,59
2026-05-20,59
2026-05-21,58
2026-05-22,56
2026-05-23,62
2026-05-24,64
2026-05-25,81
2026-05-26,67
2026-05-27,64
2026-05-28,69
2026-05-29,72
2026-05-30,71
2026-05-31,80
