Time,united airlines
2022-08-29,59
2022-08-30,53
2022-08-31,53
2022-09-01,49
2022-09-02,45
2022-09-03,43
2022-09-04,41
2022-09-05,48
2022-09-06,54
2022-09-07,53
2022-09-08,50
2022-09-09,48
2022-09-10,48
2022-09-11,44
2022-09-12,53
2022-09-13,54
2022-09-14,56
2022-09-15,57
2022-09-16,47
2022-09-17,43
2022-09-18,45
2022-09-19,56
2022-09-20,51
2022-09-21,51
2022-09-22,52
2022-09-23,48
2022-09-24,44
2022-09-25,43
2022-09-26,51
2022-09-27,52
2022-09-28,51
2022-09-29,48
2022-09-30,47
2022-10-01,50
2022-10-02,43
2022-10-03,52
2022-10-04,52
2022-10-05,54
2022-10-06,54
2022-10-07,47
2022-10-08,41
2022-10-09,42
2022-10-10,50
2022-10-11,54
2022-10-12,53
2022-10-13,50
2022-10-14,45
2022-10-15,41
2022-10-16,40
2022-10-17,50
2022-10-18,50
2022-10-19,50
2022-10-20,49
2022-10-21,44
2022-10-22,42
2022-10-23,47
2022-10-24,49
2022-10-25,51
2022-10-26,47
2022-10-27,50
2022-10-28,43
2022-10-29,37
2022-10-30,40
2022-10-31,48
2022-11-01,44
2022-11-02,48
2022-11-03,49
2022-11-04,46
2022-11-05,43
2022-11-06,42
2022-11-07,45
2022-11-08,46
2022-11-09,43
2022-11-10,45
2022-11-11,40
2022-11-12,37
2022-11-13,44
2022-11-14,50
2022-11-15,49
2022-11-16,47
2022-11-17,42
2022-11-18,48
2022-11-19,44
2022-11-20,42
2022-11-21,43
2022-11-22,44
2022-11-23,43
2022-11-24,33
2022-11-25,39
2022-11-26,39
2022-11-27,44
2022-11-28,48
2022-11-29,58
2022-11-30,49
2022-12-01,44
2022-12-02,42
2022-12-03,39
2022-12-04,39
2022-12-05,43
2022-12-06,44
2022-12-07,45
2022-12-08,44
2022-12-09,38
2022-12-10,40
2022-12-11,44
2022-12-12,44
2022-12-13,47
2022-12-14,49
2022-12-15,46
2022-12-16,44
2022-12-17,45
2022-12-18,40
2022-12-19,46
2022-12-20,57
2022-12-21,57
2022-12-22,69
2022-12-23,73
2022-12-24,60
2022-12-25,53
2022-12-26,72
2022-12-27,100
2022-12-28,79
2022-12-29,60
2022-12-30,50
2022-12-31,43
2023-01-01,51
2023-01-02,61
2023-01-03,67
2023-01-04,65
2023-01-05,63
2023-01-06,54
2023-01-07,45
2023-01-08,48
2023-01-09,59
2023-01-10,63
2023-01-11,77
2023-01-12,59
2023-01-13,53
2023-01-14,47
2023-01-15,49
2023-01-16,53
2023-01-17,63
2023-01-18,58
2023-01-19,55
2023-01-20,50
2023-01-21,44
2023-01-22,47
2023-01-23,54
2023-01-24,50
2023-01-25,53
2023-01-26,53
2023-01-27,50
2023-01-28,44
2023-01-29,49
2023-01-30,53
2023-01-31,55
2023-02-01,57
2023-02-02,53
2023-02-03,44
2023-02-04,45
2023-02-05,48
2023-02-06,54
2023-02-07,57
2023-02-08,54
2023-02-09,51
2023-02-10,48
2023-02-11,46
2023-02-12,46
2023-02-13,49
2023-02-14,54
2023-02-15,70
2023-02-16,62
2023-02-17,54
2023-02-18,51
2023-02-19,53
2023-02-20,59
2023-02-21,64
2023-02-22,64
2023-02-23,62
2023-02-24,53
2023-02-25,46
2023-02-26,54
2023-02-27,59
2023-02-28,61
2023-03-01,59
2023-03-02,57
2023-03-03,52
2023-03-04,50
2023-03-05,50
2023-03-06,60
2023-03-07,65
2023-03-08,59
2023-03-09,56
2023-03-10,56
2023-03-11,50
2023-03-12,53
2023-03-13,56
2023-03-14,62
2023-03-15,55
2023-03-16,49
2023-03-17,48
2023-03-18,46
2023-03-19,49
2023-03-20,56
2023-03-21,57
2023-03-22,58
2023-03-23,52
2023-03-24,48
2023-03-25,46
2023-03-26,48
2023-03-27,54
2023-03-28,54
2023-03-29,54
2023-03-30,56
2023-03-31,50
2023-04-01,46
2023-04-02,50
2023-04-03,53
2023-04-04,51
2023-04-05,55
2023-04-06,54
2023-04-07,46
2023-04-08,41
2023-04-09,42
2023-04-10,56
2023-04-11,52
2023-04-12,48
2023-04-13,55
2023-04-14,49
2023-04-15,48
2023-04-16,53
2023-04-17,55
2023-04-18,58
2023-04-19,57
2023-04-20,56
2023-04-21,51
2023-04-22,49
2023-04-23,48
2023-04-24,55
2023-04-25,56
2023-04-26,55
2023-04-27,46
2023-04-28,48
2023-04-29,41
2023-04-30,48
2023-05-01,60
2023-05-02,57
2023-05-03,52
2023-05-04,52
2023-05-05,49
2023-05-06,43
2023-05-07,46
2023-05-08,53
2023-05-09,54
2023-05-10,53
2023-05-11,54
2023-05-12,51
2023-05-13,47
2023-05-14,46
2023-05-15,64
2023-05-16,62
2023-05-17,59
2023-05-18,57
2023-05-19,52
2023-05-20,48
2023-05-21,56
2023-05-22,57
2023-05-23,57
2023-05-24,59
2023-05-25,54
