Time,united airlines
2024-08-18,72
2024-08-19,79
2024-08-20,81
2024-08-21,78
2024-08-22,70
2024-08-23,71
2024-08-24,64
2024-08-25,69
2024-08-26,72
2024-08-27,72
2024-08-28,78
2024-08-29,75
2024-08-30,75
2024-08-31,67
2024-09-01,66
2024-09-02,71
2024-09-03,65
2024-09-04,70
2024-09-05,68
2024-09-06,64
2024-09-07,64
2024-09-08,59
2024-09-09,67
2024-09-10,69
2024-09-11,65
2024-09-12,71
2024-09-13,69
2024-09-14,60
2024-09-15,61
2024-09-16,68
2024-09-17,70
2024-09-18,67
2024-09-19,72
2024-09-20,63
2024-09-21,59
2024-09-22,64
2024-09-23,68
2024-09-24,66
2024-09-25,70
2024-09-26,68
2024-09-27,69
2024-09-28,58
2024-09-29,65
2024-09-30,61
2024-10-01,62
2024-10-02,62
2024-10-03,64
2024-10-04,60
2024-10-05,58
2024-10-06,61
2024-10-07,71
2024-10-08,63
2024-10-09,60
2024-10-10,62
2024-10-11,69
2024-10-12,63
2024-10-13,64
2024-10-14,69
2024-10-15,82
2024-10-16,68
2024-10-17,66
2024-10-18,62
2024-10-19,60
2024-10-20,56
2024-10-21,65
2024-10-22,66
2024-10-23,66
2024-10-24,61
2024-10-25,59
2024-10-26,51
2024-10-27,57
2024-10-28,61
2024-10-29,72
2024-10-30,60
2024-10-31,62
2024-11-01,59
2024-11-02,56
2024-11-03,58
2024-11-04,63
2024-11-05,63
2024-11-06,47
2024-11-07,63
2024-11-08,64
2024-11-09,61
2024-11-10,57
2024-11-11,64
2024-11-12,64
2024-11-13,60
2024-11-14,65
2024-11-15,60
2024-11-16,54
2024-11-17,60
2024-11-18,66
2024-11-19,62
2024-11-20,63
2024-11-21,70
2024-11-22,64
2024-11-23,61
2024-11-24,62
2024-11-25,68
2024-11-26,70
2024-11-27,65
2024-11-28,50
2024-11-29,64
2024-11-30,59
2024-12-01,65
2024-12-02,70
2024-12-03,86
2024-12-04,73
2024-12-05,60
2024-12-06,59
2024-12-07,55
2024-12-08,57
2024-12-09,60
2024-12-10,62
2024-12-11,58
2024-12-12,59
2024-12-13,61
2024-12-14,62
2024-12-15,60
2024-12-16,71
2024-12-17,69
2024-12-18,67
2024-12-19,74
2024-12-20,70
2024-12-21,64
2024-12-22,62
2024-12-23,63
2024-12-24,64
2024-12-25,59
2024-12-26,72
2024-12-27,73
2024-12-28,71
2024-12-29,76
2024-12-30,72
2024-12-31,69
2025-01-01,60
2025-01-02,75
2025-01-03,80
2025-01-04,75
2025-01-05,73
2025-01-06,79
2025-01-07,79
2025-01-08,80
2025-01-09,74
2025-01-10,74
2025-01-11,69
2025-01-12,73
2025-01-13,72
2025-01-14,70
2025-01-15,71
2025-01-16,67
2025-01-17,68
2025-01-18,58
2025-01-19,70
2025-01-20,69
2025-01-21,68
2025-01-22,67
2025-01-23,65
2025-01-24,63
2025-01-25,100
2025-01-26,74
2025-01-27,67
2025-01-28,67
2025-01-29,70
2025-01-30,76
2025-01-31,66
2025-02-01,61
2025-02-02,84
2025-02-03,80
2025-02-04,70
2025-02-05,64
2025-02-06,64
2025-02-07,63
2025-02-08,60
2025-02-09,59
2025-02-10,65
2025-02-11,68
2025-02-12,66
2025-02-13,70
2025-02-14,65
2025-02-15,71
2025-02-16,70
2025-02-17,77
2025-02-18,77
2025-02-19,70
2025-02-20,68
2025-02-21,64
2025-02-22,61
2025-02-23,64
2025-02-24,67
2025-02-25,72
2025-02-26,66
2025-02-27,60
2025-02-28,64
2025-03-01,59
2025-03-02,62
2025-03-03,68
2025-03-04,70
2025-03-05,69
2025-03-06,71
2025-03-07,65
2025-03-08,62
2025-03-09,66
2025-03-10,68
2025-03-11,69
2025-03-12,79
2025-03-13,74
2025-03-14,67
2025-03-15,66
2025-03-16,75
2025-03-17,73
2025-03-18,78
2025-03-19,67
2025-03-20,69
2025-03-21,71
2025-03-22,60
2025-03-23,84
2025-03-24,73
2025-03-25,71
2025-03-26,65
2025-03-27,66
2025-03-28,63
2025-03-29,60
2025-03-30,66
2025-03-31,67
2025-04-01,71
2025-04-02,72
2025-04-03,70
2025-04-04,65
2025-04-05,59
2025-04-06,64
2025-04-07,68
2025-04-08,61
2025-04-09,64
2025-04-10,63
2025-04-11,62
2025-04-12,58
2025-04-13,58
2025-04-14,62
2025-04-15,69
2025-04-16,70
2025-04-17,64
2025-04-18,62
2025-04-19,53
2025-04-20,57
2025-04-21,69
2025-04-22,63
2025-04-23,63
2025-04-24,62
2025-04-25,61
2025-04-26,56
2025-04-27,63
2025-04-28,70
2025-04-29,67
2025-04-30,66
2025-05-01,67
2025-05-02,66
2025-05-03,67
2025-05-04,69
2025-05-05,79
2025-05-06,82
2025-05-07,79
2025-05-08,70
2025-05-09,71
2025-05-10,60
2025-05-11,62
2025-05-12,72
2025-05-13,77
2025-05-14,73
