Time,adam levine
2023-12-22,15
2023-12-23,17
2023-12-24,16
2023-12-25,13
2023-12-26,18
2023-12-27,15
2023-12-28,19
2023-12-29,21
2023-12-30,19
2023-12-31,17
2024-01-01,100
2024-01-02,60
2024-01-03,19
2024-01-04,15
2024-01-05,16
2024-01-06,12
2024-01-07,19
2024-01-08,10
2024-01-09,11
2024-01-10,15
2024-01-11,12
2024-01-12,13
2024-01-13,14
2024-01-14,8
2024-01-15,12
2024-01-16,12
2024-01-17,16
2024-01-18,17
2024-01-19,14
2024-01-20,17
2024-01-21,16
2024-01-22,17
2024-01-23,13
2024-01-24,11
2024-01-25,15
2024-01-26,13
2024-01-27,24
2024-01-28,22
2024-01-29,19
2024-01-30,17
2024-01-31,15
2024-02-01,16
2024-02-02,16
2024-02-03,18
2024-02-04,22
2024-02-05,14
2024-02-06,20
2024-02-07,18
2024-02-08,16
2024-02-09,16
2024-02-10,21
2024-02-11,19
2024-02-12,28
2024-02-13,18
2024-02-14,16
2024-02-15,16
2024-02-16,15
2024-02-17,18
2024-02-18,15
2024-02-19,14
2024-02-20,11
2024-02-21,16
2024-02-22,12
2024-02-23,12
2024-02-24,13
2024-02-25,15
2024-02-26,12
2024-02-27,13
2024-02-28,9
2024-02-29,11
2024-03-01,14
2024-03-02,15
2024-03-03,18
2024-03-04,11
2024-03-05,13
2024-03-06,12
2024-03-07,11
2024-03-08,13
2024-03-09,18
2024-03-10,20
2024-03-11,11
2024-03-12,18
2024-03-13,16
2024-03-14,14
2024-03-15,13
2024-03-16,16
2024-03-17,17
2024-03-18,19
2024-03-19,15
2024-03-20,13
2024-03-21,14
2024-03-22,14
2024-03-23,19
2024-03-24,22
2024-03-25,14
2024-03-26,11
2024-03-27,11
2024-03-28,13
2024-03-29,10
2024-03-30,15
2024-03-31,16
2024-04-01,12
2024-04-02,13
2024-04-03,14
2024-04-04,12
2024-04-05,11
2024-04-06,13
2024-04-07,16
2024-04-08,15
2024-04-09,11
2024-04-10,14
2024-04-11,36
2024-04-12,21
2024-04-13,21
2024-04-14,22
2024-04-15,14
2024-04-16,10
2024-04-17,14
2024-04-18,15
2024-04-19,12
2024-04-20,20
2024-04-21,17
2024-04-22,15
2024-04-23,12
2024-04-24,12
2024-04-25,16
2024-04-26,12
2024-04-27,17
2024-04-28,16
2024-04-29,11
2024-04-30,14
2024-05-01,18
2024-05-02,13
2024-05-03,17
2024-05-04,18
2024-05-05,16
2024-05-06,12
2024-05-07,14
2024-05-08,14
2024-05-09,13
2024-05-10,13
2024-05-11,16
2024-05-12,14
2024-05-13,15
2024-05-14,12
2024-05-15,14
2024-05-16,13
2024-05-17,11
2024-05-18,17
2024-05-19,17
2024-05-20,13
2024-05-21,13
2024-05-22,28
2024-05-23,15
2024-05-24,14
2024-05-25,19
2024-05-26,24
2024-05-27,20
2024-05-28,12
2024-05-29,17
2024-05-30,14
2024-05-31,13
2024-06-01,22
2024-06-02,18
2024-06-03,13
2024-06-04,13
2024-06-05,24
2024-06-06,41
2024-06-07,26
2024-06-08,26
2024-06-09,24
2024-06-10,16
2024-06-11,15
2024-06-12,17
2024-06-13,17
2024-06-14,17
2024-06-15,17
2024-06-16,20
2024-06-17,14
2024-06-18,18
2024-06-19,14
2024-06-20,13
2024-06-21,15
2024-06-22,24
2024-06-23,24
2024-06-24,14
2024-06-25,10
2024-06-26,13
2024-06-27,15
2024-06-28,20
2024-06-29,22
2024-06-30,28
2024-07-01,18
2024-07-02,16
2024-07-03,14
2024-07-04,37
2024-07-05,23
2024-07-06,26
2024-07-07,19
2024-07-08,15
2024-07-09,17
2024-07-10,22
2024-07-11,14
2024-07-12,14
2024-07-13,11
2024-07-14,14
2024-07-15,13
2024-07-16,11
2024-07-17,11
2024-07-18,12
2024-07-19,14
2024-07-20,18
2024-07-21,15
2024-07-22,16
2024-07-23,11
2024-07-24,13
2024-07-25,15
2024-07-26,12
2024-07-27,18
2024-07-28,19
2024-07-29,10
2024-07-30,11
2024-07-31,11
2024-08-01,10
2024-08-02,15
2024-08-03,13
2024-08-04,14
2024-08-05,11
2024-08-06,8
2024-08-07,10
2024-08-08,12
2024-08-09,13
2024-08-10,16
2024-08-11,15
2024-08-12,13
2024-08-13,11
2024-08-14,12
2024-08-15,10
2024-08-16,13
2024-08-17,17
2024-08-18,17
2024-08-19,12
2024-08-20,12
2024-08-21,11
2024-08-22,11
2024-08-23,13
2024-08-24,15
2024-08-25,16
2024-08-26,11
2024-08-27,12
2024-08-28,11
2024-08-29,14
2024-08-30,12
2024-08-31,14
2024-09-01,15
2024-09-02,16
2024-09-03,10
2024-09-04,9
2024-09-05,12
2024-09-06,11
2024-09-07,15
2024-09-08,16
2024-09-09,11
2024-09-10,12
2024-09-11,9
2024-09-12,13
2024-09-13,10
2024-09-14,17
2024-09-15,13
2024-09-16,10
