Time,mortgage rates
2022-01-01,7
2022-01-02,8
2022-01-03,13
2022-01-04,16
2022-01-05,18
2022-01-06,15
2022-01-07,18
2022-01-08,14
2022-01-09,12
2022-01-10,17
2022-01-11,19
2022-01-12,20
2022-01-13,22
2022-01-14,15
2022-01-15,12
2022-01-16,11
2022-01-17,12
2022-01-18,19
2022-01-19,22
2022-01-20,20
2022-01-21,19
2022-01-22,15
2022-01-23,13
2022-01-24,22
2022-01-25,17
2022-01-26,21
2022-01-27,20
2022-01-28,18
2022-01-29,14
2022-01-30,11
2022-01-31,16
2022-02-01,17
2022-02-02,16
2022-02-03,17
2022-02-04,16
2022-02-05,14
2022-02-06,13
2022-02-07,18
2022-02-08,18
2022-02-09,18
2022-02-10,21
2022-02-11,24
2022-02-12,17
2022-02-13,14
2022-02-14,18
2022-02-15,22
2022-02-16,23
2022-02-17,22
2022-02-18,20
2022-02-19,16
2022-02-20,14
2022-02-21,16
2022-02-22,20
2022-02-23,20
2022-02-24,23
2022-02-25,19
2022-02-26,14
2022-02-27,13
2022-02-28,19
2022-03-01,24
2022-03-02,26
2022-03-03,24
2022-03-04,20
2022-03-05,16
2022-03-06,13
2022-03-07,24
2022-03-08,20
2022-03-09,20
2022-03-10,20
2022-03-11,19
2022-03-12,15
2022-03-13,13
2022-03-14,22
2022-03-15,24
2022-03-16,35
2022-03-17,35
2022-03-18,24
2022-03-19,18
2022-03-20,17
2022-03-21,24
2022-03-22,26
2022-03-23,29
2022-03-24,28
2022-03-25,28
2022-03-26,26
2022-03-27,22
2022-03-28,25
2022-03-29,26
2022-03-30,28
2022-03-31,26
2022-04-01,23
2022-04-02,19
2022-04-03,18
2022-04-04,23
2022-04-05,26
2022-04-06,34
2022-04-07,31
2022-04-08,31
2022-04-09,25
2022-04-10,22
2022-04-11,34
2022-04-12,32
2022-04-13,28
2022-04-14,32
2022-04-15,28
2022-04-16,22
2022-04-17,21
2022-04-18,30
2022-04-19,37
2022-04-20,36
2022-04-21,32
2022-04-22,32
2022-04-23,25
2022-04-24,21
2022-04-25,28
2022-04-26,25
2022-04-27,26
2022-04-28,25
2022-04-29,22
2022-04-30,19
2022-05-01,19
2022-05-02,27
2022-05-03,27
2022-05-04,54
2022-05-05,56
2022-05-06,34
2022-05-07,24
2022-05-08,19
2022-05-09,27
2022-05-10,28
2022-05-11,26
2022-05-12,25
2022-05-13,22
2022-05-14,17
2022-05-15,17
2022-05-16,22
2022-05-17,22
2022-05-18,23
2022-05-19,23
2022-05-20,21
2022-05-21,16
2022-05-22,14
2022-05-23,20
2022-05-24,23
2022-05-25,21
2022-05-26,21
2022-05-27,19
2022-05-28,13
2022-05-29,12
2022-05-30,13
2022-05-31,26
2022-06-01,22
2022-06-02,20
2022-06-03,19
2022-06-04,16
2022-06-05,14
2022-06-06,21
2022-06-07,21
2022-06-08,22
2022-06-09,22
2022-06-10,24
2022-06-11,19
2022-06-12,18
2022-06-13,37
2022-06-14,47
2022-06-15,100
2022-06-16,95
2022-06-17,45
2022-06-18,30
2022-06-19,25
2022-06-20,30
2022-06-21,32
2022-06-22,31
2022-06-23,27
2022-06-24,24
2022-06-25,19
2022-06-26,18
2022-06-27,24
2022-06-28,24
2022-06-29,23
2022-06-30,22
2022-07-01,22
2022-07-02,17
2022-07-03,17
2022-07-04,17
2022-07-05,24
2022-07-06,26
2022-07-07,30
2022-07-08,29
2022-07-09,21
2022-07-10,19
2022-07-11,26
2022-07-12,25
2022-07-13,29
2022-07-14,30
2022-07-15,23
2022-07-16,19
2022-07-17,18
2022-07-18,25
2022-07-19,24
2022-07-20,23
2022-07-21,22
2022-07-22,21
2022-07-23,18
2022-07-24,16
2022-07-25,23
2022-07-26,26
2022-07-27,47
2022-07-28,51
2022-07-29,35
2022-07-30,24
2022-07-31,20
2022-08-01,27
2022-08-02,27
2022-08-03,26
2022-08-04,29
2022-08-05,25
2022-08-06,19
2022-08-07,17
2022-08-08,22
2022-08-09,22
2022-08-10,23
2022-08-11,21
2022-08-12,18
2022-08-13,16
2022-08-14,15
2022-08-15,20
2022-08-16,20
2022-08-17,19
2022-08-18,20
2022-08-19,18
2022-08-20,17
2022-08-21,15
2022-08-22,21
2022-08-23,21
2022-08-24,20
2022-08-25,20
2022-08-26,22
2022-08-27,18
2022-08-28,14
2022-08-29,21
2022-08-30,21
2022-08-31,19
2022-09-01,19
2022-09-02,19
2022-09-03,15
2022-09-04,13
2022-09-05,13
2022-09-06,20
2022-09-07,22
2022-09-08,21
2022-09-09,18
2022-09-10,15
2022-09-11,13
2022-09-12,20
2022-09-13,24
2022-09-14,27
2022-09-15,28
2022-09-16,24
2022-09-17,17
2022-09-18,16
2022-09-19,24
2022-09-20,26
2022-09-21,42
2022-09-22,47
2022-09-23,32
2022-09-24,24
2022-09-25,19
2022-09-26,30
2022-09-27,35
