Time,mortgage rates
2023-04-26,61
2023-04-27,56
2023-04-28,51
2023-04-29,44
2023-04-30,42
2023-05-01,65
2023-05-02,68
2023-05-03,89
2023-05-04,84
2023-05-05,66
2023-05-06,46
2023-05-07,38
2023-05-08,59
2023-05-09,57
2023-05-10,57
2023-05-11,55
2023-05-12,51
2023-05-13,41
2023-05-14,36
2023-05-15,55
2023-05-16,55
2023-05-17,53
2023-05-18,51
2023-05-19,52
2023-05-20,42
2023-05-21,42
2023-05-22,59
2023-05-23,60
2023-05-24,58
2023-05-25,57
2023-05-26,60
2023-05-27,49
2023-05-28,46
2023-05-29,48
2023-05-30,69
2023-05-31,71
2023-06-01,69
2023-06-02,64
2023-06-03,51
2023-06-04,48
2023-06-05,64
2023-06-06,62
2023-06-07,61
2023-06-08,59
2023-06-09,51
2023-06-10,45
2023-06-11,41
2023-06-12,59
2023-06-13,67
2023-06-14,77
2023-06-15,66
2023-06-16,53
2023-06-17,44
2023-06-18,40
2023-06-19,51
2023-06-20,60
2023-06-21,57
2023-06-22,56
2023-06-23,52
2023-06-24,44
2023-06-25,39
2023-06-26,58
2023-06-27,59
2023-06-28,53
2023-06-29,51
2023-06-30,48
2023-07-01,39
2023-07-02,40
2023-07-03,47
2023-07-04,40
2023-07-05,56
2023-07-06,75
2023-07-07,71
2023-07-08,52
2023-07-09,48
2023-07-10,67
2023-07-11,63
2023-07-12,83
2023-07-13,72
2023-07-14,65
2023-07-15,47
2023-07-16,43
2023-07-17,60
2023-07-18,69
2023-07-19,62
2023-07-20,53
2023-07-21,49
2023-07-22,47
2023-07-23,41
2023-07-24,56
2023-07-25,55
2023-07-26,87
2023-07-27,79
2023-07-28,59
2023-07-29,46
2023-07-30,41
2023-07-31,54
2023-08-01,58
2023-08-02,65
2023-08-03,65
2023-08-04,56
2023-08-05,47
2023-08-06,44
2023-08-07,57
2023-08-08,61
2023-08-09,53
2023-08-10,53
2023-08-11,48
2023-08-12,41
2023-08-13,39
2023-08-14,56
2023-08-15,62
2023-08-16,61
2023-08-17,93
2023-08-18,75
2023-08-19,55
2023-08-20,46
2023-08-21,73
2023-08-22,75
2023-08-23,68
2023-08-24,58
2023-08-25,67
2023-08-26,61
2023-08-27,52
2023-08-28,60
2023-08-29,60
2023-08-30,58
2023-08-31,53
2023-09-01,45
2023-09-02,46
2023-09-03,36
2023-09-04,43
2023-09-05,53
2023-09-06,62
2023-09-07,50
2023-09-08,42
2023-09-09,41
2023-09-10,36
2023-09-11,53
2023-09-12,53
2023-09-13,53
2023-09-14,46
2023-09-15,47
2023-09-16,46
2023-09-17,35
2023-09-18,51
2023-09-19,51
2023-09-20,56
2023-09-21,59
2023-09-22,55
2023-09-23,50
2023-09-24,39
2023-09-25,54
2023-09-26,55
2023-09-27,55
2023-09-28,62
2023-09-29,56
2023-09-30,60
2023-10-01,38
2023-10-02,55
2023-10-03,72
2023-10-04,71
2023-10-05,63
2023-10-06,63
2023-10-07,53
2023-10-08,44
2023-10-09,54
2023-10-10,70
2023-10-11,62
2023-10-12,59
2023-10-13,53
2023-10-14,48
2023-10-15,41
2023-10-16,53
2023-10-17,62
2023-10-18,73
2023-10-19,75
2023-10-20,80
2023-10-21,68
2023-10-22,62
2023-10-23,67
2023-10-24,81
2023-10-25,89
2023-10-26,74
2023-10-27,53
2023-10-28,43
2023-10-29,39
2023-10-30,52
2023-10-31,55
2023-11-01,69
2023-11-02,69
2023-11-03,73
2023-11-04,76
2023-11-05,81
2023-11-06,76
2023-11-07,68
2023-11-08,71
2023-11-09,77
2023-11-10,76
2023-11-11,53
2023-11-12,40
2023-11-13,57
2023-11-14,71
2023-11-15,86
2023-11-16,69
2023-11-17,59
2023-11-18,61
2023-11-19,49
2023-11-20,56
2023-11-21,56
2023-11-22,56
2023-11-23,51
2023-11-24,59
2023-11-25,46
2023-11-26,43
2023-11-27,65
2023-11-28,66
2023-11-29,68
2023-11-30,71
2023-12-01,64
2023-12-02,53
2023-12-03,47
2023-12-04,61
2023-12-05,70
2023-12-06,67
2023-12-07,70
2023-12-08,75
2023-12-09,74
2023-12-10,57
2023-12-11,71
2023-12-12,74
2023-12-13,88
2023-12-14,100
2023-12-15,86
2023-12-16,90
2023-12-17,65
2023-12-18,74
2023-12-19,72
2023-12-20,70
2023-12-21,67
2023-12-22,66
2023-12-23,76
2023-12-24,42
2023-12-25,37
2023-12-26,59
2023-12-27,75
2023-12-28,75
2023-12-29,78
2023-12-30,61
2023-12-31,50
2024-01-01,51
2024-01-02,75
2024-01-03,78
2024-01-04,94
2024-01-05,80
2024-01-06,61
2024-01-07,50
2024-01-08,66
2024-01-09,66
2024-01-10,67
2024-01-11,66
2024-01-12,60
2024-01-13,60
2024-01-14,48
2024-01-15,54
2024-01-16,62
2024-01-17,68
2024-01-18,73
2024-01-19,66
2024-01-20,64
