Time,doordash
2024-08-18,64
2024-08-19,54
2024-08-20,54
2024-08-21,52
2024-08-22,57
2024-08-23,60
2024-08-24,66
2024-08-25,62
2024-08-26,52
2024-08-27,53
2024-08-28,54
2024-08-29,57
2024-08-30,64
2024-08-31,65
2024-09-01,65
2024-09-02,64
2024-09-03,50
2024-09-04,55
2024-09-05,54
2024-09-06,60
2024-09-07,59
2024-09-08,60
2024-09-09,50
2024-09-10,54
2024-09-11,51
2024-09-12,53
2024-09-13,60
2024-09-14,63
2024-09-15,59
2024-09-16,50
2024-09-17,50
2024-09-18,56
2024-09-19,55
2024-09-20,60
2024-09-21,64
2024-09-22,60
2024-09-23,51
2024-09-24,50
2024-09-25,54
2024-09-26,58
2024-09-27,65
2024-09-28,65
2024-09-29,65
2024-09-30,52
2024-10-01,57
2024-10-02,54
2024-10-03,58
2024-10-04,59
2024-10-05,65
2024-10-06,61
2024-10-07,51
2024-10-08,51
2024-10-09,53
2024-10-10,55
2024-10-11,63
2024-10-12,67
2024-10-13,68
2024-10-14,55
2024-10-15,53
2024-10-16,52
2024-10-17,58
2024-10-18,62
2024-10-19,63
2024-10-20,63
2024-10-21,51
2024-10-22,48
2024-10-23,54
2024-10-24,57
2024-10-25,60
2024-10-26,59
2024-10-27,60
2024-10-28,50
2024-10-29,52
2024-10-30,54
2024-10-31,57
2024-11-01,66
2024-11-02,65
2024-11-03,61
2024-11-04,52
2024-11-05,52
2024-11-06,39
2024-11-07,60
2024-11-08,62
2024-11-09,65
2024-11-10,61
2024-11-11,52
2024-11-12,52
2024-11-13,54
2024-11-14,54
2024-11-15,62
2024-11-16,63
2024-11-17,60
2024-11-18,51
2024-11-19,53
2024-11-20,53
2024-11-21,55
2024-11-22,60
2024-11-23,62
2024-11-24,59
2024-11-25,53
2024-11-26,54
2024-11-27,60
2024-11-28,55
2024-11-29,47
2024-11-30,57
2024-12-01,56
2024-12-02,53
2024-12-03,52
2024-12-04,56
2024-12-05,56
2024-12-06,64
2024-12-07,63
2024-12-08,66
2024-12-09,56
2024-12-10,50
2024-12-11,55
2024-12-12,61
2024-12-13,61
2024-12-14,71
2024-12-15,62
2024-12-16,56
2024-12-17,60
2024-12-18,58
2024-12-19,61
2024-12-20,74
2024-12-21,70
2024-12-22,64
2024-12-23,63
2024-12-24,63
2024-12-25,61
2024-12-26,67
2024-12-27,74
2024-12-28,70
2024-12-29,67
2024-12-30,64
2024-12-31,77
2025-01-01,74
2025-01-02,63
2025-01-03,71
2025-01-04,75
2025-01-05,68
2025-01-06,56
2025-01-07,61
2025-01-08,61
2025-01-09,60
2025-01-10,69
2025-01-11,74
2025-01-12,66
2025-01-13,60
2025-01-14,62
2025-01-15,64
2025-01-16,71
2025-01-17,75
2025-01-18,76
2025-01-19,67
2025-01-20,68
2025-01-21,67
2025-01-22,68
2025-01-23,65
2025-01-24,72
2025-01-25,77
2025-01-26,68
2025-01-27,58
2025-01-28,63
2025-01-29,65
2025-01-30,66
2025-01-31,71
2025-02-01,84
2025-02-02,72
2025-02-03,59
2025-02-04,61
2025-02-05,66
2025-02-06,68
2025-02-07,71
2025-02-08,69
2025-02-09,74
2025-02-10,54
2025-02-11,61
2025-02-12,67
2025-02-13,69
2025-02-14,80
2025-02-15,84
2025-02-16,79
2025-02-17,64
2025-02-18,61
2025-02-19,69
2025-02-20,70
2025-02-21,77
2025-02-22,78
2025-02-23,71
2025-02-24,59
2025-02-25,64
2025-02-26,66
2025-02-27,68
2025-02-28,76
2025-03-01,86
2025-03-02,76
2025-03-03,60
2025-03-04,63
2025-03-05,65
2025-03-06,69
2025-03-07,70
2025-03-08,76
2025-03-09,64
2025-03-10,61
2025-03-11,59
2025-03-12,68
2025-03-13,60
2025-03-14,67
2025-03-15,74
2025-03-16,65
2025-03-17,61
2025-03-18,55
2025-03-19,62
2025-03-20,61
2025-03-21,75
2025-03-22,76
2025-03-23,73
2025-03-24,57
2025-03-25,60
2025-03-26,64
2025-03-27,68
2025-03-28,61
2025-03-29,72
2025-03-30,66
2025-03-31,59
2025-04-01,60
2025-04-02,63
2025-04-03,64
2025-04-04,68
2025-04-05,69
2025-04-06,67
2025-04-07,51
2025-04-08,58
2025-04-09,56
2025-04-10,63
2025-04-11,70
2025-04-12,75
2025-04-13,65
2025-04-14,59
2025-04-15,66
2025-04-16,65
2025-04-17,60
2025-04-18,64
2025-04-19,64
2025-04-20,60
2025-04-21,56
2025-04-22,53
2025-04-23,60
2025-04-24,57
2025-04-25,64
2025-04-26,69
2025-04-27,66
2025-04-28,55
2025-04-29,56
2025-04-30,59
2025-05-01,63
2025-05-02,70
2025-05-03,73
2025-05-04,66
2025-05-05,58
2025-05-06,65
2025-05-07,63
2025-05-08,60
2025-05-09,70
2025-05-10,89
2025-05-11,100
2025-05-12,70
2025-05-13,60
2025-05-14,60
