Time,doordash
2023-04-26,73
2023-04-27,77
2023-04-28,85
2023-04-29,90
2023-04-30,82
2023-05-01,69
2023-05-02,73
2023-05-03,65
2023-05-04,77
2023-05-05,81
2023-05-06,84
2023-05-07,82
2023-05-08,70
2023-05-09,72
2023-05-10,68
2023-05-11,74
2023-05-12,74
2023-05-13,81
2023-05-14,90
2023-05-15,76
2023-05-16,71
2023-05-17,71
2023-05-18,72
2023-05-19,82
2023-05-20,80
2023-05-21,76
2023-05-22,69
2023-05-23,69
2023-05-24,74
2023-05-25,78
2023-05-26,79
2023-05-27,74
2023-05-28,75
2023-05-29,68
2023-05-30,70
2023-05-31,74
2023-06-01,86
2023-06-02,89
2023-06-03,84
2023-06-04,81
2023-06-05,76
2023-06-06,77
2023-06-07,88
2023-06-08,90
2023-06-09,84
2023-06-10,83
2023-06-11,76
2023-06-12,81
2023-06-13,78
2023-06-14,77
2023-06-15,84
2023-06-16,82
2023-06-17,76
2023-06-18,77
2023-06-19,72
2023-06-20,73
2023-06-21,81
2023-06-22,76
2023-06-23,87
2023-06-24,81
2023-06-25,77
2023-06-26,77
2023-06-27,78
2023-06-28,82
2023-06-29,87
2023-06-30,97
2023-07-01,86
2023-07-02,83
2023-07-03,77
2023-07-04,73
2023-07-05,69
2023-07-06,90
2023-07-07,99
2023-07-08,82
2023-07-09,77
2023-07-10,68
2023-07-11,71
2023-07-12,75
2023-07-13,70
2023-07-14,83
2023-07-15,81
2023-07-16,74
2023-07-17,68
2023-07-18,71
2023-07-19,73
2023-07-20,76
2023-07-21,74
2023-07-22,73
2023-07-23,73
2023-07-24,68
2023-07-25,68
2023-07-26,72
2023-07-27,74
2023-07-28,75
2023-07-29,78
2023-07-30,67
2023-07-31,69
2023-08-01,73
2023-08-02,69
2023-08-03,75
2023-08-04,79
2023-08-05,78
2023-08-06,70
2023-08-07,68
2023-08-08,64
2023-08-09,68
2023-08-10,68
2023-08-11,68
2023-08-12,68
2023-08-13,68
2023-08-14,64
2023-08-15,61
2023-08-16,66
2023-08-17,69
2023-08-18,70
2023-08-19,74
2023-08-20,75
2023-08-21,62
2023-08-22,85
2023-08-23,62
2023-08-24,67
2023-08-25,68
2023-08-26,73
2023-08-27,75
2023-08-28,61
2023-08-29,64
2023-08-30,65
2023-08-31,71
2023-09-01,75
2023-09-02,77
2023-09-03,74
2023-09-04,68
2023-09-05,62
2023-09-06,63
2023-09-07,69
2023-09-08,81
2023-09-09,74
2023-09-10,70
2023-09-11,60
2023-09-12,64
2023-09-13,66
2023-09-14,64
2023-09-15,73
2023-09-16,74
2023-09-17,71
2023-09-18,64
2023-09-19,65
2023-09-20,61
2023-09-21,66
2023-09-22,75
2023-09-23,76
2023-09-24,82
2023-09-25,66
2023-09-26,69
2023-09-27,68
2023-09-28,70
2023-09-29,72
2023-09-30,77
2023-10-01,72
2023-10-02,63
2023-10-03,65
2023-10-04,66
2023-10-05,66
2023-10-06,77
2023-10-07,73
2023-10-08,73
2023-10-09,66
2023-10-10,69
2023-10-11,65
2023-10-12,67
2023-10-13,69
2023-10-14,78
2023-10-15,74
2023-10-16,63
2023-10-17,62
2023-10-18,63
2023-10-19,73
2023-10-20,73
2023-10-21,96
2023-10-22,77
2023-10-23,59
2023-10-24,63
2023-10-25,65
2023-10-26,67
2023-10-27,74
2023-10-28,74
2023-10-29,73
2023-10-30,60
2023-10-31,69
2023-11-01,75
2023-11-02,81
2023-11-03,88
2023-11-04,82
2023-11-05,75
2023-11-06,65
2023-11-07,71
2023-11-08,69
2023-11-09,70
2023-11-10,74
2023-11-11,82
2023-11-12,76
2023-11-13,64
2023-11-14,65
2023-11-15,69
2023-11-16,71
2023-11-17,79
2023-11-18,75
2023-11-19,69
2023-11-20,66
2023-11-21,68
2023-11-22,70
2023-11-23,55
2023-11-24,53
2023-11-25,64
2023-11-26,73
2023-11-27,64
2023-11-28,63
2023-11-29,66
2023-11-30,64
2023-12-01,81
2023-12-02,85
2023-12-03,77
2023-12-04,65
2023-12-05,71
2023-12-06,69
2023-12-07,77
2023-12-08,78
2023-12-09,89
2023-12-10,92
2023-12-11,71
2023-12-12,72
2023-12-13,79
2023-12-14,72
2023-12-15,75
2023-12-16,80
2023-12-17,80
2023-12-18,66
2023-12-19,69
2023-12-20,73
2023-12-21,77
2023-12-22,79
2023-12-23,77
2023-12-24,66
2023-12-25,60
2023-12-26,73
2023-12-27,83
2023-12-28,84
2023-12-29,90
2023-12-30,85
2023-12-31,78
2024-01-01,83
2024-01-02,80
2024-01-03,78
2024-01-04,78
2024-01-05,86
2024-01-06,85
2024-01-07,76
2024-01-08,70
2024-01-09,74
2024-01-10,76
2024-01-11,75
2024-01-12,81
2024-01-13,90
2024-01-14,82
2024-01-15,77
2024-01-16,79
2024-01-17,78
2024-01-18,81
2024-01-19,93
2024-01-20,100
