Time,google
2022-08-29,89
2022-08-30,90
2022-08-31,87
2022-09-01,90
2022-09-02,83
2022-09-03,52
2022-09-04,51
2022-09-05,54
2022-09-06,91
2022-09-07,94
2022-09-08,95
2022-09-09,91
2022-09-10,52
2022-09-11,55
2022-09-12,96
2022-09-13,100
2022-09-14,94
2022-09-15,98
2022-09-16,91
2022-09-17,54
2022-09-18,54
2022-09-19,94
2022-09-20,98
2022-09-21,98
2022-09-22,95
2022-09-23,89
2022-09-24,54
2022-09-25,53
2022-09-26,87
2022-09-27,95
2022-09-28,94
2022-09-29,91
2022-09-30,88
2022-10-01,53
2022-10-02,53
2022-10-03,92
2022-10-04,94
2022-10-05,92
2022-10-06,97
2022-10-07,86
2022-10-08,54
2022-10-09,55
2022-10-10,83
2022-10-11,92
2022-10-12,87
2022-10-13,93
2022-10-14,82
2022-10-15,53
2022-10-16,53
2022-10-17,87
2022-10-18,94
2022-10-19,94
2022-10-20,94
2022-10-21,84
2022-10-22,51
2022-10-23,54
2022-10-24,89
2022-10-25,92
2022-10-26,89
2022-10-27,94
2022-10-28,83
2022-10-29,52
2022-10-30,53
2022-10-31,87
2022-11-01,91
2022-11-02,90
2022-11-03,93
2022-11-04,88
2022-11-05,50
2022-11-06,50
2022-11-07,89
2022-11-08,79
2022-11-09,85
2022-11-10,90
2022-11-11,71
2022-11-12,53
2022-11-13,51
2022-11-14,86
2022-11-15,89
2022-11-16,91
2022-11-17,86
2022-11-18,81
2022-11-19,51
2022-11-20,52
2022-11-21,75
2022-11-22,72
2022-11-23,61
2022-11-24,44
2022-11-25,50
2022-11-26,47
2022-11-27,50
2022-11-28,80
2022-11-29,89
2022-11-30,91
2022-12-01,95
2022-12-02,86
2022-12-03,53
2022-12-04,51
2022-12-05,87
2022-12-06,91
2022-12-07,92
2022-12-08,88
2022-12-09,82
2022-12-10,52
2022-12-11,51
2022-12-12,89
2022-12-13,85
2022-12-14,85
2022-12-15,82
2022-12-16,73
2022-12-17,49
2022-12-18,44
2022-12-19,70
2022-12-20,68
2022-12-21,64
2022-12-22,59
2022-12-23,53
2022-12-24,44
2022-12-25,45
2022-12-26,46
2022-12-27,54
2022-12-28,52
2022-12-29,50
2022-12-30,49
2022-12-31,44
2023-01-01,42
2023-01-02,51
2023-01-03,65
2023-01-04,71
2023-01-05,75
2023-01-06,76
2023-01-07,51
2023-01-08,49
2023-01-09,81
2023-01-10,86
2023-01-11,85
2023-01-12,85
2023-01-13,77
2023-01-14,50
2023-01-15,47
2023-01-16,58
2023-01-17,87
2023-01-18,87
2023-01-19,85
2023-01-20,84
2023-01-21,49
2023-01-22,52
2023-01-23,87
2023-01-24,88
2023-01-25,85
2023-01-26,92
2023-01-27,83
2023-01-28,51
2023-01-29,51
2023-01-30,89
2023-01-31,94
2023-02-01,85
2023-02-02,87
2023-02-03,82
2023-02-04,54
2023-02-05,52
2023-02-06,87
2023-02-07,92
2023-02-08,93
2023-02-09,91
2023-02-10,85
2023-02-11,53
2023-02-12,54
2023-02-13,80
2023-02-14,89
2023-02-15,87
2023-02-16,88
2023-02-17,79
2023-02-18,51
2023-02-19,51
2023-02-20,63
2023-02-21,84
2023-02-22,84
2023-02-23,80
2023-02-24,82
2023-02-25,51
2023-02-26,53
2023-02-27,87
2023-02-28,83
2023-03-01,85
2023-03-02,90
2023-03-03,82
2023-03-04,53
2023-03-05,52
2023-03-06,87
2023-03-07,86
2023-03-08,87
2023-03-09,82
2023-03-10,80
2023-03-11,51
2023-03-12,50
2023-03-13,78
2023-03-14,77
2023-03-15,79
2023-03-16,82
2023-03-17,74
2023-03-18,51
2023-03-19,53
2023-03-20,84
2023-03-21,88
2023-03-22,88
2023-03-23,84
2023-03-24,81
2023-03-25,53
2023-03-26,53
2023-03-27,82
2023-03-28,86
2023-03-29,82
2023-03-30,81
2023-03-31,78
2023-04-01,50
2023-04-02,51
2023-04-03,80
2023-04-04,79
2023-04-05,78
2023-04-06,76
2023-04-07,60
2023-04-08,47
2023-04-09,48
2023-04-10,74
2023-04-11,82
2023-04-12,80
2023-04-13,80
2023-04-14,78
2023-04-15,46
2023-04-16,52
2023-04-17,86
2023-04-18,84
2023-04-19,85
2023-04-20,85
2023-04-21,75
2023-04-22,52
2023-04-23,52
2023-04-24,84
2023-04-25,85
2023-04-26,81
2023-04-27,82
2023-04-28,78
2023-04-29,51
2023-04-30,52
2023-05-01,86
2023-05-02,81
2023-05-03,84
2023-05-04,82
2023-05-05,79
2023-05-06,50
2023-05-07,51
2023-05-08,85
2023-05-09,85
2023-05-10,85
2023-05-11,89
2023-05-12,82
2023-05-13,49
2023-05-14,51
2023-05-15,85
2023-05-16,88
2023-05-17,84
2023-05-18,83
2023-05-19,79
2023-05-20,50
2023-05-21,52
2023-05-22,80
2023-05-23,82
2023-05-24,77
2023-05-25,76
