Time,google
2023-04-26,82
2023-04-27,79
2023-04-28,77
2023-04-29,50
2023-04-30,51
2023-05-01,83
2023-05-02,80
2023-05-03,87
2023-05-04,79
2023-05-05,79
2023-05-06,49
2023-05-07,49
2023-05-08,88
2023-05-09,84
2023-05-10,84
2023-05-11,83
2023-05-12,81
2023-05-13,49
2023-05-14,51
2023-05-15,82
2023-05-16,86
2023-05-17,82
2023-05-18,81
2023-05-19,78
2023-05-20,46
2023-05-21,49
2023-05-22,79
2023-05-23,78
2023-05-24,74
2023-05-25,74
2023-05-26,65
2023-05-27,46
2023-05-28,45
2023-05-29,49
2023-05-30,73
2023-05-31,71
2023-06-01,70
2023-06-02,66
2023-06-03,47
2023-06-04,51
2023-06-05,69
2023-06-06,100
2023-06-07,75
2023-06-08,64
2023-06-09,59
2023-06-10,48
2023-06-11,46
2023-06-12,63
2023-06-13,64
2023-06-14,63
2023-06-15,63
2023-06-16,57
2023-06-17,47
2023-06-18,47
2023-06-19,56
2023-06-20,63
2023-06-21,60
2023-06-22,56
2023-06-23,56
2023-06-24,46
2023-06-25,48
2023-06-26,59
2023-06-27,60
2023-06-28,59
2023-06-29,58
2023-06-30,55
2023-07-01,45
2023-07-02,43
2023-07-03,52
2023-07-04,48
2023-07-05,57
2023-07-06,58
2023-07-07,57
2023-07-08,47
2023-07-09,44
2023-07-10,56
2023-07-11,59
2023-07-12,57
2023-07-13,58
2023-07-14,56
2023-07-15,46
2023-07-16,45
2023-07-17,58
2023-07-18,53
2023-07-19,54
2023-07-20,54
2023-07-21,50
2023-07-22,42
2023-07-23,43
2023-07-24,51
2023-07-25,54
2023-07-26,52
2023-07-27,51
2023-07-28,50
2023-07-29,41
2023-07-30,41
2023-07-31,51
2023-08-01,54
2023-08-02,52
2023-08-03,55
2023-08-04,53
2023-08-05,41
2023-08-06,41
2023-08-07,57
2023-08-08,55
2023-08-09,58
2023-08-10,58
2023-08-11,56
2023-08-12,44
2023-08-13,43
2023-08-14,58
2023-08-15,60
2023-08-16,64
2023-08-17,62
2023-08-18,64
2023-08-19,42
2023-08-20,44
2023-08-21,68
2023-08-22,69
2023-08-23,70
2023-08-24,71
2023-08-25,65
2023-08-26,43
2023-08-27,43
2023-08-28,73
2023-08-29,76
2023-08-30,75
2023-08-31,75
2023-09-01,67
2023-09-02,41
2023-09-03,41
2023-09-04,48
2023-09-05,75
2023-09-06,78
2023-09-07,79
2023-09-08,75
2023-09-09,45
2023-09-10,45
2023-09-11,82
2023-09-12,80
2023-09-13,77
2023-09-14,79
2023-09-15,77
2023-09-16,45
2023-09-17,45
2023-09-18,75
2023-09-19,79
2023-09-20,81
2023-09-21,79
2023-09-22,71
2023-09-23,45
2023-09-24,46
2023-09-25,74
2023-09-26,81
2023-09-27,87
2023-09-28,82
2023-09-29,75
2023-09-30,45
2023-10-01,45
2023-10-02,78
2023-10-03,78
2023-10-04,81
2023-10-05,77
2023-10-06,70
2023-10-07,44
2023-10-08,43
2023-10-09,66
2023-10-10,75
2023-10-11,78
2023-10-12,76
2023-10-13,68
2023-10-14,44
2023-10-15,45
2023-10-16,75
2023-10-17,78
2023-10-18,78
2023-10-19,76
2023-10-20,70
2023-10-21,44
2023-10-22,47
2023-10-23,75
2023-10-24,76
2023-10-25,76
2023-10-26,73
2023-10-27,69
2023-10-28,42
2023-10-29,42
2023-10-30,74
2023-10-31,75
2023-11-01,74
2023-11-02,76
2023-11-03,70
2023-11-04,44
2023-11-05,43
2023-11-06,71
2023-11-07,73
2023-11-08,77
2023-11-09,74
2023-11-10,60
2023-11-11,44
2023-11-12,45
2023-11-13,74
2023-11-14,77
2023-11-15,80
2023-11-16,77
2023-11-17,68
2023-11-18,45
2023-11-19,44
2023-11-20,61
2023-11-21,62
2023-11-22,52
2023-11-23,42
2023-11-24,45
2023-11-25,42
2023-11-26,44
2023-11-27,72
2023-11-28,77
2023-11-29,76
2023-11-30,76
2023-12-01,72
2023-12-02,45
2023-12-03,45
2023-12-04,75
2023-12-05,76
2023-12-06,76
2023-12-07,77
2023-12-08,76
2023-12-09,47
2023-12-10,49
2023-12-11,75
2023-12-12,86
2023-12-13,80
2023-12-14,69
2023-12-15,68
2023-12-16,42
2023-12-17,41
2023-12-18,63
2023-12-19,60
2023-12-20,59
2023-12-21,58
2023-12-22,49
2023-12-23,42
2023-12-24,38
2023-12-25,40
2023-12-26,45
2023-12-27,46
2023-12-28,46
2023-12-29,47
2023-12-30,39
2023-12-31,40
2024-01-01,39
2024-01-02,54
2024-01-03,61
2024-01-04,61
2024-01-05,60
2024-01-06,42
2024-01-07,43
2024-01-08,64
2024-01-09,66
2024-01-10,71
2024-01-11,77
2024-01-12,65
2024-01-13,42
2024-01-14,41
2024-01-15,47
2024-01-16,64
2024-01-17,70
2024-01-18,69
2024-01-19,66
2024-01-20,45
