Time,google
2024-08-18,31
2024-08-19,47
2024-08-20,49
2024-08-21,48
2024-08-22,48
2024-08-23,47
2024-08-24,31
2024-08-25,33
2024-08-26,48
2024-08-27,49
2024-08-28,50
2024-08-29,52
2024-08-30,48
2024-08-31,31
2024-09-01,30
2024-09-02,34
2024-09-03,52
2024-09-04,52
2024-09-05,51
2024-09-06,49
2024-09-07,31
2024-09-08,32
2024-09-09,54
2024-09-10,56
2024-09-11,51
2024-09-12,55
2024-09-13,50
2024-09-14,32
2024-09-15,34
2024-09-16,51
2024-09-17,51
2024-09-18,51
2024-09-19,54
2024-09-20,49
2024-09-21,30
2024-09-22,32
2024-09-23,53
2024-09-24,55
2024-09-25,52
2024-09-26,54
2024-09-27,50
2024-09-28,32
2024-09-29,32
2024-09-30,51
2024-10-01,51
2024-10-02,52
2024-10-03,50
2024-10-04,49
2024-10-05,31
2024-10-06,32
2024-10-07,51
2024-10-08,48
2024-10-09,50
2024-10-10,49
2024-10-11,48
2024-10-12,32
2024-10-13,30
2024-10-14,45
2024-10-15,50
2024-10-16,49
2024-10-17,50
2024-10-18,47
2024-10-19,31
2024-10-20,31
2024-10-21,50
2024-10-22,53
2024-10-23,53
2024-10-24,52
2024-10-25,47
2024-10-26,30
2024-10-27,31
2024-10-28,51
2024-10-29,52
2024-10-30,55
2024-10-31,51
2024-11-01,48
2024-11-02,30
2024-11-03,31
2024-11-04,52
2024-11-05,44
2024-11-06,43
2024-11-07,46
2024-11-08,49
2024-11-09,31
2024-11-10,31
2024-11-11,43
2024-11-12,53
2024-11-13,52
2024-11-14,48
2024-11-15,48
2024-11-16,30
2024-11-17,32
2024-11-18,52
2024-11-19,50
2024-11-20,51
2024-11-21,53
2024-11-22,47
2024-11-23,30
2024-11-24,31
2024-11-25,45
2024-11-26,42
2024-11-27,36
2024-11-28,27
2024-11-29,30
2024-11-30,29
2024-12-01,30
2024-12-02,51
2024-12-03,51
2024-12-04,52
2024-12-05,48
2024-12-06,50
2024-12-07,31
2024-12-08,30
2024-12-09,49
2024-12-10,51
2024-12-11,52
2024-12-12,51
2024-12-13,48
2024-12-14,30
2024-12-15,31
2024-12-16,48
2024-12-17,51
2024-12-18,49
2024-12-19,47
2024-12-20,41
2024-12-21,30
2024-12-22,27
2024-12-23,31
2024-12-24,29
2024-12-25,27
2024-12-26,30
2024-12-27,31
2024-12-28,26
2024-12-29,27
2024-12-30,33
2024-12-31,31
2025-01-01,27
2025-01-02,35
2025-01-03,35
2025-01-04,30
2025-01-05,29
2025-01-06,41
2025-01-07,45
2025-01-08,47
2025-01-09,48
2025-01-10,44
2025-01-11,30
2025-01-12,31
2025-01-13,50
2025-01-14,50
2025-01-15,52
2025-01-16,48
2025-01-17,46
2025-01-18,30
2025-01-19,29
2025-01-20,35
2025-01-21,46
2025-01-22,46
2025-01-23,49
2025-01-24,48
2025-01-25,31
2025-01-26,29
2025-01-27,50
2025-01-28,55
2025-01-29,100
2025-01-30,69
2025-01-31,53
2025-02-01,32
2025-02-02,31
2025-02-03,48
2025-02-04,53
2025-02-05,53
2025-02-06,51
2025-02-07,51
2025-02-08,31
2025-02-09,31
2025-02-10,48
2025-02-11,56
2025-02-12,53
2025-02-13,51
2025-02-14,45
2025-02-15,31
2025-02-16,30
2025-02-17,39
2025-02-18,50
2025-02-19,47
2025-02-20,47
2025-02-21,48
2025-02-22,31
2025-02-23,31
2025-02-24,46
2025-02-25,51
2025-02-26,51
2025-02-27,50
2025-02-28,49
2025-03-01,31
2025-03-02,30
2025-03-03,50
2025-03-04,51
2025-03-05,49
2025-03-06,51
2025-03-07,47
2025-03-08,31
2025-03-09,31
2025-03-10,48
2025-03-11,50
2025-03-12,49
2025-03-13,49
2025-03-14,44
2025-03-15,30
2025-03-16,32
2025-03-17,46
2025-03-18,46
2025-03-19,49
2025-03-20,49
2025-03-21,44
2025-03-22,28
2025-03-23,31
2025-03-24,47
2025-03-25,48
2025-03-26,48
2025-03-27,47
2025-03-28,45
2025-03-29,30
2025-03-30,29
2025-03-31,47
2025-04-01,48
2025-04-02,44
2025-04-03,47
2025-04-04,44
2025-04-05,30
2025-04-06,31
2025-04-07,49
2025-04-08,48
2025-04-09,46
2025-04-10,48
2025-04-11,47
2025-04-12,30
2025-04-13,28
2025-04-14,46
2025-04-15,49
2025-04-16,49
2025-04-17,49
2025-04-18,37
2025-04-19,28
2025-04-20,28
2025-04-21,43
2025-04-22,49
2025-04-23,47
2025-04-24,52
2025-04-25,47
2025-04-26,28
2025-04-27,31
2025-04-28,49
2025-04-29,49
2025-04-30,49
2025-05-01,47
2025-05-02,48
2025-05-03,30
2025-05-04,33
2025-05-05,48
2025-05-06,51
2025-05-07,51
2025-05-08,49
2025-05-09,46
2025-05-10,31
2025-05-11,31
2025-05-12,49
2025-05-13,50
2025-05-14,47
