Time,google
2023-12-22,53
2023-12-23,46
2023-12-24,41
2023-12-25,43
2023-12-26,48
2023-12-27,50
2023-12-28,50
2023-12-29,51
2023-12-30,42
2023-12-31,43
2024-01-01,42
2024-01-02,58
2024-01-03,66
2024-01-04,66
2024-01-05,65
2024-01-06,45
2024-01-07,46
2024-01-08,70
2024-01-09,72
2024-01-10,77
2024-01-11,83
2024-01-12,71
2024-01-13,46
2024-01-14,44
2024-01-15,51
2024-01-16,70
2024-01-17,76
2024-01-18,75
2024-01-19,71
2024-01-20,49
2024-01-21,47
2024-01-22,75
2024-01-23,77
2024-01-24,81
2024-01-25,75
2024-01-26,75
2024-01-27,48
2024-01-28,48
2024-01-29,74
2024-01-30,80
2024-01-31,83
2024-02-01,80
2024-02-02,74
2024-02-03,50
2024-02-04,49
2024-02-05,76
2024-02-06,84
2024-02-07,84
2024-02-08,79
2024-02-09,77
2024-02-10,51
2024-02-11,49
2024-02-12,72
2024-02-13,75
2024-02-14,85
2024-02-15,86
2024-02-16,74
2024-02-17,49
2024-02-18,49
2024-02-19,61
2024-02-20,80
2024-02-21,83
2024-02-22,82
2024-02-23,77
2024-02-24,49
2024-02-25,47
2024-02-26,80
2024-02-27,79
2024-02-28,80
2024-02-29,79
2024-03-01,75
2024-03-02,51
2024-03-03,49
2024-03-04,80
2024-03-05,82
2024-03-06,79
2024-03-07,80
2024-03-08,75
2024-03-09,48
2024-03-10,49
2024-03-11,73
2024-03-12,72
2024-03-13,73
2024-03-14,72
2024-03-15,66
2024-03-16,46
2024-03-17,48
2024-03-18,76
2024-03-19,77
2024-03-20,76
2024-03-21,77
2024-03-22,68
2024-03-23,47
2024-03-24,46
2024-03-25,69
2024-03-26,74
2024-03-27,66
2024-03-28,72
2024-03-29,56
2024-03-30,43
2024-03-31,43
2024-04-01,66
2024-04-02,72
2024-04-03,72
2024-04-04,72
2024-04-05,68
2024-04-06,44
2024-04-07,46
2024-04-08,70
2024-04-09,76
2024-04-10,75
2024-04-11,74
2024-04-12,74
2024-04-13,47
2024-04-14,46
2024-04-15,78
2024-04-16,77
2024-04-17,77
2024-04-18,79
2024-04-19,72
2024-04-20,47
2024-04-21,49
2024-04-22,74
2024-04-23,76
2024-04-24,73
2024-04-25,75
2024-04-26,72
2024-04-27,47
2024-04-28,49
2024-04-29,76
2024-04-30,77
2024-05-01,77
2024-05-02,72
2024-05-03,72
2024-05-04,46
2024-05-05,47
2024-05-06,76
2024-05-07,77
2024-05-08,76
2024-05-09,74
2024-05-10,70
2024-05-11,46
2024-05-12,48
2024-05-13,74
2024-05-14,76
2024-05-15,76
2024-05-16,75
2024-05-17,69
2024-05-18,47
2024-05-19,46
2024-05-20,71
2024-05-21,69
2024-05-22,69
2024-05-23,70
2024-05-24,61
2024-05-25,45
2024-05-26,45
2024-05-27,47
2024-05-28,68
2024-05-29,70
2024-05-30,67
2024-05-31,62
2024-06-01,46
2024-06-02,46
2024-06-03,61
2024-06-04,64
2024-06-05,64
2024-06-06,65
2024-06-07,58
2024-06-08,46
2024-06-09,46
2024-06-10,62
2024-06-11,64
2024-06-12,60
2024-06-13,61
2024-06-14,51
2024-06-15,45
2024-06-16,45
2024-06-17,60
2024-06-18,57
2024-06-19,54
2024-06-20,55
2024-06-21,55
2024-06-22,45
2024-06-23,46
2024-06-24,59
2024-06-25,57
2024-06-26,100
2024-06-27,68
2024-06-28,55
2024-06-29,44
2024-06-30,45
2024-07-01,57
2024-07-02,55
2024-07-03,55
2024-07-04,45
2024-07-05,48
2024-07-06,43
2024-07-07,44
2024-07-08,57
2024-07-09,55
2024-07-10,56
2024-07-11,55
2024-07-12,53
2024-07-13,43
2024-07-14,44
2024-07-15,56
2024-07-16,57
2024-07-17,58
2024-07-18,55
2024-07-19,55
2024-07-20,45
2024-07-21,45
2024-07-22,56
2024-07-23,57
2024-07-24,56
2024-07-25,57
2024-07-26,53
2024-07-27,43
2024-07-28,43
2024-07-29,54
2024-07-30,56
2024-07-31,57
2024-08-01,55
2024-08-02,53
2024-08-03,43
2024-08-04,45
2024-08-05,59
2024-08-06,58
2024-08-07,60
2024-08-08,56
2024-08-09,59
2024-08-10,46
2024-08-11,42
2024-08-12,61
2024-08-13,66
2024-08-14,68
2024-08-15,69
2024-08-16,65
2024-08-17,46
2024-08-18,46
2024-08-19,69
2024-08-20,70
2024-08-21,72
2024-08-22,71
2024-08-23,67
2024-08-24,45
2024-08-25,49
2024-08-26,72
2024-08-27,73
2024-08-28,76
2024-08-29,77
2024-08-30,72
2024-08-31,47
2024-09-01,48
2024-09-02,50
2024-09-03,77
2024-09-04,77
2024-09-05,78
2024-09-06,71
2024-09-07,48
2024-09-08,48
2024-09-09,75
2024-09-10,78
2024-09-11,76
2024-09-12,83
2024-09-13,73
2024-09-14,45
2024-09-15,49
2024-09-16,77
