Time,google
2025-12-11,66
2025-12-12,70
2025-12-13,43
2025-12-14,42
2025-12-15,68
2025-12-16,66
2025-12-17,66
2025-12-18,64
2025-12-19,60
2025-12-20,40
2025-12-21,38
2025-12-22,48
2025-12-23,44
2025-12-24,39
2025-12-25,37
2025-12-26,41
2025-12-27,37
2025-12-28,39
2025-12-29,43
2025-12-30,44
2025-12-31,40
2026-01-01,37
2026-01-02,42
2026-01-03,40
2026-01-04,39
2026-01-05,55
2026-01-06,64
2026-01-07,64
2026-01-08,61
2026-01-09,64
2026-01-10,41
2026-01-11,42
2026-01-12,66
2026-01-13,67
2026-01-14,68
2026-01-15,68
2026-01-16,64
2026-01-17,42
2026-01-18,41
2026-01-19,47
2026-01-20,68
2026-01-21,68
2026-01-22,69
2026-01-23,64
2026-01-24,45
2026-01-25,43
2026-01-26,61
2026-01-27,66
2026-01-28,65
2026-01-29,71
2026-01-30,71
2026-01-31,47
2026-02-01,49
2026-02-02,67
2026-02-03,69
2026-02-04,74
2026-02-05,75
2026-02-06,67
2026-02-07,45
2026-02-08,43
2026-02-09,62
2026-02-10,71
2026-02-11,72
2026-02-12,69
2026-02-13,65
2026-02-14,49
2026-02-15,43
2026-02-16,54
2026-02-17,64
2026-02-18,65
2026-02-19,69
2026-02-20,64
2026-02-21,47
2026-02-22,52
2026-02-23,69
2026-02-24,69
2026-02-25,69
2026-02-26,71
2026-02-27,69
2026-02-28,44
2026-03-01,44
2026-03-02,72
2026-03-03,73
2026-03-04,71
2026-03-05,72
2026-03-06,71
2026-03-07,46
2026-03-08,45
2026-03-09,71
2026-03-10,71
2026-03-11,69
2026-03-12,70
2026-03-13,65
2026-03-14,47
2026-03-15,44
2026-03-16,66
2026-03-17,68
2026-03-18,70
2026-03-19,67
2026-03-20,64
2026-03-21,47
2026-03-22,44
2026-03-23,71
2026-03-24,69
2026-03-25,72
2026-03-26,73
2026-03-27,67
2026-03-28,49
2026-03-29,50
2026-03-30,67
2026-03-31,67
2026-04-01,67
2026-04-02,63
2026-04-03,50
2026-04-04,43
2026-04-05,44
2026-04-06,63
2026-04-07,65
2026-04-08,68
2026-04-09,66
2026-04-10,66
2026-04-11,44
2026-04-12,46
2026-04-13,73
2026-04-14,76
2026-04-15,67
2026-04-16,72
2026-04-17,73
2026-04-18,51
2026-04-19,48
2026-04-20,69
2026-04-21,70
2026-04-22,71
2026-04-23,70
2026-04-24,65
2026-04-25,46
2026-04-26,45
2026-04-27,70
2026-04-28,100
2026-04-29,74
2026-04-30,75
2026-05-01,68
2026-05-02,49
2026-05-03,49
2026-05-04,70
2026-05-05,67
2026-05-06,71
2026-05-07,69
2026-05-08,69
2026-05-09,43
2026-05-10,43
2026-05-11,69
2026-05-12,69
2026-05-13,71
2026-05-14,73
2026-05-15,66
2026-05-16,46
2026-05-17,44
2026-05-18,64
2026-05-19,68
2026-05-20,71
2026-05-21,65
2026-05-22,64
2026-05-23,46
2026-05-24,46
2026-05-25,48
2026-05-26,64
2026-05-27,62
2026-05-28,62
2026-05-29,65
2026-05-30,50
2026-05-31,50
