Time,amazon.com
2022-08-29,70
2022-08-30,71
2022-08-31,72
2022-09-01,72
2022-09-02,74
2022-09-03,82
2022-09-04,82
2022-09-05,83
2022-09-06,71
2022-09-07,70
2022-09-08,67
2022-09-09,68
2022-09-10,75
2022-09-11,77
2022-09-12,73
2022-09-13,71
2022-09-14,72
2022-09-15,81
2022-09-16,98
2022-09-17,77
2022-09-18,78
2022-09-19,72
2022-09-20,73
2022-09-21,73
2022-09-22,87
2022-09-23,83
2022-09-24,78
2022-09-25,76
2022-09-26,71
2022-09-27,70
2022-09-28,67
2022-09-29,71
2022-09-30,83
2022-10-01,79
2022-10-02,77
2022-10-03,70
2022-10-04,75
2022-10-05,73
2022-10-06,77
2022-10-07,79
2022-10-08,79
2022-10-09,82
2022-10-10,76
2022-10-11,87
2022-10-12,80
2022-10-13,80
2022-10-14,78
2022-10-15,80
2022-10-16,83
2022-10-17,80
2022-10-18,75
2022-10-19,75
2022-10-20,75
2022-10-21,79
2022-10-22,78
2022-10-23,80
2022-10-24,72
2022-10-25,75
2022-10-26,71
2022-10-27,80
2022-10-28,75
2022-10-29,78
2022-10-30,80
2022-10-31,71
2022-11-01,70
2022-11-02,70
2022-11-03,73
2022-11-04,76
2022-11-05,78
2022-11-06,79
2022-11-07,74
2022-11-08,70
2022-11-09,63
2022-11-10,69
2022-11-11,73
2022-11-12,73
2022-11-13,80
2022-11-14,73
2022-11-15,69
2022-11-16,72
2022-11-17,73
2022-11-18,78
2022-11-19,83
2022-11-20,84
2022-11-21,73
2022-11-22,75
2022-11-23,75
2022-11-24,72
2022-11-25,100
2022-11-26,96
2022-11-27,92
2022-11-28,91
2022-11-29,82
2022-11-30,74
2022-12-01,81
2022-12-02,89
2022-12-03,87
2022-12-04,92
2022-12-05,79
2022-12-06,81
2022-12-07,83
2022-12-08,90
2022-12-09,85
2022-12-10,89
2022-12-11,91
2022-12-12,81
2022-12-13,82
2022-12-14,91
2022-12-15,81
2022-12-16,89
2022-12-17,91
2022-12-18,81
2022-12-19,86
2022-12-20,81
2022-12-21,78
2022-12-22,74
2022-12-23,76
2022-12-24,65
2022-12-25,77
2022-12-26,88
2022-12-27,82
2022-12-28,79
2022-12-29,77
2022-12-30,78
2022-12-31,69
2023-01-01,66
2023-01-02,74
2023-01-03,65
2023-01-04,69
2023-01-05,67
2023-01-06,66
2023-01-07,70
2023-01-08,75
2023-01-09,67
2023-01-10,65
2023-01-11,64
2023-01-12,61
2023-01-13,60
2023-01-14,71
2023-01-15,68
2023-01-16,69
2023-01-17,58
2023-01-18,59
2023-01-19,59
2023-01-20,60
2023-01-21,69
2023-01-22,66
2023-01-23,64
2023-01-24,59
2023-01-25,59
2023-01-26,58
2023-01-27,60
2023-01-28,65
2023-01-29,64
2023-01-30,56
2023-01-31,59
2023-02-01,58
2023-02-02,56
2023-02-03,59
2023-02-04,65
2023-02-05,65
2023-02-06,59
2023-02-07,60
2023-02-08,57
2023-02-09,56
2023-02-10,58
2023-02-11,68
2023-02-12,64
2023-02-13,53
2023-02-14,54
2023-02-15,62
2023-02-16,61
2023-02-17,61
2023-02-18,68
2023-02-19,69
2023-02-20,65
2023-02-21,62
2023-02-22,60
2023-02-23,62
2023-02-24,66
2023-02-25,71
2023-02-26,70
2023-02-27,64
2023-02-28,61
2023-03-01,61
2023-03-02,65
2023-03-03,59
2023-03-04,71
2023-03-05,70
2023-03-06,65
2023-03-07,64
2023-03-08,65
2023-03-09,61
2023-03-10,61
2023-03-11,68
2023-03-12,67
2023-03-13,61
2023-03-14,60
2023-03-15,60
2023-03-16,63
2023-03-17,59
2023-03-18,70
2023-03-19,70
2023-03-20,61
2023-03-21,63
2023-03-22,61
2023-03-23,58
2023-03-24,65
2023-03-25,68
2023-03-26,66
2023-03-27,65
2023-03-28,66
2023-03-29,61
2023-03-30,62
2023-03-31,59
2023-04-01,67
2023-04-02,68
2023-04-03,63
2023-04-04,60
2023-04-05,62
2023-04-06,61
2023-04-07,65
2023-04-08,60
2023-04-09,62
2023-04-10,61
2023-04-11,58
2023-04-12,59
2023-04-13,57
2023-04-14,60
2023-04-15,65
2023-04-16,70
2023-04-17,61
2023-04-18,59
2023-04-19,61
2023-04-20,58
2023-04-21,61
2023-04-22,69
2023-04-23,68
2023-04-24,60
2023-04-25,60
2023-04-26,62
2023-04-27,59
2023-04-28,58
2023-04-29,67
2023-04-30,68
2023-05-01,62
2023-05-02,63
2023-05-03,62
2023-05-04,59
2023-05-05,61
2023-05-06,65
2023-05-07,65
2023-05-08,62
2023-05-09,59
2023-05-10,63
2023-05-11,62
2023-05-12,62
2023-05-13,65
2023-05-14,66
2023-05-15,62
2023-05-16,65
2023-05-17,61
2023-05-18,62
2023-05-19,60
2023-05-20,68
2023-05-21,67
2023-05-22,58
2023-05-23,60
2023-05-24,63
2023-05-25,62
