Time,phoenix suns
2023-12-22,17
2023-12-23,36
2023-12-24,14
2023-12-25,23
2023-12-26,55
2023-12-27,20
2023-12-28,30
2023-12-29,16
2023-12-30,33
2023-12-31,18
2024-01-01,32
2024-01-02,29
2024-01-03,18
2024-01-04,29
2024-01-05,16
2024-01-06,33
2024-01-07,16
2024-01-08,22
2024-01-09,29
2024-01-10,11
2024-01-11,16
2024-01-12,31
2024-01-13,15
2024-01-14,14
2024-01-15,23
2024-01-16,15
2024-01-17,37
2024-01-18,15
2024-01-19,17
2024-01-20,36
2024-01-21,17
2024-01-22,31
2024-01-23,34
2024-01-24,19
2024-01-25,41
2024-01-26,19
2024-01-27,39
2024-01-28,24
2024-01-29,24
2024-01-30,28
2024-01-31,17
2024-02-01,34
2024-02-02,19
2024-02-03,32
2024-02-04,33
2024-02-05,16
2024-02-06,18
2024-02-07,41
2024-02-08,29
2024-02-09,38
2024-02-10,24
2024-02-11,47
2024-02-12,13
2024-02-13,19
2024-02-14,44
2024-02-15,34
2024-02-16,15
2024-02-17,12
2024-02-18,10
2024-02-19,11
2024-02-20,11
2024-02-21,13
2024-02-22,15
2024-02-23,35
2024-02-24,38
2024-02-25,40
2024-02-26,20
2024-02-27,14
2024-02-28,12
2024-02-29,17
2024-03-01,30
2024-03-02,22
2024-03-03,53
2024-03-04,40
2024-03-05,16
2024-03-06,38
2024-03-07,18
2024-03-08,32
2024-03-09,20
2024-03-10,52
2024-03-11,18
2024-03-12,30
2024-03-13,14
2024-03-14,23
2024-03-15,42
2024-03-16,29
2024-03-17,47
2024-03-18,18
2024-03-19,17
2024-03-20,19
2024-03-21,42
2024-03-22,36
2024-03-23,18
2024-03-24,32
2024-03-25,17
2024-03-26,30
2024-03-27,21
2024-03-28,43
2024-03-29,18
2024-03-30,33
2024-03-31,19
2024-04-01,21
2024-04-02,33
2024-04-03,23
2024-04-04,43
2024-04-05,23
2024-04-06,50
2024-04-07,38
2024-04-08,25
2024-04-09,18
2024-04-10,56
2024-04-11,45
2024-04-12,24
2024-04-13,61
2024-04-14,56
2024-04-15,26
2024-04-16,15
2024-04-17,17
2024-04-18,13
2024-04-19,14
2024-04-20,69
2024-04-21,28
2024-04-22,18
2024-04-23,32
2024-04-24,65
2024-04-25,16
2024-04-26,24
2024-04-27,95
2024-04-28,42
2024-04-29,100
2024-04-30,19
2024-05-01,12
2024-05-02,11
2024-05-03,9
2024-05-04,8
2024-05-05,7
2024-05-06,7
2024-05-07,7
2024-05-08,6
2024-05-09,11
2024-05-10,13
2024-05-11,11
2024-05-12,8
2024-05-13,8
2024-05-14,7
2024-05-15,7
2024-05-16,5
2024-05-17,6
2024-05-18,6
2024-05-19,7
2024-05-20,7
2024-05-21,5
2024-05-22,7
2024-05-23,5
2024-05-24,5
2024-05-25,6
2024-05-26,7
2024-05-27,6
2024-05-28,6
2024-05-29,6
2024-05-30,6
2024-05-31,8
2024-06-01,6
2024-06-02,7
2024-06-03,5
2024-06-04,5
2024-06-05,5
2024-06-06,6
2024-06-07,5
2024-06-08,6
2024-06-09,6
2024-06-10,5
2024-06-11,5
2024-06-12,5
2024-06-13,6
2024-06-14,6
2024-06-15,6
2024-06-16,5
2024-06-17,5
2024-06-18,6
2024-06-19,7
2024-06-20,6
2024-06-21,6
2024-06-22,5
2024-06-23,6
2024-06-24,5
2024-06-25,6
2024-06-26,11
2024-06-27,24
2024-06-28,11
2024-06-29,8
2024-06-30,11
2024-07-01,18
2024-07-02,15
2024-07-03,12
2024-07-04,10
2024-07-05,8
2024-07-06,8
2024-07-07,8
2024-07-08,6
2024-07-09,6
2024-07-10,7
2024-07-11,7
2024-07-12,7
2024-07-13,8
2024-07-14,8
2024-07-15,5
2024-07-16,6
2024-07-17,6
2024-07-18,5
2024-07-19,6
2024-07-20,6
2024-07-21,6
2024-07-22,4
2024-07-23,4
2024-07-24,5
2024-07-25,4
2024-07-26,5
2024-07-27,7
2024-07-28,8
2024-07-29,5
2024-07-30,5
2024-07-31,5
2024-08-01,4
2024-08-02,4
2024-08-03,4
2024-08-04,4
2024-08-05,3
2024-08-06,5
2024-08-07,4
2024-08-08,4
2024-08-09,5
2024-08-10,5
2024-08-11,5
2024-08-12,4
2024-08-13,4
2024-08-14,5
2024-08-15,6
2024-08-16,6
2024-08-17,6
2024-08-18,5
2024-08-19,5
2024-08-20,4
2024-08-21,4
2024-08-22,4
2024-08-23,5
2024-08-24,4
2024-08-25,4
2024-08-26,4
2024-08-27,4
2024-08-28,4
2024-08-29,4
2024-08-30,4
2024-08-31,5
2024-09-01,4
2024-09-02,4
2024-09-03,4
2024-09-04,5
2024-09-05,4
2024-09-06,3
2024-09-07,4
2024-09-08,4
2024-09-09,4
2024-09-10,4
2024-09-11,5
2024-09-12,4
2024-09-13,4
2024-09-14,4
2024-09-15,4
2024-09-16,4
