Time,deep water
2022-01-01,2.0
2022-01-02,2.0
2022-01-03,3.0
2022-01-04,3.0
2022-01-05,2.0
2022-01-06,2.0
2022-01-07,2.0
2022-01-08,2.0
2022-01-09,3.0
2022-01-10,2.0
2022-01-11,3.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,3.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,3.0
2022-01-21,3.0
2022-01-22,2.0
2022-01-23,2.0
2022-01-24,3.0
2022-01-25,3.0
2022-01-26,2.0
2022-01-27,2.0
2022-01-28,3.0
2022-01-29,2.0
2022-01-30,2.0
2022-01-31,3.0
2022-02-01,3.0
2022-02-02,3.0
2022-02-03,3.0
2022-02-04,2.0
2022-02-05,3.0
2022-02-06,3.0
2022-02-07,3.0
2022-02-08,3.0
2022-02-09,2.0
2022-02-10,3.0
2022-02-11,3.0
2022-02-12,3.0
2022-02-13,3.0
2022-02-14,5.0
2022-02-15,8.0
2022-02-16,4.0
2022-02-17,4.0
2022-02-18,4.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,4.0
2022-02-22,4.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,3.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,3.0
2022-03-03,3.0
2022-03-04,3.0
2022-03-05,3.0
2022-03-06,3.0
2022-03-07,6.0
2022-03-08,9.0
2022-03-09,7.0
2022-03-10,8.0
2022-03-11,7.0
2022-03-12,9.0
2022-03-13,10.0
2022-03-14,9.0
2022-03-15,10.0
2022-03-16,12.0
2022-03-17,13.0
2022-03-18,39.0
2022-03-19,100.0
2022-03-20,84.0
2022-03-21,52.0
2022-03-22,34.0
2022-03-23,29.0
2022-03-24,26.0
2022-03-25,24.0
2022-03-26,29.0
2022-03-27,35.0
2022-03-28,21.0
2022-03-29,15.0
2022-03-30,13.0
2022-03-31,11.0
2022-04-01,14.0
2022-04-02,18.0
2022-04-03,19.0
2022-04-04,13.0
2022-04-05,10.0
2022-04-06,10.0
2022-04-07,10.0
2022-04-08,9.0
2022-04-09,14.0
2022-04-10,15.0
2022-04-11,11.0
2022-04-12,8.0
2022-04-13,8.0
2022-04-14,7.0
2022-04-15,8.0
2022-04-16,10.0
2022-04-17,13.0
2022-04-18,10.0
2022-04-19,7.0
2022-04-20,7.0
2022-04-21,7.0
2022-04-22,6.0
2022-04-23,8.0
2022-04-24,10.0
2022-04-25,8.0
2022-04-26,7.0
