Time,dollar general
2023-04-26,12
2023-04-27,12
2023-04-28,12
2023-04-29,18
2023-04-30,20
2023-05-01,14
2023-05-02,12
2023-05-03,12
2023-05-04,13
2023-05-05,13
2023-05-06,19
2023-05-07,21
2023-05-08,15
2023-05-09,13
2023-05-10,13
2023-05-11,14
2023-05-12,17
2023-05-13,23
2023-05-14,24
2023-05-15,15
2023-05-16,14
2023-05-17,14
2023-05-18,14
2023-05-19,14
2023-05-20,21
2023-05-21,22
2023-05-22,16
2023-05-23,14
2023-05-24,15
2023-05-25,15
2023-05-26,16
2023-05-27,24
2023-05-28,24
2023-05-29,28
2023-05-30,16
2023-05-31,16
2023-06-01,16
2023-06-02,18
2023-06-03,23
2023-06-04,23
2023-06-05,17
2023-06-06,15
2023-06-07,16
2023-06-08,16
2023-06-09,17
2023-06-10,23
2023-06-11,23
2023-06-12,17
2023-06-13,15
2023-06-14,15
2023-06-15,16
2023-06-16,16
2023-06-17,24
2023-06-18,25
2023-06-19,18
2023-06-20,16
2023-06-21,15
2023-06-22,15
2023-06-23,16
2023-06-24,23
2023-06-25,24
2023-06-26,17
2023-06-27,16
2023-06-28,16
2023-06-29,17
2023-06-30,17
2023-07-01,24
2023-07-02,25
2023-07-03,22
2023-07-04,34
2023-07-05,17
2023-07-06,17
2023-07-07,17
2023-07-08,24
2023-07-09,22
2023-07-10,16
2023-07-11,16
2023-07-12,15
2023-07-13,15
2023-07-14,16
2023-07-15,21
2023-07-16,22
2023-07-17,17
2023-07-18,15
2023-07-19,15
2023-07-20,14
2023-07-21,15
2023-07-22,21
2023-07-23,23
2023-07-24,17
2023-07-25,15
2023-07-26,14
2023-07-27,15
2023-07-28,16
2023-07-29,23
2023-07-30,23
2023-07-31,16
2023-08-01,15
2023-08-02,16
2023-08-03,15
2023-08-04,17
2023-08-05,23
2023-08-06,22
2023-08-07,17
2023-08-08,14
2023-08-09,16
2023-08-10,14
2023-08-11,15
2023-08-12,21
2023-08-13,22
2023-08-14,16
2023-08-15,15
2023-08-16,15
2023-08-17,15
2023-08-18,15
2023-08-19,23
2023-08-20,22
2023-08-21,16
2023-08-22,15
2023-08-23,13
2023-08-24,15
2023-08-25,16
2023-08-26,26
2023-08-27,30
2023-08-28,20
2023-08-29,18
2023-08-30,16
2023-08-31,16
2023-09-01,18
2023-09-02,29
2023-09-03,25
2023-09-04,25
2023-09-05,17
2023-09-06,14
2023-09-07,14
2023-09-08,14
2023-09-09,23
2023-09-10,20
2023-09-11,15
2023-09-12,13
2023-09-13,13
2023-09-14,12
2023-09-15,14
2023-09-16,22
2023-09-17,20
2023-09-18,13
2023-09-19,13
2023-09-20,15
2023-09-21,13
2023-09-22,14
2023-09-23,21
2023-09-24,21
2023-09-25,14
2023-09-26,13
2023-09-27,14
2023-09-28,13
2023-09-29,16
2023-09-30,24
2023-10-01,23
2023-10-02,14
2023-10-03,14
2023-10-04,13
2023-10-05,13
2023-10-06,14
2023-10-07,20
2023-10-08,21
2023-10-09,14
2023-10-10,14
2023-10-11,13
2023-10-12,14
2023-10-13,17
2023-10-14,20
2023-10-15,20
2023-10-16,13
2023-10-17,13
2023-10-18,13
2023-10-19,13
2023-10-20,14
2023-10-21,20
2023-10-22,20
2023-10-23,14
2023-10-24,13
2023-10-25,13
2023-10-26,14
2023-10-27,14
2023-10-28,20
2023-10-29,19
2023-10-30,15
2023-10-31,16
2023-11-01,13
2023-11-02,14
2023-11-03,13
2023-11-04,19
2023-11-05,19
2023-11-06,13
2023-11-07,14
2023-11-08,12
2023-11-09,13
2023-11-10,14
2023-11-11,20
2023-11-12,19
2023-11-13,14
2023-11-14,12
2023-11-15,13
2023-11-16,12
2023-11-17,13
2023-11-18,20
2023-11-19,21
2023-11-20,18
2023-11-21,22
2023-11-22,24
2023-11-23,99
2023-11-24,27
2023-11-25,23
2023-11-26,22
2023-11-27,16
2023-11-28,14
2023-11-29,14
2023-11-30,14
2023-12-01,14
2023-12-02,21
2023-12-03,21
2023-12-04,15
2023-12-05,17
2023-12-06,14
2023-12-07,12
2023-12-08,16
2023-12-09,21
2023-12-10,22
2023-12-11,17
2023-12-12,15
2023-12-13,15
2023-12-14,15
2023-12-15,16
2023-12-16,21
2023-12-17,20
2023-12-18,17
2023-12-19,16
2023-12-20,18
2023-12-21,18
2023-12-22,21
2023-12-23,29
2023-12-24,71
2023-12-25,100
2023-12-26,20
2023-12-27,15
2023-12-28,14
2023-12-29,15
2023-12-30,17
2023-12-31,26
2024-01-01,34
2024-01-02,15
2024-01-03,13
2024-01-04,14
2024-01-05,15
2024-01-06,19
2024-01-07,16
2024-01-08,12
2024-01-09,13
2024-01-10,12
2024-01-11,12
2024-01-12,13
2024-01-13,17
2024-01-14,18
2024-01-15,16
2024-01-16,14
2024-01-17,13
2024-01-18,13
2024-01-19,13
2024-01-20,17
